epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,36.5968,0.89091,2.28413,1.52759,0.29772,0.65324,0.32808,0.18867,1.17777,2.7439,2.41982,0.06733,0.00033,0.00033
2,93.1039,0.88319,1.71208,1.50526,0.39305,0.62556,0.52503,0.274,1.36662,1.8641,2.33011,0.0343169,0.000650199,0.000650199
3,148.026,0.87058,1.54122,1.48169,0.69425,0.35438,0.49147,0.25144,1.60129,2.06858,2.85416,0.00129053,0.000957199,0.000957199
4,206.897,0.82336,1.42074,1.45073,0.82914,0.76981,0.86313,0.5178,1.15993,1.10878,1.92224,0.0009406,0.0009406,0.0009406
5,252.149,0.79039,1.30151,1.42168,0.78975,0.79523,0.84631,0.52118,1.17967,1.18894,1.83575,0.0009208,0.0009208,0.0009208
6,308.106,0.77237,1.21176,1.40082,0.85418,0.78037,0.87623,0.56298,1.09896,1.00733,1.82652,0.000901,0.000901,0.000901
7,381.658,0.76454,1.15479,1.38588,0.84806,0.80269,0.90769,0.62084,0.95825,0.93909,1.56461,0.0008812,0.0008812,0.0008812
8,446.435,0.73511,1.1259,1.35371,0.89545,0.87063,0.95525,0.65579,0.91492,0.84419,1.53373,0.0008614,0.0008614,0.0008614
9,502.137,0.69997,1.04774,1.32935,0.80804,0.82627,0.8666,0.59533,0.97626,0.92233,1.65217,0.0008416,0.0008416,0.0008416
10,567.725,0.67348,1.02388,1.31288,0.71532,0.7991,0.87609,0.573,1.06065,1.24995,1.71498,0.0008218,0.0008218,0.0008218
11,636.052,0.65238,0.96849,1.30079,0.88798,0.81843,0.92236,0.6275,0.96415,0.82684,1.72554,0.000802,0.000802,0.000802
12,690.877,0.63913,0.9406,1.28045,0.9012,0.88333,0.96853,0.72131,0.83763,0.74434,1.43581,0.0007822,0.0007822,0.0007822
13,739.522,0.62039,0.90747,1.27087,0.91142,0.90033,0.93967,0.67472,0.97523,0.71305,1.56344,0.0007624,0.0007624,0.0007624
14,802.334,0.61458,0.88414,1.26258,0.87101,0.86022,0.95304,0.73849,0.78192,0.73314,1.36111,0.0007426,0.0007426,0.0007426
15,863.602,0.60242,0.89556,1.2628,0.95107,0.94195,0.98302,0.77738,0.80887,0.63557,1.32167,0.0007228,0.0007228,0.0007228
