epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,878.019,0.92052,1.7192,1.46888,0.78582,1,0.96015,0.92595,0.28894,0.53452,0.46031,0.00333267,0.00333267,0.00333267
2,1720.83,0.57277,0.84116,1.15985,0.84329,1,0.95827,0.93337,0.29705,0.37444,0.39672,0.00653401,0.00653401,0.00653401
3,2577.19,0.51972,0.66483,1.1052,0.8433,1,0.96268,0.93608,0.27422,0.31286,0.39179,0.00960336,0.00960336,0.00960336
4,3570.09,0.46072,0.5791,1.0601,0.84332,1,0.95903,0.94723,0.21094,0.28285,0.29486,0.009406,0.009406,0.009406
5,1107.99,0.38549,0.51236,1.01104,0.84328,1,0.9595,0.9595,0.13632,0.2721,0.21058,0.009208,0.009208,0.009208
6,1955.1,0.34421,0.48005,0.98757,0.8433,1,0.9602,0.95889,0.18489,0.22967,0.24578,0.00901,0.00901,0.00901
7,2798.97,0.3141,0.45702,0.96957,0.84336,1,0.95558,0.95558,0.15334,0.23336,0.20614,0.008812,0.008812,0.008812
8,3639.14,0.29176,0.43791,0.95677,0.84333,1,0.96281,0.95971,0.13913,0.21279,0.20074,0.008614,0.008614,0.008614
9,4509.97,0.27518,0.4264,0.94856,0.84332,1,0.95997,0.95997,0.10383,0.19271,0.16188,0.008416,0.008416,0.008416
10,5368.54,0.26199,0.4191,0.94202,0.84334,1,0.95721,0.95721,0.1055,0.19068,0.16856,0.008218,0.008218,0.008218
11,6236.98,0.24915,0.41009,0.93541,0.84333,1,0.9522,0.9522,0.10312,0.19367,0.16294,0.00802,0.00802,0.00802
12,7093.53,0.24229,0.40602,0.93234,0.84333,1,0.97259,0.97259,0.08254,0.1862,0.13564,0.007822,0.007822,0.007822
13,7960.99,0.23276,0.39704,0.92895,0.84335,1,0.95515,0.95515,0.08702,0.19557,0.14773,0.007624,0.007624,0.007624
14,8835.75,0.22437,0.3924,0.92586,0.84334,1,0.94762,0.94762,0.08806,0.18054,0.14581,0.007426,0.007426,0.007426
15,9698.1,0.21673,0.38327,0.92176,0.84334,1,0.95993,0.95993,0.08533,0.17794,0.13717,0.007228,0.007228,0.007228
16,10556,0.21268,0.38108,0.92088,0.84335,1,0.97143,0.97143,0.07987,0.17241,0.12957,0.00703,0.00703,0.00703
17,11428.2,0.20389,0.37398,0.91475,0.84336,1,0.95184,0.95184,0.08349,0.17575,0.13003,0.006832,0.006832,0.006832
18,12316,0.19943,0.3728,0.91352,0.84334,1,0.97868,0.97868,0.08761,0.174,0.13004,0.006634,0.006634,0.006634
19,13165.2,0.19593,0.36809,0.91243,0.84334,1,0.95908,0.95908,0.08898,0.17211,0.13179,0.006436,0.006436,0.006436
20,14020.4,0.18999,0.36562,0.91012,0.84334,1,0.96315,0.96315,0.08693,0.16988,0.13088,0.006238,0.006238,0.006238
21,14891.2,0.18695,0.36206,0.90943,0.84334,1,0.95145,0.95145,0.08184,0.16801,0.1266,0.00604,0.00604,0.00604
22,15743.1,0.18173,0.36078,0.90615,0.84334,1,0.95951,0.95951,0.07951,0.16702,0.12374,0.005842,0.005842,0.005842
23,16620.3,0.17926,0.36008,0.906,0.84334,1,0.97109,0.97109,0.08066,0.16866,0.12329,0.005644,0.005644,0.005644
24,17461.3,0.17338,0.35208,0.90403,0.84334,1,0.96212,0.96212,0.07958,0.16738,0.12191,0.005446,0.005446,0.005446
25,18309.8,0.17106,0.35426,0.90308,0.84335,1,0.96023,0.96023,0.07923,0.17211,0.12072,0.005248,0.005248,0.005248
26,19191.3,0.16814,0.34896,0.90188,0.84335,1,0.96023,0.96023,0.07918,0.17022,0.12021,0.00505,0.00505,0.00505
27,20034.7,0.16491,0.34868,0.90123,0.84335,1,0.95911,0.95911,0.07835,0.16857,0.1194,0.004852,0.004852,0.004852
28,20881.6,0.16112,0.34472,0.89922,0.84335,1,0.96154,0.96154,0.07719,0.1703,0.11817,0.004654,0.004654,0.004654
