episode,total_reward,reward_agent1_total,reward_agent2_total,length,cubes_picked,success,reshuffles,distance_reduced,time_saved,avg_q_value,avg_q_overestimation,avg_reward_100,success_rate_100
1,320.339421,119.487707,200.851714,8,8,0.888889,5,0.175857,0.351714,0.093780,-39.948647,320.339421,0.888889
2,271.178542,161.106078,110.072464,9,9,1.000000,5,0.036232,0.072464,0.103014,-30.027935,295.758982,0.944444
3,297.386249,133.005920,164.380329,9,9,1.000000,5,-0.559836,-1.119671,0.070192,-32.972725,296.301404,0.962963
4,303.195531,139.708976,163.486555,9,9,1.000000,5,-0.256722,-0.513445,0.072801,-33.615591,298.024936,0.972222
5,151.243013,91.870977,59.372037,10,8,0.888889,5,0.186018,0.372037,0.079509,-15.044792,268.668551,0.955556
6,339.522724,136.952195,202.570528,9,9,1.000000,5,0.285264,0.570528,0.091723,-37.633025,280.477580,0.962963
7,321.109427,166.468666,154.640761,9,9,1.000000,5,-0.429620,-0.859239,0.064398,-35.614427,286.282130,0.968254
8,254.652597,143.786714,110.865883,9,9,1.000000,5,-0.317059,-0.634117,0.094355,-28.200378,282.328438,0.972222
9,341.786814,141.758707,200.028107,9,9,1.000000,5,0.514054,1.028107,0.091742,-37.884571,288.934924,0.975309
10,262.431531,148.499854,113.931676,9,9,1.000000,5,-0.284162,-0.568324,0.077070,-29.081989,286.284585,0.977778
11,363.771231,156.002686,207.768546,9,9,1.000000,5,-0.115727,-0.231454,0.091109,-40.327917,293.328825,0.979798
12,301.117768,148.751577,152.366190,9,9,1.000000,5,1.183095,2.366190,0.092582,-33.364947,293.977904,0.981481
13,184.782206,97.503546,87.278660,9,8,0.888889,5,-0.360670,-0.721340,0.080096,-20.451260,285.578235,0.974359
14,80.633696,-81.756431,162.390127,16,8,0.888889,5,-0.054936,-0.109873,0.073773,-4.965833,270.939339,0.968254
15,-6.806054,-68.224130,61.418076,16,8,0.888889,5,-0.290962,-0.581924,0.076786,0.502164,252.422980,0.962963
16,251.636614,140.325540,111.311073,9,9,1.000000,5,-0.094463,-0.188927,0.080667,-27.878957,252.373832,0.965278
17,290.421305,137.054763,153.366541,9,9,1.000000,5,-0.316729,-0.633459,0.091907,-32.177126,254.611918,0.967320
18,306.786312,146.835985,159.950327,9,9,1.000000,5,0.225164,0.450327,0.084757,-34.002611,257.510496,0.969136
19,303.965655,149.775343,154.190312,9,9,1.000000,5,0.095156,0.190312,0.096145,-33.677816,259.955504,0.970760
20,351.295900,149.330783,201.965117,9,9,1.000000,5,-0.017441,-0.034883,0.068665,-38.964213,264.522524,0.972222
21,285.279696,166.026228,119.253468,9,9,1.000000,5,-0.123266,-0.246532,0.066967,-31.630777,265.510961,0.973545
22,229.098125,157.323552,71.774572,9,9,1.000000,5,1.387286,2.774572,0.087429,-25.367919,263.855832,0.974747
23,-94.704176,-246.814298,152.110122,22,7,0.777778,5,-0.194939,-0.389878,0.074755,4.379490,248.266266,0.966184
24,265.226890,144.669216,120.557673,9,9,1.000000,5,0.278837,0.557673,0.071544,-29.398110,248.972959,0.967593
25,264.960544,149.723084,115.237461,9,9,1.000000,5,-0.381270,-0.762539,0.079538,-29.360523,249.612462,0.968889
26,246.046037,132.041135,114.004902,9,9,1.000000,5,-0.247549,-0.495098,0.074735,-27.263713,249.475292,0.970085
27,211.886480,79.090943,132.795537,10,8,0.888889,5,0.147769,0.295537,0.092838,-21.095810,248.083114,0.967078
28,238.697963,138.260065,100.437898,9,9,1.000000,5,0.218949,0.437898,0.082775,-26.439221,247.747930,0.968254
29,194.813415,133.815167,60.998247,9,9,1.000000,5,0.249124,0.498247,0.082877,-21.563057,245.922602,0.969349
30,-257.596172,-421.720924,164.124752,30,8,0.888889,5,-0.687624,-1.375248,0.079133,8.665672,229.138643,0.966667
31,259.625341,147.209844,112.415497,9,9,1.000000,5,0.457749,0.915497,0.301962,-28.545298,230.122085,0.967742
32,276.723597,155.212416,121.511181,9,9,1.000000,5,0.005591,0.011181,1.006936,-29.740130,231.578382,0.968750
