step,episode,loss_ddqn,loss_masac,loss_cvd,q_value_ddqn,q_overestimation_ddqn,epsilon_ddqn,epsilon_masac,reward_total,reward_agent1,reward_agent2,episode_reward,episode_length,episode_reshuffles,cubes_picked,avg_reward_100,success_rate
1,1,,,,0.132084,-47.871415,0.995000,0.497500,48.003499,7.198854,40.804645,48.003499,1,1,1,0.000000,0.000000
2,1,,,,0.044083,-45.900399,0.990025,0.495013,45.944482,4.858666,41.085816,93.947981,2,2,2,0.000000,0.000000
3,1,,,,0.123565,-55.872943,0.985075,0.492537,55.996508,16.299979,39.696529,149.944489,3,3,3,0.000000,0.000000
4,1,,,,0.138309,-47.827008,0.980150,0.490075,47.965317,8.206132,39.759185,197.909806,4,4,4,0.000000,0.000000
5,1,,,,0.096675,-43.223252,0.975249,0.487624,43.319927,3.814388,39.505539,241.229733,5,5,5,0.000000,0.000000
6,1,,,,0.110901,-9.586523,0.970373,0.485186,9.697424,9.697424,0.000000,250.927158,6,5,6,0.000000,0.000000
7,1,,,,0.035204,-8.170927,0.965521,0.482760,8.206132,8.206132,0.000000,259.133289,7,5,7,0.000000,0.000000
8,1,,,,0.069420,-61.136711,0.960693,0.480347,61.206132,61.206132,0.000000,320.339421,8,5,8,0.000000,0.000000
9,2,,,,0.099802,-55.205029,0.955890,0.477945,55.304831,14.787528,40.517303,55.304831,1,1,1,320.339421,0.888889
10,2,,,,0.135245,-43.117262,0.951110,0.475555,43.252507,3.542290,39.710217,98.557338,2,2,2,320.339421,0.888889
11,2,,,,0.089168,-9.581797,0.946355,0.473177,9.670965,9.670965,0.000000,108.228304,3,3,3,320.339421,0.888889
12,2,,,,0.139717,-56.034673,0.941623,0.470811,56.174391,16.329446,39.844944,164.402694,4,4,4,320.339421,0.888889
13,2,,,,0.090355,-5.539292,0.936915,0.468457,5.629647,15.629647,-10.000000,170.032342,5,5,5,320.339421,0.888889
14,2,,,,0.088094,-16.525487,0.932230,0.466115,16.613581,16.613581,0.000000,186.645922,6,5,6,320.339421,0.888889
15,2,,,,0.114939,-8.505883,0.927569,0.463784,8.620822,8.620822,0.000000,195.266744,7,5,7,320.339421,0.888889
16,2,,,,0.075998,-15.776590,0.922931,0.461466,15.852588,15.852588,0.000000,211.119332,8,5,8,320.339421,0.888889
17,2,,,,0.093806,-59.965404,0.918316,0.459158,60.059211,60.059211,0.000000,271.178542,9,5,9,320.339421,0.888889
18,3,,,,0.061191,-47.739450,0.913725,0.456862,47.800641,8.073301,39.727340,47.800641,1,1,1,295.758982,0.944444
19,3,,,,0.095977,-47.783937,0.909156,0.454578,47.879914,7.406079,40.473835,95.680556,2,2,2,295.758982,0.944444
20,3,,,,0.046430,-50.420654,0.904610,0.452305,50.467084,6.954414,43.512670,146.147640,3,3,3,295.758982,0.944444
21,3,,,,0.059696,-47.683989,0.900087,0.450044,47.743685,7.077202,40.666484,193.891325,4,4,4,295.758982,0.944444
22,3,,,,0.076567,-7.337645,0.895587,0.447793,7.414212,7.414212,0.000000,201.305538,5,5,5,295.758982,0.944444
23,3,,,,0.063517,-16.396180,0.891109,0.445555,16.459698,16.459698,0.000000,217.765235,6,5,6,295.758982,0.944444
24,3,,,,0.094817,-9.632040,0.886654,0.443327,9.726858,9.726858,0.000000,227.492093,7,5,7,295.758982,0.944444
25,3,,,,0.072954,-7.582015,0.882220,0.441110,7.654968,7.654968,0.000000,235.147062,8,5,8,295.758982,0.944444
26,3,,,,0.060575,-62.178613,0.877809,0.438905,62.239188,62.239188,0.000000,297.386249,9,5,9,295.758982,0.944444
27,4,,,,0.094222,-46.972870,0.873420,0.436710,47.067092,7.224003,39.843089,47.067092,1,1,1,296.301404,0.962963
28,4,,,,0.071785,-50.034375,0.869053,0.434526,50.106159,9.584900,40.521259,97.173252,2,2,2,296.301404,0.962963
29,4,,,,0.069631,-46.882481,0.864708,0.432354,46.952112,7.407561,39.544551,144.125363,3,3,3,296.301404,0.962963
30,4,,,,0.046044,-7.988722,0.860384,0.430192,8.034766,8.034766,0.000000,152.160130,4,4,4,296.301404,0.962963
31,4,,,,0.054537,-47.481465,0.856082,0.428041,47.536002,3.958346,43.577656,199.696132,5,5,5,296.301404,0.962963
32,4,,,,0.066715,-9.687785,0.851802,0.425901,9.754500,9.754500,0.000000,209.450631,6,5,6,296.301404,0.962963
33,4,,,,0.063031,-6.499584,0.847543,0.423771,6.562615,6.562615,0.000000,216.013246,7,5,7,296.301404,0.962963
34,4,,,,0.062382,-27.061986,0.843305,0.421653,27.124367,27.124367,0.000000,243.137613,8,5,8,296.301404,0.962963
35,4,,,,0.126866,-59.931051,0.839089,0.419544,60.057917,60.057917,0.000000,303.195531,9,5,9,296.301404,0.962963
