episode,total_reward,episode_length,reshuffles_performed,total_distance_reduced,total_time_saved,cubes_picked,success,algorithm,scenario,planner,seed,run_id
1,70.5276840439045,9,5,0.7638420219522507,1.5276840439045014,9,1.0,MASAC,grid4_cubes9_astar,A*,-1,1
2,69.05110342409249,9,5,0.7755517120462448,1.5511034240924897,9,1.0,MASAC,grid4_cubes9_astar,A*,-1,1
3,44.419802140256124,9,5,1.2099010701280624,2.4198021402561247,9,1.0,MASAC,grid4_cubes9_astar,A*,-1,1
4,123.23772434964671,8,5,1.118862174823359,2.237724349646718,8,0.8888888888888888,MASAC,grid4_cubes9_astar,A*,-1,1
5,83.05133754097628,9,5,0.7756687704881347,1.5513375409762693,9,1.0,MASAC,grid4_cubes9_astar,A*,-1,1
6,164.8326704012824,9,5,0.666335200641197,1.332670401282394,9,1.0,MASAC,grid4_cubes9_astar,A*,-1,1
7,84.1855807052936,9,5,0.3427903526468039,0.6855807052936078,9,1.0,MASAC,grid4_cubes9_astar,A*,-1,1
8,59.14990553620585,9,5,1.5749527681029254,3.149905536205851,9,1.0,MASAC,grid4_cubes9_astar,A*,-1,1
9,134.28037735028354,9,5,1.1401886751417756,2.280377350283551,9,1.0,MASAC,grid4_cubes9_astar,A*,-1,1
10,204.00330509785564,9,5,1.2516525489278352,2.5033050978556703,9,1.0,MASAC,grid4_cubes9_astar,A*,-1,1
11,123.18297167715984,9,5,1.0914858385799224,2.182971677159845,9,1.0,MASAC,grid4_cubes9_astar,A*,-1,1
12,171.78813312908392,9,5,0.8940665645419622,1.7881331290839244,9,1.0,MASAC,grid4_cubes9_astar,A*,-1,1
13,100.21139153046695,9,5,0.10569576523348101,0.21139153046696202,9,1.0,MASAC,grid4_cubes9_astar,A*,-1,1
14,165.10170541664343,8,5,0.5508527083217168,1.1017054166434337,8,0.8888888888888888,MASAC,grid4_cubes9_astar,A*,-1,1
15,89.41409028561435,9,5,0.7070451428071761,1.4140902856143522,9,1.0,MASAC,grid4_cubes9_astar,A*,-1,1
16,70.83039576913949,9,5,0.9151978845697434,1.8303957691394868,9,1.0,MASAC,grid4_cubes9_astar,A*,-1,1
17,123.05884177468201,9,5,1.0294208873410042,2.0588417746820085,9,1.0,MASAC,grid4_cubes9_astar,A*,-1,1
18,41.41349338227937,9,5,0.20674669113968613,0.41349338227937227,9,1.0,MASAC,grid4_cubes9_astar,A*,-1,1
