global_timestep,episode,step_in_episode,reward,cumulative_reward,reshuffled,distance_reduced,time_saved,cubes_picked,done,truncated,algorithm,scenario,planner,seed,run_id
1,1,1,39.39180888383019,39.39180888383019,True,-0.05409555808490685,-0.1081911161698137,1,False,False,MASAC,grid4_cubes9_rrt_isaacsim,Isaac Sim RRT,42,1
2,1,2,41.01511050908196,80.40691939291214,True,-0.046540303543928685,-0.09308060708785737,2,False,False,MASAC,grid4_cubes9_rrt_isaacsim,Isaac Sim RRT,42,1
3,1,3,40.372781007406616,120.77970040031876,True,0.38985020015938043,0.7797004003187609,3,False,False,MASAC,grid4_cubes9_rrt_isaacsim,Isaac Sim RRT,42,1
4,1,4,40.372781007406616,161.15248140772536,True,0.8262407038626896,1.652481407725379,4,False,False,MASAC,grid4_cubes9_rrt_isaacsim,Isaac Sim RRT,42,1
5,1,5,40.976917712805175,202.12939912053054,True,0.8146995602652785,1.629399120530557,5,False,False,MASAC,grid4_cubes9_rrt_isaacsim,Isaac Sim RRT,42,1
6,1,6,0.0,202.12939912053054,False,0.8146995602652785,1.629399120530557,6,False,False,MASAC,grid4_cubes9_rrt_isaacsim,Isaac Sim RRT,42,1
7,1,7,0.0,202.12939912053054,False,0.8146995602652785,1.629399120530557,7,False,False,MASAC,grid4_cubes9_rrt_isaacsim,Isaac Sim RRT,42,1
8,1,8,0.0,202.12939912053054,False,0.8146995602652785,1.629399120530557,8,False,False,MASAC,grid4_cubes9_rrt_isaacsim,Isaac Sim RRT,42,1
9,1,9,0.0,202.12939912053054,False,0.8146995602652785,1.629399120530557,9,True,False,MASAC,grid4_cubes9_rrt_isaacsim,Isaac Sim RRT,42,1
10,2,1,40.23274037134399,40.23274037134399,True,0.3663701856719981,0.7327403713439962,1,False,False,MASAC,grid4_cubes9_rrt_isaacsim,Isaac Sim RRT,42,1
11,2,2,43.12721885888207,83.35995923022605,True,-0.07002038488696882,-0.14004076977393765,2,False,False,MASAC,grid4_cubes9_rrt_isaacsim,Isaac Sim RRT,42,1
12,2,3,40.24763604891052,123.60759527913658,True,0.3037976395682934,0.6075952791365868,3,False,False,MASAC,grid4_cubes9_rrt_isaacsim,Isaac Sim RRT,42,1
13,2,4,40.999999969122314,164.6075952482589,True,0.30379762412945166,0.6075952482589033,4,False,False,MASAC,grid4_cubes9_rrt_isaacsim,Isaac Sim RRT,42,1
14,2,5,39.921373098013305,204.5289683462722,True,0.5144841731361055,1.028968346272211,5,False,False,MASAC,grid4_cubes9_rrt_isaacsim,Isaac Sim RRT,42,1
15,2,6,0.0,204.5289683462722,False,0.5144841731361055,1.028968346272211,6,False,False,MASAC,grid4_cubes9_rrt_isaacsim,Isaac Sim RRT,42,1
16,2,7,0.0,204.5289683462722,False,0.5144841731361055,1.028968346272211,6,False,False,MASAC,grid4_cubes9_rrt_isaacsim,Isaac Sim RRT,42,1
17,2,8,0.0,204.5289683462722,False,0.5144841731361055,1.028968346272211,6,False,False,MASAC,grid4_cubes9_rrt_isaacsim,Isaac Sim RRT,42,1
18,2,9,0.0,204.5289683462722,False,0.5144841731361055,1.028968346272211,6,False,False,MASAC,grid4_cubes9_rrt_isaacsim,Isaac Sim RRT,42,1
19,2,10,0.0,204.5289683462722,False,0.5144841731361055,1.028968346272211,6,False,False,MASAC,grid4_cubes9_rrt_isaacsim,Isaac Sim RRT,42,1
20,2,11,0.0,204.5289683462722,False,0.5144841731361055,1.028968346272211,6,False,False,MASAC,grid4_cubes9_rrt_isaacsim,Isaac Sim RRT,42,1
21,2,12,0.0,204.5289683462722,False,0.5144841731361055,1.028968346272211,6,False,False,MASAC,grid4_cubes9_rrt_isaacsim,Isaac Sim RRT,42,1
22,2,13,0.0,204.5289683462722,False,0.5144841731361055,1.028968346272211,6,False,False,MASAC,grid4_cubes9_rrt_isaacsim,Isaac Sim RRT,42,1
23,2,14,0.0,204.5289683462722,False,0.5144841731361055,1.028968346272211,6,False,False,MASAC,grid4_cubes9_rrt_isaacsim,Isaac Sim RRT,42,1
24,2,15,0.0,204.5289683462722,False,0.5144841731361055,1.028968346272211,6,False,False,MASAC,grid4_cubes9_rrt_isaacsim,Isaac Sim RRT,42,1
25,2,16,0.0,204.5289683462722,False,0.5144841731361055,1.028968346272211,6,False,False,MASAC,grid4_cubes9_rrt_isaacsim,Isaac Sim RRT,42,1
26,2,17,0.0,204.5289683462722,False,0.5144841731361055,1.028968346272211,6,False,False,MASAC,grid4_cubes9_rrt_isaacsim,Isaac Sim RRT,42,1
27,2,18,0.0,204.5289683462722,False,0.5144841731361055,1.028968346272211,6,False,False,MASAC,grid4_cubes9_rrt_isaacsim,Isaac Sim RRT,42,1
28,2,19,0.0,204.5289683462722,False,0.5144841731361055,1.028968346272211,6,False,False,MASAC,grid4_cubes9_rrt_isaacsim,Isaac Sim RRT,42,1
29,2,20,0.0,204.5289683462722,False,0.5144841731361055,1.028968346272211,6,False,False,MASAC,grid4_cubes9_rrt_isaacsim,Isaac Sim RRT,42,1
30,2,21,0.0,204.5289683462722,False,0.5144841731361055,1.028968346272211,6,False,False,MASAC,grid4_cubes9_rrt_isaacsim,Isaac Sim RRT,42,1
31,2,22,0.0,204.5289683462722,False,0.5144841731361055,1.028968346272211,6,False,False,MASAC,grid4_cubes9_rrt_isaacsim,Isaac Sim RRT,42,1
32,2,23,0.0,204.5289683462722,False,0.5144841731361055,1.028968346272211,6,False,False,MASAC,grid4_cubes9_rrt_isaacsim,Isaac Sim RRT,42,1
33,2,24,0.0,204.5289683462722,False,0.5144841731361055,1.028968346272211,6,False,False,MASAC,grid4_cubes9_rrt_isaacsim,Isaac Sim RRT,42,1
34,2,25,0.0,204.5289683462722,False,0.5144841731361055,1.028968346272211,6,False,False,MASAC,grid4_cubes9_rrt_isaacsim,Isaac Sim RRT,42,1
35,2,26,0.0,204.5289683462722,False,0.5144841731361055,1.028968346272211,6,False,False,MASAC,grid4_cubes9_rrt_isaacsim,Isaac Sim RRT,42,1
36,2,27,0.0,204.5289683462722,False,0.5144841731361055,1.028968346272211,6,False,False,MASAC,grid4_cubes9_rrt_isaacsim,Isaac Sim RRT,42,1
37,2,28,0.0,204.5289683462722,False,0.5144841731361055,1.028968346272211,6,False,False,MASAC,grid4_cubes9_rrt_isaacsim,Isaac Sim RRT,42,1
38,2,29,0.0,204.5289683462722,False,0.5144841731361055,1.028968346272211,6,False,False,MASAC,grid4_cubes9_rrt_isaacsim,Isaac Sim RRT,42,1
39,2,30,0.0,204.5289683462722,False,0.5144841731361055,1.028968346272211,6,False,False,MASAC,grid4_cubes9_rrt_isaacsim,Isaac Sim RRT,42,1
40,2,31,0.0,204.5289683462722,False,0.5144841731361055,1.028968346272211,6,False,False,MASAC,grid4_cubes9_rrt_isaacsim,Isaac Sim RRT,42,1
41,2,32,0.0,204.5289683462722,False,0.5144841731361055,1.028968346272211,6,False,False,MASAC,grid4_cubes9_rrt_isaacsim,Isaac Sim RRT,42,1
42,2,33,0.0,204.5289683462722,False,0.5144841731361055,1.028968346272211,6,False,False,MASAC,grid4_cubes9_rrt_isaacsim,Isaac Sim RRT,42,1
43,2,34,0.0,204.5289683462722,False,0.5144841731361055,1.028968346272211,6,False,False,MASAC,grid4_cubes9_rrt_isaacsim,Isaac Sim RRT,42,1
44,2,35,0.0,204.5289683462722,False,0.5144841731361055,1.028968346272211,6,False,False,MASAC,grid4_cubes9_rrt_isaacsim,Isaac Sim RRT,42,1
45,2,36,0.0,204.5289683462722,False,0.5144841731361055,1.028968346272211,6,False,False,MASAC,grid4_cubes9_rrt_isaacsim,Isaac Sim RRT,42,1
46,2,37,0.0,204.5289683462722,False,0.5144841731361055,1.028968346272211,6,False,False,MASAC,grid4_cubes9_rrt_isaacsim,Isaac Sim RRT,42,1
47,2,38,0.0,204.5289683462722,False,0.5144841731361055,1.028968346272211,6,False,False,MASAC,grid4_cubes9_rrt_isaacsim,Isaac Sim RRT,42,1
48,2,39,0.0,204.5289683462722,False,0.5144841731361055,1.028968346272211,6,False,False,MASAC,grid4_cubes9_rrt_isaacsim,Isaac Sim RRT,42,1
49,2,40,0.0,204.5289683462722,False,0.5144841731361055,1.028968346272211,6,False,False,MASAC,grid4_cubes9_rrt_isaacsim,Isaac Sim RRT,42,1
50,2,41,0.0,204.5289683462722,False,0.5144841731361055,1.028968346272211,6,False,False,MASAC,grid4_cubes9_rrt_isaacsim,Isaac Sim RRT,42,1
51,2,42,0.0,204.5289683462722,False,0.5144841731361055,1.028968346272211,6,False,False,MASAC,grid4_cubes9_rrt_isaacsim,Isaac Sim RRT,42,1
52,2,43,0.0,204.5289683462722,False,0.5144841731361055,1.028968346272211,6,False,False,MASAC,grid4_cubes9_rrt_isaacsim,Isaac Sim RRT,42,1
53,2,44,0.0,204.5289683462722,False,0.5144841731361055,1.028968346272211,6,False,False,MASAC,grid4_cubes9_rrt_isaacsim,Isaac Sim RRT,42,1
54,2,45,0.0,204.5289683462722,False,0.5144841731361055,1.028968346272211,6,False,False,MASAC,grid4_cubes9_rrt_isaacsim,Isaac Sim RRT,42,1
55,2,46,0.0,204.5289683462722,False,0.5144841731361055,1.028968346272211,6,False,False,MASAC,grid4_cubes9_rrt_isaacsim,Isaac Sim RRT,42,1
56,2,47,0.0,204.5289683462722,False,0.5144841731361055,1.028968346272211,6,False,False,MASAC,grid4_cubes9_rrt_isaacsim,Isaac Sim RRT,42,1
57,2,48,0.0,204.5289683462722,False,0.5144841731361055,1.028968346272211,6,False,False,MASAC,grid4_cubes9_rrt_isaacsim,Isaac Sim RRT,42,1
58,2,49,0.0,204.5289683462722,False,0.5144841731361055,1.028968346272211,6,False,False,MASAC,grid4_cubes9_rrt_isaacsim,Isaac Sim RRT,42,1
59,2,50,0.0,204.5289683462722,False,0.5144841731361055,1.028968346272211,6,False,True,MASAC,grid4_cubes9_rrt_isaacsim,Isaac Sim RRT,42,1
60,3,1,30.128887652985433,30.128887652985433,True,0.8144438264927167,1.6288876529854335,1,False,False,MASAC,grid4_cubes9_rrt_isaacsim,Isaac Sim RRT,42,1
61,3,2,39.088546888514635,69.21743454150007,True,0.608717270750034,1.217434541500068,2,False,False,MASAC,grid4_cubes9_rrt_isaacsim,Isaac Sim RRT,42,1
62,3,3,40.372781007406616,109.59021554890668,True,1.045107774453343,2.090215548906686,3,False,False,MASAC,grid4_cubes9_rrt_isaacsim,Isaac Sim RRT,42,1
63,3,4,39.79264274132004,149.38285829022672,True,1.191429145113363,2.382858290226726,4,False,False,MASAC,grid4_cubes9_rrt_isaacsim,Isaac Sim RRT,42,1
64,3,5,39.50014606010666,188.88300435033338,True,1.1915021751666934,2.383004350333387,5,False,False,MASAC,grid4_cubes9_rrt_isaacsim,Isaac Sim RRT,42,1
65,3,6,0.0,188.88300435033338,False,1.1915021751666934,2.383004350333387,6,False,False,MASAC,grid4_cubes9_rrt_isaacsim,Isaac Sim RRT,42,1
66,3,7,0.0,188.88300435033338,False,1.1915021751666934,2.383004350333387,7,False,False,MASAC,grid4_cubes9_rrt_isaacsim,Isaac Sim RRT,42,1
67,3,8,0.0,188.88300435033338,False,1.1915021751666934,2.383004350333387,8,False,False,MASAC,grid4_cubes9_rrt_isaacsim,Isaac Sim RRT,42,1
68,3,9,0.0,188.88300435033338,False,1.1915021751666934,2.383004350333387,9,True,False,MASAC,grid4_cubes9_rrt_isaacsim,Isaac Sim RRT,42,1
69,4,1,40.16039821833508,40.16039821833508,True,0.3301991091675415,0.660398218335083,1,False,False,MASAC,grid4_cubes9_rrt_isaacsim,Isaac Sim RRT,42,1
