episode,total_reward,episode_length,reshuffles_performed,total_distance_reduced,total_time_saved,cubes_picked,success,algorithm,scenario,planner,seed,run_id
1,160.9122952652343,10,5,0.7061476326171531,1.4122952652343062,9,1.0,MASAC,grid4_cubes9_rrt_isaacsim,Isaac Sim RRT,123,2
2,161.70456569226457,9,5,0.3522828461322877,0.7045656922645754,9,1.0,MASAC,grid4_cubes9_rrt_isaacsim,Isaac Sim RRT,123,2
3,163.3265786767541,9,5,0.413289338377063,0.826578676754126,9,1.0,MASAC,grid4_cubes9_rrt_isaacsim,Isaac Sim RRT,123,2
4,201.24460216019366,50,5,0.37230108009684365,0.7446021601936873,6,0.6666666666666666,MASAC,grid4_cubes9_rrt_isaacsim,Isaac Sim RRT,123,2
5,200.89850150511992,9,5,1.6992507525599698,3.3985015051199396,9,1.0,MASAC,grid4_cubes9_rrt_isaacsim,Isaac Sim RRT,123,2
6,162.5404929475685,9,5,0.77024647378426,1.54049294756852,9,1.0,MASAC,grid4_cubes9_rrt_isaacsim,Isaac Sim RRT,123,2
7,162.30415951775512,9,5,0.6520797588775675,1.304159517755135,9,1.0,MASAC,grid4_cubes9_rrt_isaacsim,Isaac Sim RRT,123,2
8,200.34636429457333,9,5,1.423182147286673,2.846364294573346,9,1.0,MASAC,grid4_cubes9_rrt_isaacsim,Isaac Sim RRT,123,2
9,204.3373621989999,9,5,0.4186810994999583,0.8373621989999166,9,1.0,MASAC,grid4_cubes9_rrt_isaacsim,Isaac Sim RRT,123,2
10,160.44740354584656,9,5,0.47370177292328286,0.9474035458465657,9,1.0,MASAC,grid4_cubes9_rrt_isaacsim,Isaac Sim RRT,123,2
11,202.37843947400054,9,5,1.6892197370002804,3.3784394740005608,9,1.0,MASAC,grid4_cubes9_rrt_isaacsim,Isaac Sim RRT,123,2
12,161.61231892870865,9,5,0.3061594643543284,0.6123189287086568,9,1.0,MASAC,grid4_cubes9_rrt_isaacsim,Isaac Sim RRT,123,2
13,200.56288475275338,10,5,0.781442376376696,1.562884752753392,9,1.0,MASAC,grid4_cubes9_rrt_isaacsim,Isaac Sim RRT,123,2
14,203.53950574456405,9,5,0.7697528722820333,1.5395057445640665,9,1.0,MASAC,grid4_cubes9_rrt_isaacsim,Isaac Sim RRT,123,2
15,201.92100938616943,9,5,0.7105046930847219,1.4210093861694437,9,1.0,MASAC,grid4_cubes9_rrt_isaacsim,Isaac Sim RRT,123,2
16,202.2102723365898,9,5,0.8551361682949117,1.7102723365898234,9,1.0,MASAC,grid4_cubes9_rrt_isaacsim,Isaac Sim RRT,123,2
17,201.75205793439102,9,5,0.6260289671955159,1.2520579343910319,9,1.0,MASAC,grid4_cubes9_rrt_isaacsim,Isaac Sim RRT,123,2
18,200.66076346694183,9,5,0.8303817334709218,1.6607634669418436,9,1.0,MASAC,grid4_cubes9_rrt_isaacsim,Isaac Sim RRT,123,2
19,150.2735258667328,9,5,0.8867629333663991,1.7735258667327982,9,1.0,MASAC,grid4_cubes9_rrt_isaacsim,Isaac Sim RRT,123,2
20,201.3600029593582,9,5,1.1800014796791127,2.3600029593582255,9,1.0,MASAC,grid4_cubes9_rrt_isaacsim,Isaac Sim RRT,123,2
21,80.52085274242859,50,5,0.7604263712142965,1.520852742428593,2,0.2222222222222222,MASAC,grid4_cubes9_rrt_isaacsim,Isaac Sim RRT,123,2
22,191.6943662968733,9,5,1.0971831484366625,2.194366296873325,9,1.0,MASAC,grid4_cubes9_rrt_isaacsim,Isaac Sim RRT,123,2
23,203.3125444778327,9,5,0.6562722389163473,1.3125444778326947,9,1.0,MASAC,grid4_cubes9_rrt_isaacsim,Isaac Sim RRT,123,2
24,162.55013563798866,9,5,0.7750678189943354,1.5501356379886708,9,1.0,MASAC,grid4_cubes9_rrt_isaacsim,Isaac Sim RRT,123,2
25,161.10844546126327,9,5,0.8042227306316416,1.6084454612632832,9,1.0,MASAC,grid4_cubes9_rrt_isaacsim,Isaac Sim RRT,123,2
26,119.54858680437322,50,5,0.524293402186609,1.048586804373218,2,0.2222222222222222,MASAC,grid4_cubes9_rrt_isaacsim,Isaac Sim RRT,123,2
27,161.0846499161621,9,5,0.7923249580810587,1.5846499161621175,9,1.0,MASAC,grid4_cubes9_rrt_isaacsim,Isaac Sim RRT,123,2
28,201.81953450935222,9,5,0.6597672546761211,1.3195345093522421,9,1.0,MASAC,grid4_cubes9_rrt_isaacsim,Isaac Sim RRT,123,2
29,152.1300516029785,9,5,1.0650258014892613,2.1300516029785226,9,1.0,MASAC,grid4_cubes9_rrt_isaacsim,Isaac Sim RRT,123,2
30,161.0509473042389,9,5,0.7754736521194499,1.5509473042388997,9,1.0,MASAC,grid4_cubes9_rrt_isaacsim,Isaac Sim RRT,123,2
31,160.6875755787431,9,5,0.5937877893715546,1.1875755787431093,9,1.0,MASAC,grid4_cubes9_rrt_isaacsim,Isaac Sim RRT,123,2
32,162.49438964890442,9,5,0.7471948244522135,1.494389648904427,9,1.0,MASAC,grid4_cubes9_rrt_isaacsim,Isaac Sim RRT,123,2
33,159.83146123482274,9,5,0.915730617411372,1.831461234822744,9,1.0,MASAC,grid4_cubes9_rrt_isaacsim,Isaac Sim RRT,123,2
34,121.23813610946388,9,5,0.6190680547319443,1.2381361094638885,9,1.0,MASAC,grid4_cubes9_rrt_isaacsim,Isaac Sim RRT,123,2
35,161.05730193423233,9,5,0.7786509671161692,1.5573019342323384,9,1.0,MASAC,grid4_cubes9_rrt_isaacsim,Isaac Sim RRT,123,2
36,161.92940556572876,10,5,1.214702782864384,2.429405565728768,9,1.0,MASAC,grid4_cubes9_rrt_isaacsim,Isaac Sim RRT,123,2
37,201.62664212508622,9,5,0.5633210625431164,1.1266421250862328,9,1.0,MASAC,grid4_cubes9_rrt_isaacsim,Isaac Sim RRT,123,2
38,160.05810393490185,9,5,1.029051967450937,2.058103934901874,9,1.0,MASAC,grid4_cubes9_rrt_isaacsim,Isaac Sim RRT,123,2
39,210.90747503447747,9,5,1.2037375172387446,2.407475034477489,9,1.0,MASAC,grid4_cubes9_rrt_isaacsim,Isaac Sim RRT,123,2
40,161.42230993079147,50,5,0.9611549653957407,1.9223099307914815,7,0.7777777777777778,MASAC,grid4_cubes9_rrt_isaacsim,Isaac Sim RRT,123,2
41,200.0566432167802,9,5,0.5283216083901103,1.0566432167802207,9,1.0,MASAC,grid4_cubes9_rrt_isaacsim,Isaac Sim RRT,123,2
