episode,total_reward,episode_length,reshuffles_performed,total_distance_reduced,total_time_saved,cubes_picked,success,algorithm,scenario,planner,seed,run_id
1,124.91360040740906,9,5,0.2068002037045329,0.4136004074090658,9,1.0,MASAC,grid4_cubes9_rrt_viz,RRT Viz,42,1
2,152.79840568889938,9,5,0.899202844449692,1.798405688899384,9,1.0,MASAC,grid4_cubes9_rrt_viz,RRT Viz,42,1
3,108.24360935592301,9,5,0.6218046779615013,1.2436093559230026,9,1.0,MASAC,grid4_cubes9_rrt_viz,RRT Viz,42,1
4,126.65941656967796,9,5,0.3297082848389836,0.6594165696779672,9,1.0,MASAC,grid4_cubes9_rrt_viz,RRT Viz,42,1
5,108.26532665039635,9,5,0.6326633251981717,1.2653266503963434,9,1.0,MASAC,grid4_cubes9_rrt_viz,RRT Viz,42,1
6,70.18201968071114,9,5,0.5910098403555661,1.1820196807111323,9,1.0,MASAC,grid4_cubes9_rrt_viz,RRT Viz,42,1
7,204.94640964079144,9,5,0.9732048203957209,1.9464096407914417,9,1.0,MASAC,grid4_cubes9_rrt_viz,RRT Viz,42,1
8,126.30343006666233,9,5,1.1517150333311665,2.303430066662333,9,1.0,MASAC,grid4_cubes9_rrt_viz,RRT Viz,42,1
9,219.66098289177745,9,5,1.3304914458887138,2.6609828917774276,9,1.0,MASAC,grid4_cubes9_rrt_viz,RRT Viz,42,1
10,124.47889918629205,9,5,-0.010550406853972127,-0.021100813707944255,9,1.0,MASAC,grid4_cubes9_rrt_viz,RRT Viz,42,1
11,127.06981343472854,8,5,0.534906717364273,1.069813434728546,8,0.8888888888888888,MASAC,grid4_cubes9_rrt_viz,RRT Viz,42,1
12,167.16001491510883,8,5,1.0800074575544178,2.1600149151088357,8,0.8888888888888888,MASAC,grid4_cubes9_rrt_viz,RRT Viz,42,1
13,181.98255418079737,9,5,1.4912770903986778,2.9825541807973557,9,1.0,MASAC,grid4_cubes9_rrt_viz,RRT Viz,42,1
14,121.69192706261823,9,5,0.34596353130911905,0.6919270626182381,9,1.0,MASAC,grid4_cubes9_rrt_viz,RRT Viz,42,1
15,82.3796556710453,9,5,0.1898278355226537,0.3796556710453074,9,1.0,MASAC,grid4_cubes9_rrt_viz,RRT Viz,42,1
16,202.365289261548,9,5,0.4326446307740167,0.8652892615480334,9,1.0,MASAC,grid4_cubes9_rrt_viz,RRT Viz,42,1
17,165.56211905443683,9,5,1.0310595272184193,2.0621190544368386,9,1.0,MASAC,grid4_cubes9_rrt_viz,RRT Viz,42,1
18,176.3221372294733,8,5,0.9110686147366628,1.8221372294733256,8,0.8888888888888888,MASAC,grid4_cubes9_rrt_viz,RRT Viz,42,1
19,80.34066653546265,9,5,-0.07966673226867682,-0.15933346453735364,9,1.0,MASAC,grid4_cubes9_rrt_viz,RRT Viz,42,1
20,126.21041141565372,9,5,1.1052057078268636,2.210411415653727,9,1.0,MASAC,grid4_cubes9_rrt_viz,RRT Viz,42,1
21,85.12490062383259,8,5,1.0624503119162954,2.1249006238325907,8,0.8888888888888888,MASAC,grid4_cubes9_rrt_viz,RRT Viz,42,1
22,82.22182655629089,9,5,0.11091327814544671,0.22182655629089343,9,1.0,MASAC,grid4_cubes9_rrt_viz,RRT Viz,42,1
23,124.56360285989116,9,5,1.0318014299455867,2.0636028598911733,9,1.0,MASAC,grid4_cubes9_rrt_viz,RRT Viz,42,1
24,171.28769553296905,9,5,0.6438477664845275,1.287695532969055,9,1.0,MASAC,grid4_cubes9_rrt_viz,RRT Viz,42,1
25,126.82729864611592,9,5,0.4136493230579611,0.8272986461159222,9,1.0,MASAC,grid4_cubes9_rrt_viz,RRT Viz,42,1
26,119.12289405360188,9,5,-0.43855297319905795,-0.8771059463981159,9,1.0,MASAC,grid4_cubes9_rrt_viz,RRT Viz,42,1
27,29.48841777293846,9,5,0.7442088864692289,1.4884177729384578,9,1.0,MASAC,grid4_cubes9_rrt_viz,RRT Viz,42,1
28,206.57368534612897,8,5,1.0368426730644833,2.0736853461289666,8,0.8888888888888888,MASAC,grid4_cubes9_rrt_viz,RRT Viz,42,1
29,177.7479035098071,8,5,0.8739517549035539,1.7479035098071078,8,0.8888888888888888,MASAC,grid4_cubes9_rrt_viz,RRT Viz,42,1
30,165.66421322786823,9,5,1.0821066139341176,2.164213227868235,9,1.0,MASAC,grid4_cubes9_rrt_viz,RRT Viz,42,1
31,167.11179773771778,9,5,1.055898868858892,2.111797737717784,9,1.0,MASAC,grid4_cubes9_rrt_viz,RRT Viz,42,1
32,147.15270427210461,9,5,0.32635213605230595,0.6527042721046119,9,1.0,MASAC,grid4_cubes9_rrt_viz,RRT Viz,42,1
33,129.54391025121737,9,5,1.2719551256086934,2.543910251217387,9,1.0,MASAC,grid4_cubes9_rrt_viz,RRT Viz,42,1
34,121.14760922010471,9,5,0.823804610052358,1.647609220104716,9,1.0,MASAC,grid4_cubes9_rrt_viz,RRT Viz,42,1
35,82.22284448441437,9,5,0.11142224220718377,0.22284448441436755,9,1.0,MASAC,grid4_cubes9_rrt_viz,RRT Viz,42,1
36,207.0470724682832,7,5,1.273536234141601,2.547072468283202,7,0.7777777777777778,MASAC,grid4_cubes9_rrt_viz,RRT Viz,42,1
37,149.3495630442079,9,5,0.6747815221039584,1.3495630442079167,9,1.0,MASAC,grid4_cubes9_rrt_viz,RRT Viz,42,1
38,85.98469448384216,9,5,0.4923472419210815,0.984694483842163,9,1.0,MASAC,grid4_cubes9_rrt_viz,RRT Viz,42,1
39,150.94737491303505,9,5,0.7236874565175229,1.4473749130350457,9,1.0,MASAC,grid4_cubes9_rrt_viz,RRT Viz,42,1
40,224.61722211525768,9,5,1.5586110576288261,3.1172221152576522,9,1.0,MASAC,grid4_cubes9_rrt_viz,RRT Viz,42,1
41,124.37016581113865,9,5,0.9350829055693258,1.8701658111386517,9,1.0,MASAC,grid4_cubes9_rrt_viz,RRT Viz,42,1
42,126.45271609838535,9,5,1.2263580491926778,2.4527160983853555,9,1.0,MASAC,grid4_cubes9_rrt_viz,RRT Viz,42,1
43,165.4952557560207,9,5,0.9976278780103505,1.995255756020701,9,1.0,MASAC,grid4_cubes9_rrt_viz,RRT Viz,42,1
44,126.54728180611984,9,5,0.27364090305992117,0.5472818061198423,9,1.0,MASAC,grid4_cubes9_rrt_viz,RRT Viz,42,1
45,153.51028749638618,9,5,1.2551437481930905,2.510287496386181,9,1.0,MASAC,grid4_cubes9_rrt_viz,RRT Viz,42,1
46,162.70252586000305,9,5,0.10126293000152575,0.2025258600030515,9,1.0,MASAC,grid4_cubes9_rrt_viz,RRT Viz,42,1
47,221.46780663772464,9,5,1.4839033188623096,2.9678066377246193,9,1.0,MASAC,grid4_cubes9_rrt_viz,RRT Viz,42,1
48,167.41615323984638,9,5,1.2080766199231925,2.416153239846385,9,1.0,MASAC,grid4_cubes9_rrt_viz,RRT Viz,42,1
49,124.98233713051475,9,5,0.24116856525737962,0.48233713051475924,9,1.0,MASAC,grid4_cubes9_rrt_viz,RRT Viz,42,1
50,162.78737061086332,9,5,0.39368530543166236,0.7873706108633247,9,1.0,MASAC,grid4_cubes9_rrt_viz,RRT Viz,42,1
51,203.479542740096,9,5,-0.0102286299519877,-0.0204572599039754,9,1.0,MASAC,grid4_cubes9_rrt_viz,RRT Viz,42,1
52,180.2462063862646,9,5,1.37310319313229,2.74620638626458,9,1.0,MASAC,grid4_cubes9_rrt_viz,RRT Viz,42,1
53,176.75995538967493,9,5,1.1299776948374598,2.2599553896749196,9,1.0,MASAC,grid4_cubes9_rrt_viz,RRT Viz,42,1
54,85.6593369960041,9,5,0.32966849800205433,0.6593369960041087,9,1.0,MASAC,grid4_cubes9_rrt_viz,RRT Viz,42,1
55,152.62367436581673,9,5,0.8118371829083615,1.623674365816723,9,1.0,MASAC,grid4_cubes9_rrt_viz,RRT Viz,42,1
56,165.62099521124378,9,5,1.0604976056218922,2.1209952112437844,9,1.0,MASAC,grid4_cubes9_rrt_viz,RRT Viz,42,1
57,166.2141234426606,9,5,0.35706172133030134,0.7141234426606027,9,1.0,MASAC,grid4_cubes9_rrt_viz,RRT Viz,42,1
58,70.16859731075417,9,5,0.584298655377081,1.168597310754162,9,1.0,MASAC,grid4_cubes9_rrt_viz,RRT Viz,42,1
59,205.15084062926275,9,5,1.075420314631368,2.150840629262736,9,1.0,MASAC,grid4_cubes9_rrt_viz,RRT Viz,42,1
60,206.72209363985303,9,5,1.111046819926513,2.222093639853026,9,1.0,MASAC,grid4_cubes9_rrt_viz,RRT Viz,42,1
61,206.9258134942079,8,5,1.2129067471039423,2.4258134942078846,8,0.8888888888888888,MASAC,grid4_cubes9_rrt_viz,RRT Viz,42,1
62,68.79953369495522,9,5,0.6497668474776059,1.2995336949552119,9,1.0,MASAC,grid4_cubes9_rrt_viz,RRT Viz,42,1
