global_timestep,episode,step_in_episode,reward,cumulative_reward,reshuffled,distance_reduced,time_saved,cubes_picked,done,truncated,algorithm,scenario,planner,seed,run_id
1,1,1,41.05159193424667,41.05159193424667,True,0.02579596712333676,0.05159193424667352,1,False,False,MASAC,grid4_cubes9_rrt_viz,RRT Viz,42,1
2,1,2,39.35860146129357,80.41019339554023,True,-0.04490330222987926,-0.08980660445975852,2,False,False,MASAC,grid4_cubes9_rrt_viz,RRT Viz,42,1
3,1,3,0.0,80.41019339554023,True,-0.04490330222987926,-0.08980660445975852,3,False,False,MASAC,grid4_cubes9_rrt_viz,RRT Viz,42,1
4,1,4,44.50340701186882,124.91360040740906,True,0.2068002037045329,0.4136004074090658,4,False,False,MASAC,grid4_cubes9_rrt_viz,RRT Viz,42,1
5,1,5,0.0,124.91360040740906,True,0.2068002037045329,0.4136004074090658,5,False,False,MASAC,grid4_cubes9_rrt_viz,RRT Viz,42,1
6,1,6,0.0,124.91360040740906,False,0.2068002037045329,0.4136004074090658,6,False,False,MASAC,grid4_cubes9_rrt_viz,RRT Viz,42,1
7,1,7,0.0,124.91360040740906,False,0.2068002037045329,0.4136004074090658,7,False,False,MASAC,grid4_cubes9_rrt_viz,RRT Viz,42,1
8,1,8,0.0,124.91360040740906,False,0.2068002037045329,0.4136004074090658,8,False,False,MASAC,grid4_cubes9_rrt_viz,RRT Viz,42,1
9,1,9,0.0,124.91360040740906,False,0.2068002037045329,0.4136004074090658,9,True,False,MASAC,grid4_cubes9_rrt_viz,RRT Viz,42,1
10,2,1,29.31920376269981,29.31920376269981,True,0.6596018813499052,1.3192037626998103,1,False,False,MASAC,grid4_cubes9_rrt_viz,RRT Viz,42,1
11,2,2,0.0,29.31920376269981,False,0.6596018813499052,1.3192037626998103,2,False,False,MASAC,grid4_cubes9_rrt_viz,RRT Viz,42,1
12,2,3,41.20767963969933,70.52688340239914,True,0.76344170119957,1.52688340239914,3,False,False,MASAC,grid4_cubes9_rrt_viz,RRT Viz,42,1
13,2,4,41.14139861015762,111.66828201255676,True,0.8341410062783816,1.6682820125567632,4,False,False,MASAC,grid4_cubes9_rrt_viz,RRT Viz,42,1
14,2,5,41.13012367634262,152.79840568889938,True,0.899202844449692,1.798405688899384,5,False,False,MASAC,grid4_cubes9_rrt_viz,RRT Viz,42,1
15,2,6,0.0,152.79840568889938,True,0.899202844449692,1.798405688899384,6,False,False,MASAC,grid4_cubes9_rrt_viz,RRT Viz,42,1
16,2,7,0.0,152.79840568889938,False,0.899202844449692,1.798405688899384,7,False,False,MASAC,grid4_cubes9_rrt_viz,RRT Viz,42,1
17,2,8,0.0,152.79840568889938,False,0.899202844449692,1.798405688899384,8,False,False,MASAC,grid4_cubes9_rrt_viz,RRT Viz,42,1
18,2,9,0.0,152.79840568889938,False,0.899202844449692,1.798405688899384,9,True,False,MASAC,grid4_cubes9_rrt_viz,RRT Viz,42,1
19,3,1,29.262630371739117,29.262630371739117,True,0.6313151858695585,1.262630371739117,1,False,False,MASAC,grid4_cubes9_rrt_viz,RRT Viz,42,1
20,3,2,39.48851078896011,68.75114116069923,True,0.6255705803496152,1.2511411606992304,2,False,False,MASAC,grid4_cubes9_rrt_viz,RRT Viz,42,1
21,3,3,0.0,68.75114116069923,True,0.6255705803496152,1.2511411606992304,3,False,False,MASAC,grid4_cubes9_rrt_viz,RRT Viz,42,1
22,3,4,0.0,68.75114116069923,True,0.6255705803496152,1.2511411606992304,4,False,False,MASAC,grid4_cubes9_rrt_viz,RRT Viz,42,1
23,3,5,39.49246819522377,108.24360935592301,True,0.6218046779615013,1.2436093559230026,5,False,False,MASAC,grid4_cubes9_rrt_viz,RRT Viz,42,1
24,3,6,0.0,108.24360935592301,False,0.6218046779615013,1.2436093559230026,6,False,False,MASAC,grid4_cubes9_rrt_viz,RRT Viz,42,1
25,3,7,0.0,108.24360935592301,False,0.6218046779615013,1.2436093559230026,7,False,False,MASAC,grid4_cubes9_rrt_viz,RRT Viz,42,1
26,3,8,0.0,108.24360935592301,False,0.6218046779615013,1.2436093559230026,8,False,False,MASAC,grid4_cubes9_rrt_viz,RRT Viz,42,1
27,3,9,0.0,108.24360935592301,False,0.6218046779615013,1.2436093559230026,9,True,False,MASAC,grid4_cubes9_rrt_viz,RRT Viz,42,1
28,4,1,44.54963852012383,44.54963852012383,True,0.2748192600619146,0.5496385201238292,1,False,False,MASAC,grid4_cubes9_rrt_viz,RRT Viz,42,1
29,4,2,41.10977798847641,85.65941650860023,True,0.3297082543001195,0.659416508600239,2,False,False,MASAC,grid4_cubes9_rrt_viz,RRT Viz,42,1
30,4,3,0.0,85.65941650860023,True,0.3297082543001195,0.659416508600239,3,False,False,MASAC,grid4_cubes9_rrt_viz,RRT Viz,42,1
31,4,4,41.00000006107773,126.65941656967796,True,0.3297082848389836,0.6594165696779672,4,False,False,MASAC,grid4_cubes9_rrt_viz,RRT Viz,42,1
