global_timestep,episode,step_in_episode,reward,cumulative_reward,reshuffled,distance_reduced,time_saved,cubes_picked,done,truncated,algorithm,scenario,planner,seed,run_id
1,1,1,44.03749276912931,44.03749276912931,True,1.1587828154665023,2.3175656309330046,1,False,False,MASAC,grid4_cubes9_astar,A*,42,1
2,1,2,37.992298176673955,82.02979094580326,True,1.0927405051413448,2.1854810102826896,2,False,False,MASAC,grid4_cubes9_astar,A*,42,1
3,1,3,14.707395531281687,96.73718647708495,True,1.0927405051413448,2.1854810102826896,3,False,False,MASAC,grid4_cubes9_astar,A*,42,1
4,1,4,-1.3414318892075698,95.39575458787738,True,1.0927405051413448,2.1854810102826896,4,False,False,MASAC,grid4_cubes9_astar,A*,42,1
5,1,5,17.018899284803783,112.41465387268116,True,1.0927405051413448,2.1854810102826896,5,False,False,MASAC,grid4_cubes9_astar,A*,42,1
6,1,6,0.41566507799653607,112.8303189506777,False,1.0927405051413448,2.1854810102826896,6,False,False,MASAC,grid4_cubes9_astar,A*,42,1
7,1,7,11.580936580223948,124.41125553090164,False,1.0927405051413448,2.1854810102826896,7,False,False,MASAC,grid4_cubes9_astar,A*,42,1
8,1,8,22.242641164464203,146.65389669536586,False,1.0927405051413448,2.1854810102826896,8,False,False,MASAC,grid4_cubes9_astar,A*,42,1
9,1,9,48.262941312806554,194.91683800817242,False,1.0927405051413448,2.1854810102826896,9,True,False,MASAC,grid4_cubes9_astar,A*,42,1
10,2,1,38.86242059653784,38.86242059653784,True,0.7815688668271215,1.563137733654243,1,False,False,MASAC,grid4_cubes9_astar,A*,42,1
11,2,2,16.12911656653422,54.99153716307205,False,0.7815688668271215,1.563137733654243,2,False,False,MASAC,grid4_cubes9_astar,A*,42,1
12,2,3,49.847342332979544,104.83887949605159,True,0.8323801512819321,1.6647603025638642,3,False,False,MASAC,grid4_cubes9_astar,A*,42,1
13,2,4,40.131886082902085,144.97076557895366,True,0.871548460737508,1.743096921475016,4,False,False,MASAC,grid4_cubes9_astar,A*,42,1
14,2,5,40.15187649209092,185.1226420710446,True,0.920711974787503,1.841423949575006,5,False,False,MASAC,grid4_cubes9_astar,A*,42,1
15,2,6,12.052342372800382,197.17498444384498,True,0.920711974787503,1.841423949575006,6,False,False,MASAC,grid4_cubes9_astar,A*,42,1
16,2,7,9.811028074528178,206.98601251837314,False,0.920711974787503,1.841423949575006,7,False,False,MASAC,grid4_cubes9_astar,A*,42,1
17,2,8,20.667134844175386,227.65314736254854,False,0.920711974787503,1.841423949575006,8,False,False,MASAC,grid4_cubes9_astar,A*,42,1
18,2,9,52.17545440422565,279.82860176677417,False,0.920711974787503,1.841423949575006,9,True,False,MASAC,grid4_cubes9_astar,A*,42,1
19,3,1,38.405319312245624,38.405319312245624,True,0.7532821713467748,1.5065643426935496,1,False,False,MASAC,grid4_cubes9_astar,A*,42,1
20,3,2,9.875122651168446,48.28044196341407,False,0.7532821713467748,1.5065643426935496,2,False,False,MASAC,grid4_cubes9_astar,A*,42,1
21,3,3,22.99724607681671,71.27768804023079,True,0.7532821713467748,1.5065643426935496,3,False,False,MASAC,grid4_cubes9_astar,A*,42,1
22,3,4,10.517939562269802,81.79562760250059,True,0.7532821713467748,1.5065643426935496,4,False,False,MASAC,grid4_cubes9_astar,A*,42,1
