episode,total_reward,episode_length,reshuffles_performed,total_distance_reduced,total_time_saved,cubes_picked,success,algorithm,scenario,planner,seed,run_id
1,179.12919958124766,8,5,1.1047664511943611,2.2095329023887222,8,0.8888888888888888,MASAC,grid4_cubes9_astar,A*,123,2
2,220.67761106688957,9,5,0.694000153941241,1.388000307882482,9,1.0,MASAC,grid4_cubes9_astar,A*,123,2
3,255.49971092568458,9,5,-0.029286207129797903,-0.058572414259595806,9,1.0,MASAC,grid4_cubes9_astar,A*,123,2
4,241.95175649504472,8,5,1.3405725097056829,2.6811450194113657,8,0.8888888888888888,MASAC,grid4_cubes9_astar,A*,123,2
5,240.59490325483375,9,5,0.12198833725496538,0.24397667450993077,9,1.0,MASAC,grid4_cubes9_astar,A*,123,2
6,213.58356039677605,9,5,1.1845306448164852,2.3690612896329704,9,1.0,MASAC,grid4_cubes9_astar,A*,123,2
7,270.1352266385982,9,5,1.0598746281464275,2.119749256292855,9,1.0,MASAC,grid4_cubes9_astar,A*,123,2
8,215.6359579456186,9,5,0.9945715479431088,1.9891430958862175,9,1.0,MASAC,grid4_cubes9_astar,A*,123,2
9,266.28414290762305,8,5,0.6496404332934881,1.2992808665869762,8,0.8888888888888888,MASAC,grid4_cubes9_astar,A*,123,2
10,190.87870616580824,9,5,-0.10708450778562784,-0.21416901557125567,9,1.0,MASAC,grid4_cubes9_astar,A*,123,2
11,185.26645388738595,8,5,1.0481255952676451,2.0962511905352903,8,0.8888888888888888,MASAC,grid4_cubes9_astar,A*,123,2
12,249.66971180010182,9,5,0.6333410726286555,1.266682145257311,9,1.0,MASAC,grid4_cubes9_astar,A*,123,2
13,263.79404094191347,9,5,0.7251219076930547,1.4502438153861095,9,1.0,MASAC,grid4_cubes9_astar,A*,123,2
14,158.78406409862288,9,5,-0.035296506015312645,-0.07059301203062529,9,1.0,MASAC,grid4_cubes9_astar,A*,123,2
15,255.88971323020002,9,5,1.6180785637695965,3.236157127539193,9,1.0,MASAC,grid4_cubes9_astar,A*,123,2
16,188.7796227125108,9,5,1.1808193616095455,2.361638723219091,9,1.0,MASAC,grid4_cubes9_astar,A*,123,2
17,264.7810284337464,9,5,0.8379092681563313,1.6758185363126625,9,1.0,MASAC,grid4_cubes9_astar,A*,123,2
18,207.8017792286677,7,5,1.2014659386475262,2.4029318772950523,7,0.7777777777777778,MASAC,grid4_cubes9_astar,A*,123,2
19,230.5001861619507,9,5,1.2693244683897906,2.5386489367795813,9,1.0,MASAC,grid4_cubes9_astar,A*,123,2
20,279.79822757527177,9,5,1.0898817345963154,2.179763469192631,9,1.0,MASAC,grid4_cubes9_astar,A*,123,2
21,185.68908442121858,9,5,0.8752547322293431,1.7505094644586863,9,1.0,MASAC,grid4_cubes9_astar,A*,123,2
22,200.49909086880058,9,5,0.8959249611001999,1.7918499222003998,9,1.0,MASAC,grid4_cubes9_astar,A*,123,2
23,232.13405443856135,9,5,0.6354618425470383,1.2709236850940766,9,1.0,MASAC,grid4_cubes9_astar,A*,123,2
24,196.83005684017073,9,5,1.0622379473868282,2.1244758947736564,9,1.0,MASAC,grid4_cubes9_astar,A*,123,2
25,231.79399281044948,8,5,0.8721480546000877,1.7442961092001754,8,0.8888888888888888,MASAC,grid4_cubes9_astar,A*,123,2
26,228.10507483643892,9,5,0.32753692171617754,0.6550738434323551,9,1.0,MASAC,grid4_cubes9_astar,A*,123,2
27,159.48507204762134,9,5,0.3030649893922568,0.6061299787845136,9,1.0,MASAC,grid4_cubes9_astar,A*,123,2
28,186.9329817832438,9,5,0.9294242552939327,1.8588485105878654,9,1.0,MASAC,grid4_cubes9_astar,A*,123,2
29,261.94147095187395,9,5,0.8647357985840471,1.7294715971680943,9,1.0,MASAC,grid4_cubes9_astar,A*,123,2
30,241.92060359704982,9,5,0.2890930758215571,0.5781861516431142,9,1.0,MASAC,grid4_cubes9_astar,A*,123,2
31,222.38462336858916,9,5,1.5397375032184417,3.0794750064368834,9,1.0,MASAC,grid4_cubes9_astar,A*,123,2
32,158.73135287232236,8,5,0.358793484513259,0.717586969026518,8,0.8888888888888888,MASAC,grid4_cubes9_astar,A*,123,2
33,290.592293279125,9,5,1.5239695166005691,3.0479390332011382,9,1.0,MASAC,grid4_cubes9_astar,A*,123,2
34,223.29587791616564,8,5,1.489655307703467,2.979310615406934,8,0.8888888888888888,MASAC,grid4_cubes9_astar,A*,123,2
35,244.63092024055527,9,5,-0.1781479785324429,-0.3562959570648858,9,1.0,MASAC,grid4_cubes9_astar,A*,123,2
36,219.83879345889517,9,5,1.0106875653368026,2.021375130673605,9,1.0,MASAC,grid4_cubes9_astar,A*,123,2
37,252.6274803202154,9,5,0.49433795712038286,0.9886759142407657,9,1.0,MASAC,grid4_cubes9_astar,A*,123,2
38,205.79099435622166,9,5,0.793391930405593,1.586783860811186,9,1.0,MASAC,grid4_cubes9_astar,A*,123,2
39,270.60180133194484,9,5,1.1937230405810753,2.3874460811621505,9,1.0,MASAC,grid4_cubes9_astar,A*,123,2
40,193.6471261775622,9,5,0.39318298036286836,0.7863659607257367,9,1.0,MASAC,grid4_cubes9_astar,A*,123,2
41,261.0811834927831,9,5,0.7411603853337128,1.4823207706674255,9,1.0,MASAC,grid4_cubes9_astar,A*,123,2
42,264.3583883456523,9,5,0.9070278570519121,1.8140557141038243,9,1.0,MASAC,grid4_cubes9_astar,A*,123,2
43,214.07507382402727,9,5,0.40664095179002524,0.8132819035800505,9,1.0,MASAC,grid4_cubes9_astar,A*,123,2
44,259.77621348323476,9,5,1.181913338973597,2.363826677947194,9,1.0,MASAC,grid4_cubes9_astar,A*,123,2
45,214.01413886992805,9,5,0.2034705751580954,0.4069411503161908,9,1.0,MASAC,grid4_cubes9_astar,A*,123,2
46,215.2381126650357,9,5,0.8439557421362812,1.6879114842725624,9,1.0,MASAC,grid4_cubes9_astar,A*,123,2
47,227.62851966635435,9,5,1.2243879131499202,2.4487758262998405,9,1.0,MASAC,grid4_cubes9_astar,A*,123,2
48,204.3557403456772,9,5,1.009090112463277,2.018180224926554,9,1.0,MASAC,grid4_cubes9_astar,A*,123,2
49,233.76343395147126,9,5,1.0263214513538177,2.0526429027076354,9,1.0,MASAC,grid4_cubes9_astar,A*,123,2
50,244.88247080589773,8,5,0.5540503608073712,1.1081007216147425,8,0.8888888888888888,MASAC,grid4_cubes9_astar,A*,123,2
51,218.9816872661446,9,5,0.31994483969255694,0.6398896793851139,9,1.0,MASAC,grid4_cubes9_astar,A*,123,2
52,189.36933769926324,9,5,0.44731330242966416,0.8946266048593283,9,1.0,MASAC,grid4_cubes9_astar,A*,123,2
53,269.6541783495599,9,5,0.06861738464876421,0.13723476929752843,9,1.0,MASAC,grid4_cubes9_astar,A*,123,2
54,264.8299921496298,9,5,1.1474057839487752,2.2948115678975505,9,1.0,MASAC,grid4_cubes9_astar,A*,123,2
55,222.60389146264797,9,5,1.1713196266437325,2.342639253287465,9,1.0,MASAC,grid4_cubes9_astar,A*,123,2
56,188.46974850363614,9,5,0.7698147706565792,1.5396295413131584,9,1.0,MASAC,grid4_cubes9_astar,A*,123,2
57,208.5658430272394,9,5,0.3546098941011191,0.7092197882022382,9,1.0,MASAC,grid4_cubes9_astar,A*,123,2
58,189.35930591415948,9,5,0.2620989674128319,0.5241979348256638,9,1.0,MASAC,grid4_cubes9_astar,A*,123,2
59,204.97726037719545,9,5,0.364144670311904,0.728289340623808,9,1.0,MASAC,grid4_cubes9_astar,A*,123,2
60,202.6388524228541,9,5,0.7779845885458858,1.5559691770917716,9,1.0,MASAC,grid4_cubes9_astar,A*,123,2
61,236.0899461943958,9,5,0.744640701067319,1.489281402134638,9,1.0,MASAC,grid4_cubes9_astar,A*,123,2
62,147.2675714297499,9,5,1.058505570421794,2.117011140843588,9,1.0,MASAC,grid4_cubes9_astar,A*,123,2
63,171.3062174530155,9,5,0.19986640778397324,0.3997328155679465,9,1.0,MASAC,grid4_cubes9_astar,A*,123,2
64,330.2367360036257,9,5,0.7508494539665581,1.5016989079331162,9,1.0,MASAC,grid4_cubes9_astar,A*,123,2
65,184.93709402080648,8,5,0.368402760243857,0.736805520487714,8,0.8888888888888888,MASAC,grid4_cubes9_astar,A*,123,2
66,204.33286591764272,9,5,1.2785837519324237,2.5571675038648474,9,1.0,MASAC,grid4_cubes9_astar,A*,123,2
67,233.93776416048843,9,5,0.3329117705587984,0.6658235411175968,9,1.0,MASAC,grid4_cubes9_astar,A*,123,2
68,254.81327970302166,9,5,0.012846987462484916,0.02569397492496983,9,1.0,MASAC,grid4_cubes9_astar,A*,123,2
69,365.4448141568365,9,5,0.4010494331612994,0.8020988663225987,9,1.0,MASAC,grid4_cubes9_astar,A*,123,2
70,185.9190139284912,9,5,0.8500614519220383,1.7001229038440766,9,1.0,MASAC,grid4_cubes9_astar,A*,123,2
71,221.43910676324333,9,5,0.7096896045846701,1.4193792091693402,9,1.0,MASAC,grid4_cubes9_astar,A*,123,2
72,226.70004706142663,8,5,0.9538893562509259,1.9077787125018517,8,0.8888888888888888,MASAC,grid4_cubes9_astar,A*,123,2
73,157.21925490979459,9,5,0.89049313650333,1.78098627300666,9,1.0,MASAC,grid4_cubes9_astar,A*,123,2
74,222.78051201744043,8,5,0.5264564142920161,1.0529128285840321,8,0.8888888888888888,MASAC,grid4_cubes9_astar,A*,123,2
75,197.4327412036316,9,5,1.1185207060995968,2.2370414121991935,9,1.0,MASAC,grid4_cubes9_astar,A*,123,2
76,195.02027451661112,9,5,0.10417902962129355,0.2083580592425871,9,1.0,MASAC,grid4_cubes9_astar,A*,123,2
77,176.72511696380906,9,5,1.07096549789342,2.14193099578684,9,1.0,MASAC,grid4_cubes9_astar,A*,123,2
78,202.37072161706763,9,5,0.14142448202531577,0.28284896405063154,9,1.0,MASAC,grid4_cubes9_astar,A*,123,2
79,237.6507273774373,9,5,1.4695770721645194,2.9391541443290388,9,1.0,MASAC,grid4_cubes9_astar,A*,123,2
80,242.6706132130707,9,5,1.7369892559875608,3.4739785119751216,9,1.0,MASAC,grid4_cubes9_astar,A*,123,2
81,178.13196477626389,9,5,0.3472371038517833,0.6944742077035666,9,1.0,MASAC,grid4_cubes9_astar,A*,123,2
82,126.519068847775,8,5,0.6867357845407517,1.3734715690815034,8,0.8888888888888888,MASAC,grid4_cubes9_astar,A*,123,2
83,205.31812714203903,8,5,-0.05830414868379763,-0.11660829736759526,8,0.8888888888888888,MASAC,grid4_cubes9_astar,A*,123,2
84,162.07965826386464,9,5,1.4884846538508616,2.976969307701723,9,1.0,MASAC,grid4_cubes9_astar,A*,123,2
85,191.03313008384765,9,5,0.3660205476922751,0.7320410953845502,9,1.0,MASAC,grid4_cubes9_astar,A*,123,2
86,240.54056197718717,8,5,0.951503138232022,1.903006276464044,8,0.8888888888888888,MASAC,grid4_cubes9_astar,A*,123,2
87,204.6482966685527,8,5,-0.009034557895786777,-0.018069115791573553,8,0.8888888888888888,MASAC,grid4_cubes9_astar,A*,123,2
