episode,total_reward,episode_length,reshuffles_performed,total_distance_reduced,total_time_saved,cubes_picked,success,algorithm,scenario,planner,seed,run_id
1,227.59965731401226,9,5,0.396215646383669,0.792431292767338,9,1.0,MASAC,grid4_cubes9_rrt_isaacsim,Isaac Sim RRT,123,2
2,325.15187482009753,9,5,0.5382612469730428,1.0765224939460856,9,1.0,MASAC,grid4_cubes9_rrt_isaacsim,Isaac Sim RRT,123,2
3,319.01917262569725,9,5,0.8911644054360639,1.7823288108721278,9,1.0,MASAC,grid4_cubes9_rrt_isaacsim,Isaac Sim RRT,123,2
4,344.02710883159966,9,5,0.8710221792118724,1.7420443584237448,9,1.0,MASAC,grid4_cubes9_rrt_isaacsim,Isaac Sim RRT,123,2
5,331.16651325145733,9,5,0.740234291976879,1.480468583953758,9,1.0,MASAC,grid4_cubes9_rrt_isaacsim,Isaac Sim RRT,123,2
6,330.80029709715416,9,5,0.6867693210499461,1.3735386420998923,9,1.0,MASAC,grid4_cubes9_rrt_isaacsim,Isaac Sim RRT,123,2
7,345.2352000436707,9,5,1.0222619505544333,2.0445239011088665,9,1.0,MASAC,grid4_cubes9_rrt_isaacsim,Isaac Sim RRT,123,2
8,-857.5667113822651,50,5,0.6147418236915244,1.2294836473830488,6,0.6666666666666666,MASAC,grid4_cubes9_rrt_isaacsim,Isaac Sim RRT,123,2
9,336.7604496681064,9,5,0.8593550148544362,1.7187100297088724,9,1.0,MASAC,grid4_cubes9_rrt_isaacsim,Isaac Sim RRT,123,2
10,335.0991466082811,9,5,0.5794986012516072,1.1589972025032145,9,1.0,MASAC,grid4_cubes9_rrt_isaacsim,Isaac Sim RRT,123,2
11,340.3646165987493,9,5,0.7865649605648692,1.5731299211297385,9,1.0,MASAC,grid4_cubes9_rrt_isaacsim,Isaac Sim RRT,123,2
12,335.9285127892519,9,5,0.641905939655652,1.283811879311304,9,1.0,MASAC,grid4_cubes9_rrt_isaacsim,Isaac Sim RRT,123,2
13,331.9142839367078,9,5,0.3384032520589879,0.6768065041179758,9,1.0,MASAC,grid4_cubes9_rrt_isaacsim,Isaac Sim RRT,123,2
14,352.22054587664735,9,5,1.0751726658960012,2.1503453317920025,9,1.0,MASAC,grid4_cubes9_rrt_isaacsim,Isaac Sim RRT,123,2
15,325.3096377870086,9,5,1.1867286501610455,2.373457300322091,9,1.0,MASAC,grid4_cubes9_rrt_isaacsim,Isaac Sim RRT,123,2
