global_timestep,episode,step_in_episode,reward,cumulative_reward,reshuffled,distance_reduced,time_saved,cubes_picked,done,truncated,algorithm,scenario,planner,seed,run_id
1,1,1,55.426385699153734,55.426385699153734,True,0.2565429652320872,0.5130859304641744,1,False,False,MASAC,grid4_cubes9_rrt_isaacsim,Isaac Sim RRT,123,2
2,1,2,4.235069525447674,59.66145522460141,False,0.2565429652320872,0.5130859304641744,2,False,False,MASAC,grid4_cubes9_rrt_isaacsim,Isaac Sim RRT,123,2
3,1,3,8.427352950797554,68.08880817539897,True,0.2565429652320872,0.5130859304641744,3,False,False,MASAC,grid4_cubes9_rrt_isaacsim,Isaac Sim RRT,123,2
4,1,4,8.138824679676558,76.22763285507553,True,0.2565429652320872,0.5130859304641744,4,False,False,MASAC,grid4_cubes9_rrt_isaacsim,Isaac Sim RRT,123,2
5,1,5,19.103483352888922,95.33111620796444,True,0.2565429652320872,0.5130859304641744,5,False,False,MASAC,grid4_cubes9_rrt_isaacsim,Isaac Sim RRT,123,2
6,1,6,46.785972499074404,142.11708870703885,True,0.396215646383669,0.792431292767338,6,False,False,MASAC,grid4_cubes9_rrt_isaacsim,Isaac Sim RRT,123,2
7,1,7,18.74375276564131,160.86084147268016,False,0.396215646383669,0.792431292767338,7,False,False,MASAC,grid4_cubes9_rrt_isaacsim,Isaac Sim RRT,123,2
8,1,8,7.006627136771245,167.8674686094514,False,0.396215646383669,0.792431292767338,8,False,False,MASAC,grid4_cubes9_rrt_isaacsim,Isaac Sim RRT,123,2
9,1,9,59.73218870456085,227.59965731401226,False,0.396215646383669,0.792431292767338,9,True,False,MASAC,grid4_cubes9_rrt_isaacsim,Isaac Sim RRT,123,2
10,2,1,55.42191988289197,55.42191988289197,True,0.24729554301376444,0.4945910860275289,1,False,False,MASAC,grid4_cubes9_rrt_isaacsim,Isaac Sim RRT,123,2
11,2,2,44.18700717981256,99.60892706270454,True,0.5101532031272908,1.0203064062545817,2,False,False,MASAC,grid4_cubes9_rrt_isaacsim,Isaac Sim RRT,123,2
12,2,3,48.648192578650885,148.25711964135542,True,0.5101531876884491,1.0203063753768982,3,False,False,MASAC,grid4_cubes9_rrt_isaacsim,Isaac Sim RRT,123,2
13,2,4,46.931886096803424,195.18900573815884,True,0.5382612624118845,1.076522524823769,4,False,False,MASAC,grid4_cubes9_rrt_isaacsim,Isaac Sim RRT,123,2
14,2,5,48.00662710589356,243.1956328440524,True,0.5382612469730428,1.0765224939460856,5,False,False,MASAC,grid4_cubes9_rrt_isaacsim,Isaac Sim RRT,123,2
15,2,6,7.006627136771245,250.20225998082364,False,0.5382612469730428,1.0765224939460856,6,False,False,MASAC,grid4_cubes9_rrt_isaacsim,Isaac Sim RRT,123,2
16,2,7,7.006627136771245,257.2088871175949,False,0.5382612469730428,1.0765224939460856,7,False,False,MASAC,grid4_cubes9_rrt_isaacsim,Isaac Sim RRT,123,2
17,2,8,8.198498560649487,265.4073856782444,False,0.5382612469730428,1.0765224939460856,8,False,False,MASAC,grid4_cubes9_rrt_isaacsim,Isaac Sim RRT,123,2
18,2,9,59.74448914185316,325.15187482009753,False,0.5382612469730428,1.0765224939460856,9,True,False,MASAC,grid4_cubes9_rrt_isaacsim,Isaac Sim RRT,123,2
19,3,1,45.02940568249931,45.02940568249931,True,0.7224266980645389,1.4448533961290777,1,False,False,MASAC,grid4_cubes9_rrt_isaacsim,Isaac Sim RRT,123,2
20,3,2,44.96510025037525,89.99450593287456,True,0.8687480687245588,1.7374961374491176,2,False,False,MASAC,grid4_cubes9_rrt_isaacsim,Isaac Sim RRT,123,2
21,3,3,46.56958618086762,136.56409211374216,True,0.900227590772747,1.800455181545494,3,False,False,MASAC,grid4_cubes9_rrt_isaacsim,Isaac Sim RRT,123,2
22,3,4,49.239911388981874,185.80400350272404,True,0.8911644208749057,1.7823288417498113,4,False,False,MASAC,grid4_cubes9_rrt_isaacsim,Isaac Sim RRT,123,2
23,3,5,48.00662710589356,233.8106306086176,True,0.8911644054360639,1.7823288108721278,5,False,False,MASAC,grid4_cubes9_rrt_isaacsim,Isaac Sim RRT,123,2
24,3,6,7.006627136771245,240.81725774538884,False,0.8911644054360639,1.7823288108721278,6,False,False,MASAC,grid4_cubes9_rrt_isaacsim,Isaac Sim RRT,123,2
25,3,7,10.911945669286474,251.7292034146753,False,0.8911644054360639,1.7823288108721278,7,False,False,MASAC,grid4_cubes9_rrt_isaacsim,Isaac Sim RRT,123,2
26,3,8,7.874756370230109,259.60395978490544,False,0.8911644054360639,1.7823288108721278,8,False,False,MASAC,grid4_cubes9_rrt_isaacsim,Isaac Sim RRT,123,2
27,3,9,59.4152128407918,319.01917262569725,False,0.8911644054360639,1.7823288108721278,9,True,False,MASAC,grid4_cubes9_rrt_isaacsim,Isaac Sim RRT,123,2
28,4,1,56.649495908591724,56.649495908591724,True,0.25450991258093264,0.5090198251618653,1,False,False,MASAC,grid4_cubes9_rrt_isaacsim,Isaac Sim RRT,123,2
29,4,2,47.983494518724356,104.63299042731609,True,0.6502922486359264,1.3005844972718528,2,False,False,MASAC,grid4_cubes9_rrt_isaacsim,Isaac Sim RRT,123,2
30,4,3,46.988293074788515,151.6212835021046,True,0.8911252176445639,1.7822504352891277,3,False,False,MASAC,grid4_cubes9_rrt_isaacsim,Isaac Sim RRT,123,2
31,4,4,44.307656936789314,195.9289404388939,True,0.8710221946507142,1.7420443893014284,4,False,False,MASAC,grid4_cubes9_rrt_isaacsim,Isaac Sim RRT,123,2
32,4,5,48.00662710589356,243.93556754478746,True,0.8710221792118724,1.7420443584237448,5,False,False,MASAC,grid4_cubes9_rrt_isaacsim,Isaac Sim RRT,123,2
33,4,6,8.217907249113157,252.1534747939006,False,0.8710221792118724,1.7420443584237448,6,False,False,MASAC,grid4_cubes9_rrt_isaacsim,Isaac Sim RRT,123,2
34,4,7,16.6092077491534,268.762682543054,False,0.8710221792118724,1.7420443584237448,7,False,False,MASAC,grid4_cubes9_rrt_isaacsim,Isaac Sim RRT,123,2
35,4,8,18.230763565931014,286.993446108985,False,0.8710221792118724,1.7420443584237448,8,False,False,MASAC,grid4_cubes9_rrt_isaacsim,Isaac Sim RRT,123,2
36,4,9,57.03366272261471,344.02710883159966,False,0.8710221792118724,1.7420443584237448,9,True,False,MASAC,grid4_cubes9_rrt_isaacsim,Isaac Sim RRT,123,2
37,5,1,48.46468406370156,48.46468406370156,True,0.12170929570116384,0.2434185914023277,1,False,False,MASAC,grid4_cubes9_rrt_isaacsim,Isaac Sim RRT,123,2
38,5,2,48.479692213449866,96.94437627715143,True,0.4926438858607718,0.9852877717215436,2,False,False,MASAC,grid4_cubes9_rrt_isaacsim,Isaac Sim RRT,123,2
39,5,3,49.808468276782214,146.75284455393364,True,0.7607061639514405,1.521412327902881,3,False,False,MASAC,grid4_cubes9_rrt_isaacsim,Isaac Sim RRT,123,2
40,5,4,45.56827850866092,192.32112306259455,True,0.7402343074157207,1.4804686148314414,4,False,False,MASAC,grid4_cubes9_rrt_isaacsim,Isaac Sim RRT,123,2
41,5,5,48.00662710589356,240.3277501684881,True,0.740234291976879,1.480468583953758,5,False,False,MASAC,grid4_cubes9_rrt_isaacsim,Isaac Sim RRT,123,2
42,5,6,7.006627136771245,247.33437730525935,False,0.740234291976879,1.480468583953758,6,False,False,MASAC,grid4_cubes9_rrt_isaacsim,Isaac Sim RRT,123,2
43,5,7,18.49422581869117,265.82860312395053,False,0.740234291976879,1.480468583953758,7,False,False,MASAC,grid4_cubes9_rrt_isaacsim,Isaac Sim RRT,123,2
44,5,8,8.937767433513367,274.7663705574639,False,0.740234291976879,1.480468583953758,8,False,False,MASAC,grid4_cubes9_rrt_isaacsim,Isaac Sim RRT,123,2
45,5,9,56.40014269399344,331.16651325145733,False,0.740234291976879,1.480468583953758,9,True,False,MASAC,grid4_cubes9_rrt_isaacsim,Isaac Sim RRT,123,2
46,6,1,55.3083668451813,55.3083668451813,True,0.29049132928320315,0.5809826585664063,1,False,False,MASAC,grid4_cubes9_rrt_isaacsim,Isaac Sim RRT,123,2
47,6,2,47.68615686666559,102.99452371184688,True,0.4045986842209483,0.8091973684418966,2,False,False,MASAC,grid4_cubes9_rrt_isaacsim,Isaac Sim RRT,123,2
48,6,3,47.01333405894226,150.00785777078914,True,0.6579521453064596,1.3159042906129192,3,False,False,MASAC,grid4_cubes9_rrt_isaacsim,Isaac Sim RRT,123,2
49,6,4,43.33078361450137,193.33864138529052,True,0.6867693364887879,1.3735386729775758,4,False,False,MASAC,grid4_cubes9_rrt_isaacsim,Isaac Sim RRT,123,2
50,6,5,48.00662710589356,241.34526849118407,True,0.6867693210499461,1.3735386420998923,5,False,False,MASAC,grid4_cubes9_rrt_isaacsim,Isaac Sim RRT,123,2
51,6,6,2.713377071072065,244.05864556225615,False,0.6867693210499461,1.3735386420998923,6,False,False,MASAC,grid4_cubes9_rrt_isaacsim,Isaac Sim RRT,123,2
52,6,7,7.006627136771245,251.0652726990274,False,0.6867693210499461,1.3735386420998923,7,False,False,MASAC,grid4_cubes9_rrt_isaacsim,Isaac Sim RRT,123,2
53,6,8,20.392661473272256,271.45793417229964,False,0.6867693210499461,1.3735386420998923,8,False,False,MASAC,grid4_cubes9_rrt_isaacsim,Isaac Sim RRT,123,2
54,6,9,59.342362924854484,330.80029709715416,False,0.6867693210499461,1.3735386420998923,9,True,False,MASAC,grid4_cubes9_rrt_isaacsim,Isaac Sim RRT,123,2
55,7,1,54.38990973340064,54.38990973340064,True,0.5959442310998546,1.1918884621997092,1,False,False,MASAC,grid4_cubes9_rrt_isaacsim,Isaac Sim RRT,123,2
56,7,2,47.66834253863516,102.0582522720358,True,0.8394371169862387,1.6788742339724774,2,False,False,MASAC,grid4_cubes9_rrt_isaacsim,Isaac Sim RRT,123,2
57,7,3,48.14265104939315,150.20090332142894,True,1.051809017126239,2.103618034252478,3,False,False,MASAC,grid4_cubes9_rrt_isaacsim,Isaac Sim RRT,123,2
