episode,total_reward,episode_length,reshuffles_performed,total_distance_reduced,total_time_saved,cubes_picked,success,algorithm,scenario,planner,seed,run_id
1,260.2556621918294,9,5,0.6554357392587123,1.3108714785174247,9,1.0,MASAC,grid4_cubes9_rrt_viz,RRT Viz,123,2
2,262.46129620866685,9,5,0.18517562967964163,0.37035125935928326,9,1.0,MASAC,grid4_cubes9_rrt_viz,RRT Viz,123,2
3,248.4296638266407,9,5,0.9252920678045858,1.8505841356091717,9,1.0,MASAC,grid4_cubes9_rrt_viz,RRT Viz,123,2
4,351.4218600843724,9,5,1.3571936114923515,2.714387222984703,9,1.0,MASAC,grid4_cubes9_rrt_viz,RRT Viz,123,2
5,154.45627531428056,8,5,0.6936243332700711,1.3872486665401422,8,0.8888888888888888,MASAC,grid4_cubes9_rrt_viz,RRT Viz,123,2
6,241.03327993417298,9,5,0.02372763153171742,0.04745526306343484,9,1.0,MASAC,grid4_cubes9_rrt_viz,RRT Viz,123,2
7,299.91730606329565,9,5,0.36410600241592395,0.7282120048318479,9,1.0,MASAC,grid4_cubes9_rrt_viz,RRT Viz,123,2
8,304.23840496587525,9,5,0.37383011204429617,0.7476602240885923,9,1.0,MASAC,grid4_cubes9_rrt_viz,RRT Viz,123,2
9,338.7759199260598,9,5,-0.0859800127784699,-0.1719600255569398,9,1.0,MASAC,grid4_cubes9_rrt_viz,RRT Viz,123,2
10,291.327737266511,9,5,1.062118980069452,2.124237960138904,9,1.0,MASAC,grid4_cubes9_rrt_viz,RRT Viz,123,2
11,352.0146397888749,9,5,0.27717504273567184,0.5543500854713437,9,1.0,MASAC,grid4_cubes9_rrt_viz,RRT Viz,123,2
12,237.6207846763242,9,5,0.7283508985726168,1.4567017971452336,9,1.0,MASAC,grid4_cubes9_rrt_viz,RRT Viz,123,2
13,255.05433851804602,9,5,0.16862580772495472,0.33725161544990945,9,1.0,MASAC,grid4_cubes9_rrt_viz,RRT Viz,123,2
14,273.0255763612039,9,5,0.12230637890525808,0.24461275781051617,9,1.0,MASAC,grid4_cubes9_rrt_viz,RRT Viz,123,2
15,258.7808831211021,9,5,1.0995296825815104,2.199059365163021,9,1.0,MASAC,grid4_cubes9_rrt_viz,RRT Viz,123,2
16,239.08700288203474,9,5,0.9635565554682002,1.9271131109364004,9,1.0,MASAC,grid4_cubes9_rrt_viz,RRT Viz,123,2
17,236.2041057968966,9,5,0.7691286653143674,1.5382573306287348,9,1.0,MASAC,grid4_cubes9_rrt_viz,RRT Viz,123,2
18,299.8293057366695,9,5,0.10617482809509271,0.21234965619018542,9,1.0,MASAC,grid4_cubes9_rrt_viz,RRT Viz,123,2
19,306.9920318850078,9,5,1.8170005990952762,3.6340011981905525,9,1.0,MASAC,grid4_cubes9_rrt_viz,RRT Viz,123,2
20,366.54139846579284,9,5,0.7317128751719432,1.4634257503438863,9,1.0,MASAC,grid4_cubes9_rrt_viz,RRT Viz,123,2
21,350.59718358990847,9,5,1.2901065572397272,2.5802131144794545,9,1.0,MASAC,grid4_cubes9_rrt_viz,RRT Viz,123,2
22,214.4025036293637,8,5,0.6522113546422177,1.3044227092844354,8,0.8888888888888888,MASAC,grid4_cubes9_rrt_viz,RRT Viz,123,2
23,244.37567111774035,8,5,0.7486782615994466,1.4973565231988932,8,0.8888888888888888,MASAC,grid4_cubes9_rrt_viz,RRT Viz,123,2
24,279.3943757098743,9,5,0.20196673495002737,0.40393346990005474,9,1.0,MASAC,grid4_cubes9_rrt_viz,RRT Viz,123,2
25,244.61158694072324,9,5,0.5511142626234435,1.102228525246887,9,1.0,MASAC,grid4_cubes9_rrt_viz,RRT Viz,123,2
26,361.72853525378446,9,5,0.8404167317867873,1.6808334635735747,9,1.0,MASAC,grid4_cubes9_rrt_viz,RRT Viz,123,2
27,221.49416196682316,9,5,0.486213311539343,0.972426623078686,9,1.0,MASAC,grid4_cubes9_rrt_viz,RRT Viz,123,2
28,271.66560150224797,9,5,0.4320982724087523,0.8641965448175046,9,1.0,MASAC,grid4_cubes9_rrt_viz,RRT Viz,123,2
29,177.61990614845203,9,5,0.7205136640242972,1.4410273280485943,9,1.0,MASAC,grid4_cubes9_rrt_viz,RRT Viz,123,2
30,295.98328553272796,9,5,1.0133320264126187,2.0266640528252373,9,1.0,MASAC,grid4_cubes9_rrt_viz,RRT Viz,123,2
31,336.5834053270013,9,5,0.6255619264713286,1.2511238529426572,9,1.0,MASAC,grid4_cubes9_rrt_viz,RRT Viz,123,2
32,323.655798005485,9,5,0.7546377123074016,1.5092754246148032,9,1.0,MASAC,grid4_cubes9_rrt_viz,RRT Viz,123,2
33,247.38529085466726,9,5,1.2345911472507134,2.469182294501427,9,1.0,MASAC,grid4_cubes9_rrt_viz,RRT Viz,123,2
34,275.8689776580551,9,5,1.4163084834285393,2.8326169668570786,9,1.0,MASAC,grid4_cubes9_rrt_viz,RRT Viz,123,2
35,280.70471507460127,9,5,0.3380690460475386,0.6761380920950772,9,1.0,MASAC,grid4_cubes9_rrt_viz,RRT Viz,123,2
36,288.81906321085637,9,5,0.8709439500859433,1.7418879001718865,9,1.0,MASAC,grid4_cubes9_rrt_viz,RRT Viz,123,2
37,325.83616511586047,9,5,0.49204817733492334,0.9840963546698467,9,1.0,MASAC,grid4_cubes9_rrt_viz,RRT Viz,123,2
38,359.2210797787362,9,5,-0.6737842053649762,-1.3475684107299524,9,1.0,MASAC,grid4_cubes9_rrt_viz,RRT Viz,123,2
39,305.7246506838216,9,5,1.5628782151342213,3.1257564302684426,9,1.0,MASAC,grid4_cubes9_rrt_viz,RRT Viz,123,2
40,254.91920120993075,9,5,1.157296839572036,2.314593679144072,9,1.0,MASAC,grid4_cubes9_rrt_viz,RRT Viz,123,2
41,339.3532520173276,9,5,0.653083894359207,1.306167788718414,9,1.0,MASAC,grid4_cubes9_rrt_viz,RRT Viz,123,2
42,213.4374028774306,9,5,0.05622661261047357,0.11245322522094714,9,1.0,MASAC,grid4_cubes9_rrt_viz,RRT Viz,123,2
43,329.2985730093003,9,5,1.5059246643678703,3.0118493287357406,9,1.0,MASAC,grid4_cubes9_rrt_viz,RRT Viz,123,2
44,239.35320684348181,8,5,1.0162812412456952,2.0325624824913904,8,0.8888888888888888,MASAC,grid4_cubes9_rrt_viz,RRT Viz,123,2
45,317.235667504559,9,5,0.22594959728432107,0.45189919456864214,9,1.0,MASAC,grid4_cubes9_rrt_viz,RRT Viz,123,2
46,298.30255998003423,9,5,0.11323124836284837,0.22646249672569674,9,1.0,MASAC,grid4_cubes9_rrt_viz,RRT Viz,123,2
47,252.4443255974578,9,5,1.1017898252394307,2.2035796504788614,9,1.0,MASAC,grid4_cubes9_rrt_viz,RRT Viz,123,2
48,284.2049825244956,9,5,0.8835856301583705,1.767171260316741,9,1.0,MASAC,grid4_cubes9_rrt_viz,RRT Viz,123,2
49,287.22982158123386,9,5,0.4891322869640419,0.9782645739280837,9,1.0,MASAC,grid4_cubes9_rrt_viz,RRT Viz,123,2
50,327.68238386707486,9,5,1.6676739158433582,3.3353478316867164,9,1.0,MASAC,grid4_cubes9_rrt_viz,RRT Viz,123,2
51,292.2336689145298,9,5,0.9736593053215105,1.947318610643021,9,1.0,MASAC,grid4_cubes9_rrt_viz,RRT Viz,123,2
52,306.14217016751957,9,5,0.26240772674877366,0.5248154534975473,9,1.0,MASAC,grid4_cubes9_rrt_viz,RRT Viz,123,2
53,282.3551548153618,9,5,0.2772679939695739,0.5545359879391478,9,1.0,MASAC,grid4_cubes9_rrt_viz,RRT Viz,123,2
54,325.2949366322587,9,5,-0.1296991971996836,-0.2593983943993672,9,1.0,MASAC,grid4_cubes9_rrt_viz,RRT Viz,123,2
55,288.0992356159493,9,5,1.0847752673425135,2.169550534685027,9,1.0,MASAC,grid4_cubes9_rrt_viz,RRT Viz,123,2
