global_timestep,episode,step_in_episode,reward,cumulative_reward,reshuffled,distance_reduced,time_saved,cubes_picked,done,truncated,algorithm,scenario,planner,seed,run_id
1,1,1,39.375204322663095,39.375204322663095,True,0.7960206782776084,1.5920413565552167,1,False,False,MASAC,grid4_cubes9_rrt_viz,RRT Viz,123,2
2,1,2,38.44089247118489,77.81609679384798,True,0.7186602575950064,1.4373205151900128,2,False,False,MASAC,grid4_cubes9_rrt_viz,RRT Viz,123,2
3,1,3,40.12205208670155,117.93814888054953,True,0.7318796446707357,1.4637592893414715,3,False,False,MASAC,grid4_cubes9_rrt_viz,RRT Viz,123,2
4,1,4,38.442725501726045,156.38087438227558,True,0.6554357392587123,1.3108714785174247,4,False,False,MASAC,grid4_cubes9_rrt_viz,RRT Viz,123,2
5,1,5,10.078891584695484,166.45976596697108,True,0.6554357392587123,1.3108714785174247,5,False,False,MASAC,grid4_cubes9_rrt_viz,RRT Viz,123,2
6,1,6,21.613058593203863,188.07282456017495,False,0.6554357392587123,1.3108714785174247,6,False,False,MASAC,grid4_cubes9_rrt_viz,RRT Viz,123,2
7,1,7,-0.5908707172433134,187.48195384293163,False,0.6554357392587123,1.3108714785174247,7,False,False,MASAC,grid4_cubes9_rrt_viz,RRT Viz,123,2
8,1,8,19.686020781007187,207.16797462393882,False,0.6554357392587123,1.3108714785174247,8,False,False,MASAC,grid4_cubes9_rrt_viz,RRT Viz,123,2
9,1,9,53.08768756789061,260.2556621918294,False,0.6554357392587123,1.3108714785174247,9,True,False,MASAC,grid4_cubes9_rrt_viz,RRT Viz,123,2
10,2,1,52.81792087686276,52.81792087686276,True,0.038947672388381926,0.07789534477676385,1,False,False,MASAC,grid4_cubes9_rrt_viz,RRT Viz,123,2
11,2,2,39.905891261384696,92.72381213824745,True,0.03894770292724603,0.07789540585449206,2,False,False,MASAC,grid4_cubes9_rrt_viz,RRT Viz,123,2
12,2,3,13.915802800078165,106.63961493832562,True,0.03894770292724603,0.07789540585449206,3,False,False,MASAC,grid4_cubes9_rrt_viz,RRT Viz,123,2
13,2,4,25.663838099677882,132.3034530380035,True,0.03894770292724603,0.07789540585449206,4,False,False,MASAC,grid4_cubes9_rrt_viz,RRT Viz,123,2
