step,episode,loss,reward,epsilon
1,0,,22.945465,1.000000
2,0,,8.805667,1.000000
3,0,,19.358149,1.000000
4,0,,18.856857,1.000000
5,0,,10.439347,1.000000
6,0,,25.242346,1.000000
7,0,,10.742159,1.000000
8,0,,20.736107,1.000000
9,0,,59.121860,1.000000
10,1,,8.079629,1.000000
11,1,,23.358752,1.000000
12,1,,9.878078,1.000000
13,1,,25.168416,1.000000
14,1,,10.409163,1.000000
15,1,,12.870041,1.000000
16,1,,10.029634,1.000000
17,1,,18.408194,1.000000
18,1,,61.251224,1.000000
19,2,,23.108339,1.000000
20,2,,19.252891,1.000000
21,2,,25.429782,1.000000
22,2,,17.020351,1.000000
23,2,,8.020366,1.000000
24,2,,10.700597,1.000000
25,2,,18.435764,1.000000
26,2,,12.038688,1.000000
27,2,,57.424564,1.000000
28,3,,10.456835,1.000000
29,3,,21.175887,1.000000
30,3,,14.296654,1.000000
31,3,,19.799730,1.000000
32,3,,25.196289,1.000000
33,3,,11.403443,1.000000
34,3,,10.793895,1.000000
35,3,,21.075924,1.000000
36,3,,66.463593,1.000000
37,4,,19.952081,1.000000
38,4,,19.493054,1.000000
39,4,,8.169364,1.000000
40,4,,13.436379,1.000000
41,4,,10.122452,1.000000
42,4,,11.440054,1.000000
43,4,,22.106826,1.000000
44,4,,10.706693,1.000000
45,4,,52.102329,1.000000
46,5,,25.081570,1.000000
47,5,,8.166245,1.000000
48,5,,8.760420,1.000000
49,5,,25.241828,1.000000
50,5,,21.593759,1.000000
51,5,,10.435126,1.000000
52,5,,20.016533,1.000000
53,5,,10.752623,1.000000
54,5,,51.923623,1.000000
55,6,,23.223129,1.000000
56,6,,18.215920,1.000000
57,6,,11.473095,1.000000
58,6,,23.689754,1.000000
59,6,,8.987999,1.000000
60,6,,20.635334,1.000000
61,6,,7.738877,1.000000
62,6,,22.911087,1.000000
63,6,,51.852785,1.000000
64,7,20.332336,23.150385,0.995000
65,7,19.998405,11.445992,0.990025
66,7,20.103577,19.028029,0.985075
67,7,19.109442,21.158030,0.980150
68,7,19.203400,9.858259,0.975249
69,7,17.798990,25.223164,0.970373
70,7,16.592390,18.809550,0.965521
71,7,16.817369,10.742693,0.960693
72,7,15.215347,61.307786,0.955890
73,8,13.023954,18.630346,0.951110
74,8,10.890680,20.669539,0.946355
75,8,8.971656,8.436336,0.941623
76,8,8.547003,9.958425,0.936915
77,8,9.995330,23.046974,0.932230
78,8,11.529717,24.191874,0.927569
79,8,12.753407,10.418251,0.922931
80,8,12.846706,22.238941,0.918316
81,8,11.752813,52.168380,0.913725
82,9,11.483284,20.142121,0.909156
83,9,10.548778,19.263474,0.904610
84,9,9.108513,8.117177,0.900087
85,9,8.139917,22.952444,0.895587
86,9,7.654880,23.025824,0.891109
87,9,9.379461,25.147517,0.886654
88,9,9.941422,8.849307,0.882220
89,9,8.694230,20.786834,0.877809
90,9,8.573530,51.558547,0.873420
91,10,7.277264,21.610208,0.869053
92,10,7.814564,10.474151,0.864708
93,10,7.810342,19.725058,0.860384
94,10,8.482258,25.259674,0.856082
95,10,8.768779,11.433330,0.851802
96,10,7.886017,19.650621,0.847543
97,10,8.053260,23.541828,0.843305
98,10,8.504062,10.702930,0.839089
99,10,8.905106,65.827739,0.834893
100,11,8.163957,18.968658,0.830719
101,11,8.506316,8.619841,0.826565
102,11,6.905558,8.209942,0.822432
103,11,6.888469,9.678883,0.818320
104,11,6.748288,25.221409,0.814229
105,11,6.990474,14.386180,0.810157
106,11,6.800204,10.713396,0.806107
107,11,6.612958,21.410571,0.802076
108,11,8.877562,61.598115,0.798066
109,12,7.753879,18.327568,0.794075
110,12,10.042502,22.250430,0.790105
111,12,7.229740,19.354528,0.786154
112,12,8.607634,10.672728,0.782224
113,12,6.763199,8.473969,0.778313
114,12,7.849017,10.623840,0.774421
115,12,7.405733,24.091636,0.770549
116,12,7.037595,10.774665,0.766696
117,12,6.446586,54.979767,0.762863
118,13,6.165195,21.176692,0.759048
119,13,7.985740,21.604958,0.755253
120,13,7.815437,24.096044,0.751477
121,13,5.673466,14.648150,0.747719
122,13,7.035382,17.918924,0.743981
123,13,5.770580,20.245133,0.740261
124,13,8.948942,11.449017,0.736560
125,13,8.495052,20.777156,0.732877
126,13,6.526709,52.067951,0.729212
127,14,7.099909,18.501928,0.725566
128,14,6.069216,18.779003,0.721939
129,14,6.755045,19.855502,0.718329
130,14,6.955453,10.690137,0.714737
131,14,5.819463,21.404551,0.711164
132,14,6.558291,20.622914,0.707608
133,14,6.165836,10.707610,0.704070
134,14,6.850465,22.204069,0.700549
135,14,6.693942,64.606548,0.697047
136,15,8.168184,21.056262,0.693561
137,15,5.618656,23.933384,0.690094
138,15,6.422184,10.686563,0.686643
139,15,7.960673,19.670972,0.683210
140,15,6.536912,22.796333,0.679794
141,15,7.891203,25.252792,0.676395
142,15,5.680535,18.315910,0.673013
143,15,8.056600,16.758914,0.669648
144,15,6.695426,52.224239,0.666300
145,16,5.905106,8.613122,0.662968
146,16,7.287757,18.836940,0.659653
147,16,7.531062,15.165179,0.656355
148,16,8.564362,8.877588,0.653073
149,16,6.752352,25.226530,0.649808
150,16,5.633805,10.722582,0.646559
151,16,6.360909,20.480330,0.643326
152,16,4.849844,20.613471,0.640109
153,16,5.886954,58.588346,0.636909
154,17,7.105194,23.997318,0.633724
155,17,7.362342,11.459645,0.630556
156,17,6.536952,23.531494,0.627403
157,17,6.779557,22.399324,0.624266
158,17,6.363649,16.881268,0.621145
159,17,5.370939,9.001321,0.618039
160,17,6.583707,10.266148,0.614949
161,17,6.317112,10.730455,0.611874
162,17,5.564855,53.422983,0.608815
163,18,6.451752,19.129901,0.605770
164,18,5.935308,10.301891,0.602742
165,18,7.445163,21.472599,0.599728
166,18,5.584512,23.653457,0.596729
167,18,7.262635,10.797028,0.593746
168,18,5.802639,18.609348,0.590777
169,18,5.841732,24.110848,0.587823
170,18,7.133007,10.424099,0.584884
171,18,5.906706,51.964315,0.581959
172,19,5.013178,21.440151,0.579050
173,19,6.875363,12.143997,0.576154
174,19,6.298811,10.450619,0.573274
175,19,6.062012,22.516637,0.570407
176,19,5.585585,20.424348,0.567555
177,19,6.279374,11.467574,0.564717
178,19,6.624775,25.959933,0.561894
179,19,6.809126,6.974431,0.559084
180,19,5.377675,58.087907,0.556289
181,20,6.387851,21.412761,0.553508
182,20,5.216038,17.880683,0.550740
183,20,5.381148,22.278767,0.547986
184,20,4.326167,18.405487,0.545246
185,20,4.489457,7.887829,0.542520
186,20,7.069255,21.003192,0.539808
187,20,5.573995,23.515003,0.537108
188,20,6.253551,22.147525,0.534423
189,20,5.232349,51.205203,0.531751
190,21,4.356288,18.621817,0.529092
191,21,6.239031,18.827674,0.526447
192,21,5.222175,7.875469,0.523814
193,21,3.867047,10.788862,0.521195
194,21,4.593878,21.745427,0.518589
195,21,5.657236,25.283446,0.515996
196,21,4.516993,10.674336,0.513416
197,21,4.270868,15.140388,0.510849
198,21,5.265147,51.619939,0.508295
199,22,5.620195,9.169262,0.505754
200,22,5.594460,24.466477,0.503225
201,22,4.530752,10.673207,0.500709
202,22,5.024035,19.364853,0.498205
203,22,4.651182,24.661066,0.495714
204,22,3.512611,24.161011,0.493236
205,22,4.473501,17.833472,0.490769
206,22,4.394354,22.246636,0.488316
207,22,4.768530,46.119217,0.485874
208,23,4.681846,21.264056,0.483445
209,23,3.491069,23.919980,0.481027
210,23,4.520567,11.442175,0.478622
211,23,4.123456,17.985846,0.476229
212,23,4.578110,7.832375,0.473848
213,23,4.590375,20.419924,0.471479
214,23,4.642807,17.994605,0.469121
215,23,4.633319,20.748940,0.466776
216,23,3.664579,57.556387,0.464442
217,24,4.076866,21.360022,0.462120
218,24,4.093503,18.665344,0.459809
219,24,3.971750,19.100631,0.457510
220,24,4.057562,7.989475,0.455222
221,24,4.198909,15.211357,0.452946
222,24,4.657204,10.468719,0.450682
223,24,4.712599,12.445037,0.448428
224,24,4.110141,20.360325,0.446186
225,24,4.344617,47.674262,0.443955
226,25,3.487016,8.666351,0.441735
227,25,5.792506,20.215963,0.439527
228,25,5.120909,15.169456,0.437329
229,25,4.471353,9.236537,0.435142
230,25,5.338944,9.319575,0.432967
231,25,6.005955,10.436429,0.430802
232,25,3.822535,19.423920,0.428648
233,25,4.575190,19.543541,0.426505
234,25,3.400440,61.316322,0.424372
235,26,4.496046,17.704117,0.422250
236,26,2.970021,13.834049,0.420139
237,26,4.318807,8.165170,0.418038
238,26,4.762273,11.501866,0.415948
239,26,4.236722,10.626761,0.413868
240,26,4.884683,24.296159,0.411799
241,26,4.216897,10.469081,0.409740
242,26,3.358934,10.792850,0.407691
243,26,3.643590,56.535410,0.405653
244,27,4.580306,19.920768,0.403625
245,27,5.032874,19.069154,0.401606
246,27,3.989226,22.360769,0.399598
247,27,3.483337,12.523785,0.397600
248,27,5.777834,24.321326,0.395612
249,27,4.513220,8.672731,0.393634
250,27,3.315970,11.508085,0.391666
251,27,4.684091,9.141610,0.389708
252,27,4.458885,52.444105,0.387759
253,28,3.521509,24.015721,0.385821
254,28,4.599840,19.055896,0.383891
255,28,4.763157,14.308387,0.381972
256,28,3.592868,11.437272,0.380062
257,28,3.480119,25.205030,0.378162
258,28,3.455134,8.446015,0.376271
259,28,3.103114,9.221270,0.374390
260,28,4.403698,10.101822,0.372518
261,28,4.173136,51.190648,0.370655
262,29,4.410869,23.529285,0.368802
263,29,4.507707,23.369971,0.366958
264,29,4.268406,19.204312,0.365123
265,29,3.427435,25.306817,0.363297
266,29,4.984865,10.972453,0.361481
267,29,3.873633,11.455514,0.359674
268,29,3.747396,19.592612,0.357875
269,29,3.937032,10.844201,0.356086
270,29,3.966520,57.498757,0.354305
271,30,4.077832,19.222109,0.352534
272,30,3.370173,24.111065,0.350771
273,30,4.508548,9.132784,0.349017
274,30,4.747597,10.743582,0.347272
275,30,4.349558,24.293445,0.345536
276,30,3.606471,24.099771,0.343808
277,30,3.832855,9.849596,0.342089
278,30,3.664405,18.837084,0.340379
279,30,3.822827,57.418470,0.338677
280,31,4.013943,23.543646,0.336983
281,31,4.078176,22.609573,0.335298
282,31,3.009221,25.211498,0.333622
283,31,4.830194,21.119307,0.331954
284,31,3.844578,9.169070,0.330294
285,31,2.775736,9.478563,0.328643
286,31,3.651130,9.873045,0.326999
287,31,3.797467,14.666457,0.325364
288,31,3.095383,52.133484,0.323738
289,32,4.194775,19.536484,0.322119
290,32,3.452912,11.450360,0.320508
291,32,2.773754,19.765600,0.318906
292,32,3.850271,19.340947,0.317311
293,32,3.534875,21.712654,0.315725
294,32,3.226487,19.281048,0.314146
295,32,3.706778,25.214670,0.312575
296,32,3.040725,9.941896,0.311012
297,32,2.643189,51.247268,0.309457
298,33,4.620437,22.146353,0.307910
299,33,2.207087,21.113476,0.306371
300,33,2.871587,25.209665,0.304839
301,33,3.965757,18.346468,0.303315
302,33,2.983023,25.181215,0.301798
303,33,2.978982,22.141995,0.300289
304,33,3.115854,17.660221,0.298788
305,33,3.737690,6.627146,0.297294
306,33,4.009258,51.409358,0.295807
307,34,3.335954,23.107357,0.294328
308,34,3.657680,23.209499,0.292856
309,34,4.496007,12.300073,0.291392
310,34,4.060400,18.064214,0.289935
311,34,4.374348,18.445144,0.288486
312,34,5.594932,11.467872,0.287043
313,34,4.894159,11.675893,0.285608
314,34,4.114569,9.762662,0.284180
315,34,3.579365,51.401040,0.282759
316,35,3.804713,21.407541,0.281345
317,35,3.027708,25.182906,0.279938
318,35,3.053787,20.404827,0.278539
319,35,3.668819,9.889322,0.277146
320,35,2.948477,15.147265,0.275760
321,35,2.579097,24.833790,0.274382
322,35,3.433578,20.302950,0.273010
323,35,2.832041,21.180153,0.271645
324,35,3.445404,51.774236,0.270286
325,36,3.882994,21.526195,0.268935
326,36,2.796417,21.090532,0.267590
327,36,3.345137,9.396285,0.266252
328,36,3.263840,18.709009,0.264921
329,36,4.710007,25.214804,0.263596
330,36,4.577578,10.711343,0.262278
331,36,3.526529,15.110685,0.260967
332,36,3.391416,25.950667,0.259662
333,36,3.582986,50.946164,0.258364
334,37,3.136620,22.246584,0.257072
335,37,3.604576,8.293495,0.255787
336,37,3.307750,17.991968,0.254508
337,37,4.019304,23.329423,0.253235
338,37,2.861675,10.713777,0.251969
339,37,3.798011,15.152695,0.250709
340,37,2.806279,10.701716,0.249456
341,37,3.931132,22.173261,0.248208
342,37,4.171685,61.112529,0.246967
343,38,4.787372,17.703980,0.245733
344,38,4.568732,22.295584,0.244504
345,38,3.431327,10.922532,0.243281
346,38,3.476926,17.901442,0.242065
347,38,4.075322,10.086896,0.240855
348,38,3.597720,20.708224,0.239650
349,38,3.498554,10.700991,0.238452
350,38,3.589409,10.231604,0.237260
351,38,2.941483,53.388995,0.236074
352,39,3.917067,20.065068,0.234893
353,39,2.654418,24.191355,0.233719
354,39,2.494882,10.821778,0.232550
355,39,4.051973,19.503792,0.231387
356,39,3.271834,8.648972,0.230230
357,39,3.314906,18.956440,0.229079
358,39,3.810148,10.427331,0.227934
359,39,3.198083,10.718991,0.226794
360,39,3.763366,55.057139,0.225660
361,40,3.072819,19.895573,0.224532
362,40,3.289341,25.201158,0.223409
363,40,3.263165,9.521442,0.222292
364,40,3.159962,8.295208,0.221181
365,40,2.927569,18.057002,0.220075
366,40,4.060092,8.003005,0.218974
367,40,3.234251,12.429231,0.217880
368,40,2.802079,10.842279,0.216790
369,40,3.257120,61.110849,0.215706
370,41,3.611195,23.112861,0.214628
371,41,3.484461,25.272663,0.213555
372,41,3.090362,20.940372,0.212487
373,41,3.060727,20.040722,0.211424
374,41,4.071423,8.397106,0.210367
375,41,3.982343,15.160773,0.209315
376,41,3.261011,10.768029,0.208269
377,41,3.356586,19.741941,0.207227
378,41,2.673425,50.977722,0.206191
379,42,3.352390,24.532720,0.205160
380,42,3.043809,23.588991,0.204135
381,42,3.206007,13.228191,0.203114
382,42,4.128303,7.365967,0.202098
383,42,3.291466,21.419919,0.201088
384,42,3.911810,9.548743,0.200082
385,42,3.710930,10.696133,0.199082
386,42,3.847905,24.166169,0.198087
387,42,3.371495,60.566550,0.197096
388,43,3.866124,20.108809,0.196111
389,43,3.908182,20.023286,0.195130
390,43,3.727053,9.603507,0.194154
391,43,3.522770,22.728114,0.193184
392,43,4.009732,25.255199,0.192218
393,43,3.099982,23.751395,0.191257
394,43,3.159222,8.678468,0.190300
395,43,3.265025,11.590330,0.189349
396,43,4.688669,47.648846,0.188402
397,44,3.328485,21.946501,0.187460
398,44,3.992786,8.344812,0.186523
399,44,3.915668,25.195685,0.185590
400,44,4.950287,21.109592,0.184662
401,44,3.371903,21.832351,0.183739
402,44,3.525583,26.007564,0.182820
403,44,3.380604,15.172683,0.181906
404,44,4.174444,10.097553,0.180997
405,44,4.038790,51.366951,0.180092
406,45,3.341592,18.846750,0.179191
407,45,2.646481,17.650445,0.178295
408,45,3.196430,9.477702,0.177404
409,45,3.488699,21.933139,0.176517
410,45,4.036490,19.183457,0.175634
411,45,1.894137,9.572442,0.174756
412,45,3.231022,8.868666,0.173882
413,45,3.566147,19.843552,0.173013
414,45,3.377404,62.599018,0.172148
415,46,3.371721,25.208732,0.171287
416,46,3.817907,24.155254,0.170431
417,46,3.591422,12.556785,0.169578
418,46,3.337351,19.042307,0.168731
419,46,3.087564,10.962605,0.167887
420,46,2.138240,14.561804,0.167047
421,46,3.553000,10.424719,0.166212
422,46,3.931397,17.398328,0.165381
423,46,3.683150,47.253391,0.164554
424,47,3.072591,21.563411,0.163731
425,47,2.147423,18.584052,0.162913
426,47,3.247708,26.017614,0.162098
427,47,3.131624,25.182827,0.161288
428,47,3.342845,19.974470,0.160481
429,47,3.164101,10.722450,0.159679
430,47,2.815872,8.606294,0.158881
431,47,3.065329,21.110041,0.158086
432,47,2.767635,51.305559,0.157296
433,48,2.705186,17.936954,0.156509
434,48,2.854900,7.748520,0.155727
435,48,2.747395,18.981553,0.154948
436,48,3.183014,20.228841,0.154173
437,48,3.794849,23.982991,0.153402
438,48,3.032681,19.329079,0.152635
439,48,3.111463,20.553709,0.151872
