step,episode,loss,reward,epsilon
1,0,,15.376483,1.000000
2,0,,23.798399,1.000000
3,0,,8.509076,1.000000
4,0,,4.043559,1.000000
5,0,,9.219690,1.000000
6,0,,9.764166,1.000000
7,0,,18.208192,1.000000
8,0,,7.887479,1.000000
9,0,,59.463484,1.000000
10,1,,16.518050,1.000000
11,1,,26.084681,1.000000
12,1,,8.509076,1.000000
13,1,,7.765898,1.000000
14,1,,7.767219,1.000000
15,1,,7.887479,1.000000
16,1,,18.281787,1.000000
17,1,,19.048014,1.000000
18,1,,55.199253,1.000000
19,2,,16.518050,1.000000
20,2,,26.084681,1.000000
21,2,,4.043559,1.000000
22,2,,7.767219,1.000000
23,2,,7.887479,1.000000
24,2,,8.509076,1.000000
25,2,,9.219690,1.000000
26,2,,19.222476,1.000000
27,2,,59.463484,1.000000
28,3,,16.518050,1.000000
29,3,,26.084681,1.000000
30,3,,8.509076,1.000000
31,3,,9.219690,1.000000
32,3,,8.566782,1.000000
33,3,,7.887479,1.000000
34,3,,17.619118,1.000000
35,3,,14.699253,1.000000
36,3,,59.463484,1.000000
37,4,,15.376483,1.000000
38,4,,23.798399,1.000000
39,4,,4.043559,1.000000
40,4,,7.765898,1.000000
41,4,,7.887479,1.000000
42,4,,9.721662,1.000000
43,4,,17.309083,1.000000
44,4,,15.391354,1.000000
45,4,,59.463484,1.000000
46,5,,16.518050,1.000000
47,5,,26.084681,1.000000
48,5,,8.509076,1.000000
49,5,,7.887479,1.000000
50,5,,18.281787,1.000000
51,5,,4.043559,1.000000
52,5,,7.765898,1.000000
53,5,,10.235295,1.000000
54,5,,58.708192,1.000000
55,6,,16.518050,1.000000
56,6,,26.084681,1.000000
57,6,,7.887479,1.000000
58,6,,14.891157,1.000000
59,6,,7.767219,1.000000
60,6,,7.765898,1.000000
61,6,,8.509076,1.000000
62,6,,19.048014,1.000000
63,6,,55.199253,1.000000
64,7,17.568924,15.376483,0.995000
65,7,17.384539,23.798399,0.990025
66,7,17.109629,9.219690,0.985075
67,7,15.951171,7.887479,0.980150
68,7,14.706728,14.891157,0.975249
69,7,13.898958,8.749881,0.970373
70,7,13.700138,4.043559,0.965521
71,7,13.062340,15.587023,0.960693
72,7,12.800556,59.722476,0.955890
73,8,10.758776,16.518050,0.951110
74,8,9.547919,26.084681,0.946355
75,8,10.929857,8.509076,0.941623
76,8,9.232054,7.767219,0.936915
77,8,10.020058,7.887479,0.932230
78,8,11.810926,9.219690,0.927569
79,8,11.018105,4.043559,0.922931
80,8,9.888727,18.963484,0.918316
81,8,9.926754,59.722476,0.913725
82,9,8.556250,15.376483,0.909156
83,9,7.221155,23.798399,0.904610
84,9,8.007677,7.278575,0.900087
85,9,8.094794,9.219690,0.895587
86,9,6.614505,8.566782,0.891109
87,9,7.669344,9.387373,0.886654
88,9,7.354599,17.309083,0.882220
89,9,6.172727,19.412904,0.877809
90,9,8.322587,55.199253,0.873420
91,10,6.177746,15.376483,0.869053
92,10,6.323050,23.798399,0.864708
93,10,7.587012,8.509076,0.860384
94,10,6.121850,9.219690,0.856082
95,10,5.229317,8.566782,0.851802
96,10,5.105752,7.278575,0.847543
97,10,7.120203,17.619118,0.843305
98,10,5.146928,14.699253,0.839089
99,10,8.164782,60.072389,0.834893
100,11,5.744658,15.376483,0.830719
101,11,7.442294,23.798399,0.826565
102,11,6.775660,7.278575,0.822432
103,11,6.490777,4.043559,0.818320
104,11,6.931135,7.765898,0.814229
105,11,7.299854,9.721662,0.810157
106,11,7.250874,17.309083,0.806107
107,11,5.247926,9.387373,0.802076
108,11,6.162555,59.963681,0.798066
109,12,6.072954,15.376483,0.794075
110,12,4.812412,23.798399,0.790105
111,12,4.539778,4.043559,0.786154
112,12,6.202555,7.278575,0.782224
113,12,6.427941,7.765898,0.778313
114,12,6.093866,8.509076,0.774421
115,12,4.787270,16.048666,0.770549
116,12,5.539548,10.235295,0.766696
117,12,5.844160,58.708192,0.762863
118,13,4.589963,16.518050,0.759048
119,13,6.040243,26.084681,0.755253
120,13,4.434445,8.509076,0.751477
121,13,4.424985,7.887479,0.747719
122,13,4.531546,7.765898,0.743981
123,13,5.871094,10.235295,0.740261
124,13,4.640929,17.619118,0.736560
125,13,5.548481,18.963484,0.732877
126,13,5.554740,55.199253,0.729212
127,14,4.226216,15.376483,0.725566
128,14,5.113307,23.798399,0.721939
129,14,4.588340,7.887479,0.718329
130,14,3.311840,7.765898,0.714737
131,14,3.263260,13.071000,0.711164
132,14,3.412395,9.721662,0.707608
133,14,4.619452,15.391354,0.704070
134,14,2.823458,18.208192,0.700549
135,14,3.461542,59.463484,0.697047
136,15,3.588210,16.518050,0.693561
137,15,3.147114,26.084681,0.690094
138,15,3.240212,8.509076,0.686643
139,15,2.749026,7.278575,0.683210
140,15,2.102134,16.048666,0.679794
141,15,3.202394,7.765898,0.676395
142,15,1.990294,7.767219,0.673013
143,15,2.007186,19.048014,0.669648
144,15,2.289728,55.199253,0.666300
145,16,3.018755,16.518050,0.662968
146,16,2.721362,26.084681,0.659653
147,16,1.474177,7.765898,0.656355
148,16,3.274671,13.071000,0.653073
149,16,3.048687,8.509076,0.649808
150,16,2.491907,7.278575,0.646559
151,16,2.892099,16.048666,0.643326
152,16,3.048517,10.235295,0.640109
153,16,2.621250,58.708192,0.636909
154,17,2.967043,16.518050,0.633724
155,17,3.356250,26.084681,0.630556
156,17,2.935608,8.509076,0.627403
157,17,3.283082,7.278575,0.624266
158,17,1.941436,9.219690,0.621145
159,17,2.279822,8.749881,0.618039
160,17,1.493453,8.566782,0.614949
161,17,2.643352,19.572389,0.611874
162,17,2.837962,55.199253,0.608815
163,18,1.396668,16.518050,0.605770
164,18,2.858000,26.084681,0.602742
165,18,1.977690,9.219690,0.599728
166,18,1.986358,7.887479,0.596729
167,18,2.509346,14.891157,0.593746
168,18,1.104148,15.587023,0.590777
169,18,2.356434,8.749881,0.587823
170,18,2.385745,4.043559,0.584884
171,18,2.941290,59.722476,0.581959
172,19,2.400321,15.376483,0.579050
173,19,2.761631,23.798399,0.576154
174,19,3.466989,9.219690,0.573274
175,19,3.011122,8.566782,0.570407
176,19,2.801864,9.278665,0.567555
177,19,2.448034,7.887479,0.564717
178,19,2.513455,18.963484,0.561894
179,19,1.737302,17.619118,0.559084
180,19,3.624739,55.199253,0.556289
181,20,2.770479,16.518050,0.553508
182,20,2.442884,26.084681,0.550740
183,20,3.158383,9.219690,0.547986
184,20,1.996532,7.278575,0.545246
185,20,2.130033,8.566782,0.542520
186,20,2.437697,9.278665,0.539808
187,20,2.205466,19.572389,0.537108
188,20,2.253239,17.619118,0.534423
189,20,1.925532,55.199253,0.531751
190,21,1.890616,16.518050,0.529092
191,21,2.039556,26.084681,0.526447
192,21,1.497510,4.043559,0.523814
193,21,2.048153,7.278575,0.521195
194,21,2.707882,8.509076,0.518589
195,21,1.143189,16.048666,0.515996
196,21,2.416935,7.767219,0.513416
197,21,3.085695,7.765898,0.510849
198,21,1.793595,61.176268,0.508295
199,22,2.644946,16.518050,0.505754
200,22,2.512589,26.084681,0.503225
201,22,2.580287,9.219690,0.500709
202,22,1.740272,8.566782,0.498205
203,22,2.630878,14.110180,0.495714
204,22,2.211661,7.278575,0.493236
205,22,3.416469,9.387373,0.490769
206,22,1.454105,17.309083,0.488316
207,22,1.890510,59.963681,0.485874
208,23,1.748929,15.376483,0.483445
209,23,1.961921,23.798399,0.481027
210,23,1.637108,4.043559,0.478622
211,23,1.742430,8.509076,0.476229
212,23,1.901989,7.278575,0.473848
213,23,1.854524,16.048666,0.471479
214,23,1.972892,9.219690,0.469121
215,23,0.931729,8.749881,0.466776
216,23,1.763557,59.722476,0.464442
217,24,1.945812,15.376483,0.462120
218,24,1.760888,23.798399,0.459809
219,24,2.030334,9.219690,0.457510
220,24,2.666978,9.278665,0.455222
221,24,2.196843,4.043559,0.452946
222,24,1.513341,7.278575,0.450682
223,24,2.640970,9.764166,0.448428
224,24,2.492398,18.208192,0.446186
225,24,1.560589,60.072389,0.443955
226,25,1.718374,16.518050,0.441735
227,25,1.274084,26.084681,0.439527
228,25,2.045423,7.887479,0.437329
229,25,1.232719,8.509076,0.435142
230,25,2.463040,9.219690,0.432967
231,25,2.366766,18.963484,0.430802
232,25,0.927420,8.566782,0.428648
233,25,2.186295,17.619118,0.426505
234,25,1.531599,55.199253,0.424372
235,26,1.103760,16.518050,0.422250
236,26,1.545126,26.084681,0.420139
237,26,0.998973,7.765898,0.418038
238,26,2.251177,7.887479,0.415948
239,26,1.642992,9.721662,0.413868
240,26,1.211067,14.110180,0.411799
241,26,2.675634,17.309083,0.409740
242,26,2.199856,15.391354,0.407691
243,26,1.834757,59.463484,0.405653
244,27,2.493116,16.518050,0.403625
245,27,1.621106,26.084681,0.401606
246,27,1.467805,9.219690,0.399598
247,27,1.679451,8.749881,0.397600
248,27,2.437222,4.043559,0.395612
249,27,2.173006,7.887479,0.393634
250,27,1.200767,14.891157,0.391666
251,27,1.470106,15.587023,0.389708
252,27,1.487644,59.722476,0.387759
253,28,1.081699,16.518050,0.385821
254,28,1.655000,26.084681,0.383891
255,28,2.411602,9.219690,0.381972
256,28,1.347198,9.278665,0.380062
257,28,1.426733,4.043559,0.378162
258,28,1.263294,7.278575,0.376271
259,28,0.481203,9.764166,0.374390
260,28,1.586756,18.208192,0.372518
261,28,1.639238,60.072389,0.370655
262,29,2.558698,15.376483,0.368802
263,29,1.628983,23.798399,0.366958
264,29,0.843612,9.219690,0.365123
265,29,1.134072,8.749881,0.363297
266,29,1.601804,7.887479,0.361481
267,29,1.162687,15.391354,0.359674
268,29,1.012809,4.043559,0.357875
269,29,1.535094,19.222476,0.356086
270,29,1.071459,59.463484,0.354305
271,30,1.465922,16.518050,0.352534
272,30,1.236050,26.084681,0.350771
273,30,1.540741,7.278575,0.349017
274,30,2.028185,9.219690,0.347272
275,30,2.309570,8.749881,0.345536
276,30,1.174906,8.566782,0.343808
277,30,2.451315,9.278665,0.342089
278,30,1.627653,19.572389,0.340379
279,30,1.647065,55.199253,0.338677
280,31,0.985686,16.518050,0.336983
281,31,1.178712,26.084681,0.335298
282,31,0.905517,7.765898,0.333622
283,31,1.028209,9.721662,0.331954
284,31,1.456453,7.278575,0.330294
285,31,1.120767,9.387373,0.328643
286,31,1.018695,18.564573,0.326999
287,31,0.887389,17.619118,0.325364
288,31,1.506599,55.199253,0.323738
289,32,0.971361,16.518050,0.322119
290,32,1.070163,26.084681,0.320508
291,32,1.009462,7.887479,0.318906
292,32,0.829592,7.767219,0.317311
293,32,0.999125,9.219690,0.315725
294,32,1.243463,15.391354,0.314146
295,32,1.095185,18.963484,0.312575
296,32,0.996594,8.566782,0.311012
297,32,1.724134,55.199253,0.309457
298,33,1.377771,15.376483,0.307910
299,33,1.540038,23.798399,0.306371
300,33,1.981944,9.219690,0.304839
301,33,1.314697,9.278665,0.303315
302,33,1.359300,7.887479,0.301798
303,33,1.833205,4.043559,0.300289
304,33,1.185605,9.764166,0.298788
305,33,1.472163,18.963484,0.297294
306,33,1.073331,58.708192,0.295807
307,34,0.970990,16.518050,0.294328
308,34,1.586096,26.084681,0.292856
309,34,1.060793,9.219690,0.291392
310,34,0.798194,7.278575,0.289935
311,34,1.909754,8.749881,0.288486
312,34,1.118334,9.278665,0.287043
313,34,1.252742,8.566782,0.285608
314,34,1.467450,19.572389,0.284180
315,34,1.817568,55.199253,0.282759
316,35,1.498887,16.518050,0.281345
317,35,1.580660,26.084681,0.279938
318,35,1.019551,9.219690,0.278539
319,35,1.094620,7.278575,0.277146
320,35,1.381255,9.387373,0.275760
321,35,1.076041,15.587023,0.274382
322,35,1.798059,8.566782,0.273010
323,35,1.075217,17.619118,0.271645
324,35,1.134312,55.199253,0.270286
325,36,1.232617,16.518050,0.268935
326,36,0.707617,26.084681,0.267590
327,36,0.724903,7.887479,0.266252
328,36,1.377916,8.509076,0.264921
329,36,0.627388,18.281787,0.263596
330,36,1.746385,9.219690,0.262278
331,36,0.839037,4.043559,0.260967
332,36,1.212925,9.764166,0.259662
333,36,0.822088,58.708192,0.258364
334,37,1.698312,16.518050,0.257072
335,37,0.835288,26.084681,0.255787
336,37,1.025021,9.219690,0.254508
337,37,1.227015,7.887479,0.253235
338,37,0.623573,15.391354,0.251969
339,37,1.360527,8.566782,0.250709
340,37,1.928089,18.963484,0.249456
341,37,0.832426,17.619118,0.248208
342,37,1.107949,55.199253,0.246967
343,38,0.942722,16.518050,0.245733
344,38,0.591729,26.084681,0.244504
345,38,1.777673,9.219690,0.243281
346,38,0.832725,8.749881,0.242065
347,38,1.016905,9.278665,0.240855
348,38,1.508112,7.887479,0.239650
349,38,1.031672,4.043559,0.238452
350,38,1.300416,19.222476,0.237260
351,38,0.923873,59.463484,0.236074
352,39,1.814393,16.518050,0.234893
353,39,1.202976,26.084681,0.233719
354,39,1.436748,9.219690,0.232550
355,39,1.327126,7.278575,0.231387
356,39,0.997735,9.278665,0.230230
357,39,1.126311,19.572389,0.229079
358,39,0.883449,8.566782,0.227934
359,39,1.228399,17.619118,0.226794
360,39,1.205254,55.199253,0.225660
361,40,1.167674,15.376483,0.224532
362,40,1.533878,23.798399,0.223409
363,40,1.964784,9.219690,0.222292
364,40,1.222531,9.278665,0.221181
365,40,1.304193,7.887479,0.220075
366,40,1.923875,18.963484,0.218974
367,40,2.002931,8.566782,0.217880
368,40,1.798243,14.110180,0.216790
369,40,2.255269,58.708192,0.215706
370,41,1.279327,16.518050,0.214628
371,41,1.215130,26.084681,0.213555
372,41,2.137028,7.887479,0.212487
373,41,1.656873,9.219690,0.211424
374,41,1.219569,14.891157,0.210367
375,41,1.228149,15.587023,0.209315
376,41,1.764472,8.566782,0.208269
377,41,1.782473,14.110180,0.207227
378,41,1.745448,58.708192,0.206191
379,42,1.592829,16.518050,0.205160
380,42,1.961951,26.084681,0.204135
381,42,1.604746,7.767219,0.203114
382,42,1.949219,9.219690,0.202098
383,42,1.645002,7.278575,0.201088
384,42,1.791841,9.278665,0.200082
385,42,1.805424,8.566782,0.199082
386,42,1.379936,19.572389,0.198087
387,42,1.259780,55.199253,0.197096
388,43,1.293978,16.518050,0.196111
389,43,0.541263,26.084681,0.195130
390,43,1.177062,9.219690,0.194154
391,43,1.059551,9.278665,0.193184
392,43,0.836790,8.566782,0.192218
393,43,1.108194,14.110180,0.191257
394,43,0.992766,7.278575,0.190300
395,43,1.165342,18.208192,0.189349
396,43,0.994947,60.072389,0.188402
397,44,0.866830,16.518050,0.187460
398,44,0.848607,26.084681,0.186523
399,44,1.266523,9.219690,0.185590
400,44,1.327128,9.278665,0.184662
401,44,1.723408,8.749881,0.183739
402,44,0.867364,7.887479,0.182820
403,44,1.297756,18.963484,0.181906
404,44,1.012462,8.566782,0.180997
405,44,1.372350,55.199253,0.180092
406,45,1.572743,15.376483,0.179191
407,45,1.650181,23.798399,0.178295
408,45,1.001618,9.219690,0.177404
409,45,1.465399,9.278665,0.176517
410,45,1.914856,7.278575,0.175634
411,45,1.430468,19.572389,0.174756
412,45,1.306181,8.749881,0.173882
413,45,1.692032,8.566782,0.173013
414,45,2.106208,55.199253,0.172148
415,46,1.772911,16.518050,0.171287
416,46,1.015126,26.084681,0.170431
417,46,1.697294,8.509076,0.169578
418,46,1.350971,7.887479,0.168731
419,46,0.735531,9.219690,0.167887
420,46,1.563014,18.963484,0.167047
421,46,1.717277,8.749881,0.166212
422,46,1.266452,4.043559,0.165381
423,46,1.807408,59.722476,0.164554
424,47,2.205699,16.518050,0.163731
425,47,0.600536,26.084681,0.162913
426,47,1.475362,7.765898,0.162098
427,47,1.341575,9.721662,0.161288
428,47,1.315155,7.887479,0.160481
429,47,1.291067,14.891157,0.159679
430,47,0.980705,18.564573,0.158881
431,47,0.991349,17.619118,0.158086
432,47,0.763165,55.199253,0.157296
433,48,1.127757,16.518050,0.156509
434,48,0.694698,26.084681,0.155727
435,48,0.610305,8.509076,0.154948
436,48,1.370220,9.219690,0.154173
437,48,1.365898,8.749881,0.153402
438,48,0.618871,7.887479,0.152635
439,48,1.037958,18.963484,0.151872
440,48,0.951648,8.566782,0.151113
441,48,1.264613,55.199253,0.150357
442,49,1.297746,16.518050,0.149606
443,49,1.890239,26.084681,0.148857
444,49,1.489611,9.219690,0.148113
445,49,0.833512,8.749881,0.147373
446,49,1.323710,9.278665,0.146636
447,49,0.614951,4.043559,0.145903
448,49,1.151180,7.278575,0.145173
449,49,0.850286,19.222476,0.144447
450,49,1.306737,60.072389,0.143725
