step,episode,loss,step_reward,epsilon,q_value,episode_reward,episode_length,avg_reward_100,success_rate
1,0,,4.284351,1.000000,-0.029473,4.284351,1,0.000000,0.000000
2,0,,15.608407,1.000000,0.023681,19.892758,2,0.000000,0.000000
3,0,,9.691867,1.000000,0.003190,29.584625,3,0.000000,0.000000
4,0,,7.499115,1.000000,-0.099488,37.083740,4,0.000000,0.000000
5,0,,8.098372,1.000000,-0.251977,45.182112,5,0.000000,0.000000
6,0,,8.231953,1.000000,-0.265924,53.414065,6,0.000000,0.000000
7,0,,3.709000,1.000000,0.238223,57.123066,7,0.000000,0.000000
8,0,,8.851839,1.000000,-0.253234,65.974905,8,0.000000,0.000000
9,0,,59.453289,1.000000,0.020690,125.428194,9,0.000000,0.000000
10,1,,7.075142,1.000000,0.070810,7.075142,1,125.428194,1.000000
11,1,,16.412400,1.000000,0.179204,23.487542,2,125.428194,1.000000
12,1,,15.373911,1.000000,0.028800,38.861454,3,125.428194,1.000000
13,1,,5.396714,1.000000,0.085995,44.258168,4,125.428194,1.000000
14,1,,3.493690,1.000000,-0.200275,47.751858,5,125.428194,1.000000
15,1,,3.371882,1.000000,-0.190147,51.123740,6,125.428194,1.000000
16,1,,10.806129,1.000000,-0.129614,61.929869,7,125.428194,1.000000
17,1,,58.384242,1.000000,-0.220862,120.314111,8,125.428194,1.000000
18,2,,15.500892,1.000000,0.008646,15.500892,1,122.871152,0.500000
19,2,,9.622104,1.000000,0.013726,25.122996,2,122.871152,0.500000
20,2,,5.917131,1.000000,-0.108357,31.040127,3,122.871152,0.500000
21,2,,15.867304,1.000000,-0.020194,46.907431,4,122.871152,0.500000
22,2,,9.335827,1.000000,-0.240885,56.243258,5,122.871152,0.500000
23,2,,3.386317,1.000000,-0.207952,59.629575,6,122.871152,0.500000
24,2,,13.571115,1.000000,-0.213239,73.200691,7,122.871152,0.500000
25,2,,19.161417,1.000000,-0.004387,92.362108,8,122.871152,0.500000
26,2,,59.449930,1.000000,0.208265,151.812038,9,122.871152,0.500000
27,3,,4.033395,1.000000,-0.258282,4.033395,1,132.518114,0.666667
28,3,,3.899176,1.000000,-0.130042,7.932570,2,132.518114,0.666667
29,3,,16.720892,1.000000,0.004550,24.653462,3,132.518114,0.666667
30,3,,6.915133,1.000000,-0.028950,31.568595,4,132.518114,0.666667
31,3,,8.990919,1.000000,0.105074,40.559514,5,132.518114,0.666667
32,3,,19.171696,1.000000,-0.154117,59.731210,6,132.518114,0.666667
33,3,,7.382916,1.000000,-0.250628,67.114127,7,132.518114,0.666667
34,3,,68.523088,1.000000,0.038809,135.637214,8,132.518114,0.666667
35,4,,7.927036,1.000000,0.184049,7.927036,1,133.297889,0.500000
36,4,,8.997588,1.000000,0.025049,16.924624,2,133.297889,0.500000
37,4,,7.576606,1.000000,0.043497,24.501230,3,133.297889,0.500000
38,4,,5.490148,1.000000,-0.081300,29.991377,4,133.297889,0.500000
39,4,,12.304037,1.000000,-0.291039,42.295414,5,133.297889,0.500000
40,4,,3.896138,1.000000,-0.161172,46.191552,6,133.297889,0.500000
41,4,,8.209562,1.000000,-0.261323,54.401114,7,133.297889,0.500000
42,4,,58.666813,1.000000,0.131855,113.067926,8,133.297889,0.500000
43,5,,4.348861,1.000000,-0.015434,4.348861,1,129.251897,0.400000
44,5,,16.510104,1.000000,0.039584,20.858965,2,129.251897,0.400000
45,5,,15.351965,1.000000,0.014470,36.210930,3,129.251897,0.400000
46,5,,14.007063,1.000000,0.034864,50.217993,4,129.251897,0.400000
47,5,,8.035437,1.000000,-0.237288,58.253430,5,129.251897,0.400000
48,5,,4.278410,1.000000,-0.158568,62.531840,6,129.251897,0.400000
49,5,,16.637803,1.000000,-0.237179,79.169643,7,129.251897,0.400000
50,5,,17.668322,1.000000,-0.080649,96.837965,8,129.251897,0.400000
51,5,,59.545415,1.000000,0.232028,156.383380,9,129.251897,0.400000
52,6,,14.585471,1.000000,-0.220312,14.585471,1,133.773811,0.500000
53,6,,6.942061,1.000000,0.251980,21.527532,2,133.773811,0.500000
54,6,,8.047475,1.000000,-0.081894,29.575007,3,133.773811,0.500000
55,6,,4.016579,1.000000,-0.181559,33.591586,4,133.773811,0.500000
56,6,,5.305179,1.000000,-0.112198,38.896765,5,133.773811,0.500000
57,6,,19.657986,1.000000,-0.012241,58.554751,6,133.773811,0.500000
58,6,,13.979642,1.000000,-0.199556,72.534393,7,133.773811,0.500000
59,6,,8.862921,1.000000,-0.061946,81.397314,8,133.773811,0.500000
60,6,,68.106477,1.000000,0.044005,149.503791,9,133.773811,0.500000
61,7,,13.271803,1.000000,-0.127608,13.271803,1,136.020951,0.571429
62,7,,7.035238,1.000000,0.210030,20.307041,2,136.020951,0.571429
63,7,,15.399552,1.000000,0.038652,35.706593,3,136.020951,0.571429
64,7,,2.534454,1.000000,-0.091223,38.241047,4,136.020951,0.571429
65,7,,4.394977,1.000000,-0.280646,42.636024,5,136.020951,0.571429
66,7,,9.728395,1.000000,-0.100307,52.364420,6,136.020951,0.571429
67,7,,16.318817,1.000000,0.023168,68.683237,7,136.020951,0.571429
68,7,,25.296663,1.000000,0.123872,93.979900,8,136.020951,0.571429
69,7,,59.947874,1.000000,-0.172424,153.927774,9,136.020951,0.571429
70,8,,16.511009,1.000000,0.062850,16.511009,1,138.259303,0.625000
71,8,,7.612872,1.000000,-0.237671,24.123881,2,138.259303,0.625000
72,8,,8.724115,1.000000,0.042738,32.847996,3,138.259303,0.625000
73,8,,7.100694,1.000000,0.201460,39.948691,4,138.259303,0.625000
74,8,,24.126659,1.000000,0.030269,64.075349,5,138.259303,0.625000
75,8,,8.112880,1.000000,-0.211035,72.188229,6,138.259303,0.625000
76,8,,18.196724,1.000000,-0.216549,90.384953,7,138.259303,0.625000
77,8,,50.391894,1.000000,-0.143600,140.776847,8,138.259303,0.625000
