episode,total_reward,length,success,avg_reward_100,success_rate_100
0,153.003556,9,1.0,153.003556,1.0
1,153.054556,9,1.0,153.029056,1.0
2,143.773527,8,0.888889,149.94388,0.962963
3,148.93347,9,1.0,149.691277,0.972222
4,127.214454,8,0.888889,145.195913,0.955556
5,134.658623,9,1.0,143.439698,0.962963
6,139.608663,8,0.888889,142.892407,0.952381
7,130.491516,8,0.888889,141.342296,0.944444
8,137.470099,9,1.0,140.912052,0.950617
9,148.420611,9,1.0,141.662908,0.955556
10,137.354504,9,1.0,141.271234,0.959596
11,130.120948,8,0.888889,140.342044,0.953704
12,151.361777,9,1.0,141.189716,0.957265
13,146.845669,9,1.0,141.593712,0.960317
14,119.446783,8,0.888889,140.11725,0.955556
15,123.791717,9,1.0,139.096905,0.958333
16,133.306127,9,1.0,138.756271,0.960784
17,142.268639,9,1.0,138.951402,0.962963
18,132.181212,9,1.0,138.595076,0.964912
19,138.529911,8,0.888889,138.591818,0.961111
20,140.18269,9,1.0,138.667574,0.962963
21,146.498962,9,1.0,139.023546,0.964646
22,131.766523,9,1.0,138.708023,0.966184
23,138.034121,9,1.0,138.679944,0.967593
24,141.049926,8,0.888889,138.774743,0.964444
25,112.819713,8,0.888889,137.776473,0.961538
26,137.243902,8,0.888889,137.756748,0.958848
27,141.487571,9,1.0,137.889992,0.960317
28,144.70213,9,1.0,138.124893,0.961686
29,144.529007,8,0.888889,138.338364,0.959259
30,116.999039,8,0.888889,137.649998,0.956989
31,116.166226,8,0.888889,136.97863,0.954861
32,142.814434,9,1.0,137.155473,0.956229
33,142.769827,9,1.0,137.320601,0.957516
34,164.455851,9,1.0,138.095894,0.95873
35,127.732358,8,0.888889,137.808018,0.95679
36,144.121897,9,1.0,137.978663,0.957958
37,143.14976,9,1.0,138.114745,0.959064
38,129.806966,8,0.888889,137.901725,0.957265
39,144.893285,9,1.0,138.076514,0.958333
40,137.61885,9,1.0,138.065351,0.95935
41,136.356018,8,0.888889,138.024653,0.957672
42,129.378614,9,1.0,137.823582,0.958656
43,156.331154,9,1.0,138.244209,0.959596
44,137.174148,8,0.888889,138.22043,0.958025
45,109.97037,8,0.888889,137.606298,0.956522
46,147.794327,9,1.0,137.823065,0.957447
47,132.066224,8,0.888889,137.70313,0.956019
48,147.639699,9,1.0,137.905917,0.956916
49,126.236135,8,0.888889,137.672522,0.955556
50,133.079505,9,1.0,137.582463,0.956427
51,125.060702,9,1.0,137.34166,0.957265
52,132.940229,9,1.0,137.258614,0.958071
53,143.634823,9,1.0,137.376692,0.958848
54,125.481351,9,1.0,137.160413,0.959596
55,118.42403,8,0.888889,136.825834,0.958333
56,117.744673,8,0.888889,136.491077,0.957115
57,137.208886,9,1.0,136.503453,0.957854
58,144.845994,9,1.0,136.644852,0.958569
59,150.738135,9,1.0,136.87974,0.959259
60,151.297983,9,1.0,137.116105,0.959927
61,146.349756,8,0.888889,137.265035,0.958781
62,126.686301,8,0.888889,137.097118,0.957672
63,124.651376,8,0.888889,136.902654,0.956597
64,147.173814,9,1.0,137.060672,0.957265
65,139.720355,9,1.0,137.10097,0.957912
66,145.438493,9,1.0,137.22541,0.958541
67,147.355635,9,1.0,137.374384,0.95915
68,119.717665,9,1.0,137.11849,0.959742
69,147.00664,9,1.0,137.259749,0.960317
70,136.892413,9,1.0,137.254575,0.960876
71,130.755706,8,0.888889,137.164313,0.959877
72,133.21844,8,0.888889,137.11026,0.958904
73,141.597407,9,1.0,137.170897,0.959459
74,142.086154,9,1.0,137.236434,0.96
75,139.049065,8,0.888889,137.260285,0.959064
76,142.638635,9,1.0,137.330133,0.959596
77,137.054012,9,1.0,137.326593,0.960114
78,107.25842,8,0.888889,136.945983,0.959212
79,132.356964,8,0.888889,136.888621,0.958333
80,130.523697,9,1.0,136.810041,0.958848
81,128.753247,9,1.0,136.711788,0.95935
82,127.842769,9,1.0,136.604932,0.959839
83,128.088671,9,1.0,136.503548,0.960317
84,150.307801,9,1.0,136.665951,0.960784
85,138.481608,8,0.888889,136.687063,0.959948
86,127.246973,9,1.0,136.578557,0.960409
87,122.121877,8,0.888889,136.414276,0.959596
88,124.0726,9,1.0,136.275606,0.96005
89,141.837362,8,0.888889,136.337403,0.959259
90,141.427597,9,1.0,136.393339,0.959707
91,150.506773,9,1.0,136.546746,0.960145
92,125.492994,8,0.888889,136.427888,0.959379
93,142.741281,8,0.888889,136.495052,0.958629
94,156.800133,9,1.0,136.70879,0.959064
95,127.697929,8,0.888889,136.614927,0.958333
96,126.271436,8,0.888889,136.508293,0.957617
97,132.534874,9,1.0,136.467748,0.95805
98,128.492842,8,0.888889,136.387193,0.957351
99,138.108923,8,0.888889,136.40441,0.956667
100,135.845239,9,1.0,136.232827,0.956667
101,145.692151,9,1.0,136.159203,0.956667
102,151.99038,9,1.0,136.241372,0.957778
103,130.808143,8,0.888889,136.060118,0.956667
104,142.543569,8,0.888889,136.21341,0.956667
105,141.147445,9,1.0,136.278298,0.956667
106,134.194173,9,1.0,136.224153,0.957778
107,159.982082,9,1.0,136.519059,0.958889
108,140.213076,8,0.888889,136.546488,0.957778
109,129.046846,9,1.0,136.352751,0.957778
110,117.16782,8,0.888889,136.150884,0.956667
111,144.266305,9,1.0,136.292337,0.957778
112,145.01363,9,1.0,136.228856,0.957778
113,145.823441,9,1.0,136.218634,0.957778
114,126.400379,9,1.0,136.28817,0.958889
115,136.562339,8,0.888889,136.415876,0.957778
116,145.80304,9,1.0,136.540845,0.957778
117,111.41457,8,0.888889,136.232304,0.956667
118,158.335324,9,1.0,136.493845,0.956667
119,132.981409,9,1.0,136.43836,0.957778
120,157.144716,9,1.0,136.607981,0.957778
121,134.727372,8,0.888889,136.490265,0.956667
122,138.536976,9,1.0,136.557969,0.956667
123,150.122769,9,1.0,136.678856,0.956667
124,130.765448,9,1.0,136.576011,0.957778
125,120.964689,8,0.888889,136.657461,0.957778
126,127.90737,8,0.888889,136.564095,0.957778
127,128.123099,9,1.0,136.430451,0.957778
128,146.169628,9,1.0,136.445126,0.957778
129,141.175738,9,1.0,136.411593,0.958889
130,158.366352,9,1.0,136.825266,0.96
