step,episode,loss,step_reward,epsilon,q_value,episode_reward,episode_length,avg_reward_100,success_rate
1,0,,8.569594,1.0,0.248315,8.569594,1,0.0,0.0
2,0,,15.078273,1.0,-0.078213,23.647867,2,0.0,0.0
3,0,,9.695442,1.0,-0.235148,33.343309,3,0.0,0.0
4,0,,4.122278,1.0,0.145587,37.465587,4,0.0,0.0
5,0,,5.301073,1.0,-0.013712,42.76666,5,0.0,0.0
6,0,,7.034067,1.0,-0.02967,49.800727,6,0.0,0.0
7,0,,19.447283,1.0,-0.096309,69.24801,7,0.0,0.0
8,0,,24.442576,1.0,-0.048691,93.690585,8,0.0,0.0
9,0,,59.312971,1.0,-0.020093,153.003556,9,0.0,0.0
10,1,,15.482266,1.0,0.239507,15.482266,1,153.003556,1.0
11,1,,7.045314,1.0,-0.144698,22.52758,2,153.003556,1.0
12,1,,8.018578,1.0,-0.080435,30.546158,3,153.003556,1.0
13,1,,9.748022,1.0,0.08457,40.29418,4,153.003556,1.0
14,1,,7.637471,1.0,-0.235534,47.931651,5,153.003556,1.0
15,1,,8.665036,1.0,-0.019607,56.596687,6,153.003556,1.0
16,1,,16.703014,1.0,-0.068657,73.299701,7,153.003556,1.0
17,1,,18.985231,1.0,-0.059703,92.284932,8,153.003556,1.0
18,1,,60.769623,1.0,-0.140628,153.054556,9,153.003556,1.0
19,2,,7.009103,1.0,-0.138206,7.009103,1,153.029056,1.0
20,2,,15.364099,1.0,-0.044135,22.373202,2,153.029056,1.0
21,2,,7.212445,1.0,-0.020486,29.585647,3,153.029056,1.0
22,2,,3.502267,1.0,0.004136,33.087914,4,153.029056,1.0
23,2,,8.996635,1.0,0.18961,42.084549,5,153.029056,1.0
24,2,,19.5286,1.0,-0.111243,61.613149,6,153.029056,1.0
25,2,,16.751227,1.0,-0.049053,78.364376,7,153.029056,1.0
26,2,,65.409152,1.0,-0.042858,143.773527,8,153.029056,1.0
27,3,,13.296933,1.0,0.215316,13.296933,1,149.94388,0.962963
28,3,,5.87078,1.0,-0.050681,19.167713,2,149.94388,0.962963
29,3,,16.268668,1.0,-0.140358,35.436381,3,149.94388,0.962963
30,3,,8.124604,1.0,-0.294441,43.560984,4,149.94388,0.962963
31,3,,15.604531,1.0,-0.070615,59.165515,5,149.94388,0.962963
32,3,,3.736362,1.0,0.061975,62.901878,6,149.94388,0.962963
