step,episode,loss,reward,epsilon
1,0,,30.159510,1.000000
2,0,,25.874189,1.000000
3,0,,31.075679,1.000000
4,0,,24.685790,1.000000
5,0,,26.310770,1.000000
6,0,,8.805667,1.000000
7,0,,10.742159,1.000000
8,0,,10.725302,1.000000
9,0,,64.693770,1.000000
10,1,,33.703375,1.000000
11,1,,27.529634,1.000000
12,1,,31.001749,1.000000
13,1,,29.192085,1.000000
14,1,,8.959402,1.000000
15,1,,11.544745,1.000000
16,1,,10.409163,1.000000
17,1,,8.408194,1.000000
18,1,,68.465269,1.000000
19,2,,30.322385,1.000000
20,2,,24.824801,1.000000
21,2,,-0.493919,1.000000
22,2,,31.263115,1.000000
23,2,,8.900140,1.000000
24,2,,25.935764,1.000000
25,2,,23.972973,1.000000
26,2,,14.824643,1.000000
27,2,,64.377185,1.000000
28,3,,0.476259,1.000000
29,3,,28.707707,1.000000
30,3,,29.234663,1.000000
31,3,,15.471950,1.000000
32,3,,13.026935,1.000000
33,3,,28.170160,1.000000
34,3,,26.547742,1.000000
35,3,,26.223207,1.000000
36,3,,69.295742,1.000000
37,4,,27.452081,1.000000
38,4,,26.445676,1.000000
39,4,,11.788652,1.000000
40,4,,29.269712,1.000000
41,4,,10.122452,1.000000
42,4,,28.940054,1.000000
43,4,,29.320871,1.000000
44,4,,14.919800,1.000000
45,4,,59.054950,1.000000
46,5,,30.914903,1.000000
47,5,,8.166245,1.000000
48,5,,10.427086,1.000000
49,5,,31.075161,1.000000
50,5,,29.093759,1.000000
51,5,,10.721081,1.000000
52,5,,26.969155,1.000000
53,5,,14.371911,1.000000
54,5,,66.662200,1.000000
55,6,,29.056462,1.000000
56,6,,25.168541,1.000000
57,6,,28.973095,1.000000
58,6,,29.523088,1.000000
59,6,,13.201105,1.000000
60,6,,10.635334,1.000000
61,6,,9.977454,1.000000
62,6,,28.458466,1.000000
63,6,,58.805407,1.000000
64,7,25.079540,9.205012,0.995000
65,7,24.755493,20.703287,0.990025
66,7,24.255175,10.382246,0.985075
67,7,24.632710,29.802938,0.980150
68,7,23.655785,30.979303,0.975249
69,7,23.952900,29.549332,0.970373
70,7,21.276934,-0.866367,0.965521
71,7,18.681101,19.481205,0.960693
72,7,19.544043,61.664916,0.955890
73,8,16.877449,18.630346,0.951110
74,8,15.842733,20.092981,0.946355
75,8,13.218724,9.650621,0.941623
76,8,12.929071,29.591697,0.936915
77,8,13.896027,12.392722,0.932230
78,8,15.405052,28.937184,0.927569
79,8,15.685187,21.261761,0.922931
80,8,18.865639,31.022506,0.918316
81,8,17.298458,70.362017,0.913725
82,9,16.059282,34.157569,0.909156
83,9,15.179739,22.061369,0.904610
84,9,13.482513,30.115069,0.900087
85,9,11.362743,14.375737,0.895587
86,9,10.844899,31.052007,0.891109
87,9,10.645952,24.823175,0.886654
88,9,11.398354,25.388370,0.882220
89,9,12.131413,13.121767,0.877809
90,9,11.068627,66.391198,0.873420
91,10,12.261987,26.677680,0.869053
92,10,11.045988,8.336449,0.864708
93,10,10.112550,10.702930,0.860384
94,10,9.753540,10.760106,0.856082
95,10,10.210997,29.407558,0.851802
96,10,10.818791,28.933330,0.847543
97,10,11.330267,26.603242,0.843305
98,10,10.866255,31.221161,0.839089
99,10,11.147087,67.942641,0.834893
100,11,10.912045,31.054742,0.830719
101,11,10.751077,-1.915965,0.826565
102,11,10.522907,30.219513,0.822432
103,11,10.934809,-1.502514,0.818320
104,11,10.073238,28.910571,0.814229
105,11,12.069923,23.955522,0.810157
106,11,11.512652,9.641264,0.806107
107,11,9.851883,0.762433,0.802076
108,11,12.412822,50.961775,0.798066
109,12,12.007873,22.234886,0.794075
110,12,13.229516,31.275268,0.790105
111,12,11.739401,22.870210,0.786154
112,12,9.989096,31.054952,0.782224
113,12,9.761297,9.264156,0.778313
114,12,10.481329,17.926726,0.774421
115,12,9.487878,12.379467,0.770549
116,12,8.960219,-2.721102,0.766696
117,12,11.410654,64.787017,0.762863
118,13,10.418413,32.275940,0.759048
119,13,10.972023,9.577270,0.755253
120,13,10.333690,25.235052,0.751477
121,13,10.476534,8.805058,0.747719
122,13,10.167816,-0.137047,0.743981
