episode,total_reward,length,success,avg_reward_100,success_rate_100
0,93.652051,4,1,93.652051,1.000000
1,107.603390,4,1,100.627720,1.000000
2,107.116025,4,1,102.790488,1.000000
3,123.098530,4,1,107.867499,1.000000
4,110.812113,4,1,108.456422,1.000000
5,106.465938,4,1,108.124674,1.000000
6,95.634485,4,1,106.340362,1.000000
7,106.501283,4,1,106.360477,1.000000
8,101.037139,4,1,105.768995,1.000000
9,126.954065,4,1,107.887502,1.000000
10,118.339164,4,1,108.837653,1.000000
11,100.558997,4,1,108.147765,1.000000
12,103.414808,4,1,107.783691,1.000000
13,116.548760,4,1,108.409768,1.000000
14,124.531120,4,1,109.484524,1.000000
15,121.387559,4,1,110.228464,1.000000
16,103.470846,4,1,109.830957,1.000000
17,118.830581,4,1,110.330936,1.000000
18,120.154023,4,1,110.847941,1.000000
19,114.708485,4,1,111.040968,1.000000
20,98.968477,4,1,110.466087,1.000000
21,112.515133,4,1,110.559226,1.000000
22,108.958459,4,1,110.489627,1.000000
23,117.004652,4,1,110.761087,1.000000
24,77.944004,4,1,109.448403,1.000000
25,96.160029,4,1,108.937312,1.000000
26,109.600965,4,1,108.961892,1.000000
27,94.405455,4,1,108.442019,1.000000
28,108.954662,4,1,108.459696,1.000000
29,108.129014,4,1,108.448674,1.000000
30,105.252589,4,1,108.345574,1.000000
31,84.033977,4,1,107.585837,1.000000
32,111.032214,4,1,107.690272,1.000000
33,112.087272,4,1,107.819596,1.000000
34,104.784265,4,1,107.732872,1.000000
35,101.456371,4,1,107.558525,1.000000
36,108.077335,4,1,107.572547,1.000000
37,101.025458,4,1,107.400255,1.000000
38,88.039038,4,1,106.903814,1.000000
39,98.089860,4,1,106.683465,1.000000
40,118.700350,4,1,106.976559,1.000000
41,95.709608,4,1,106.708299,1.000000
42,107.564968,4,1,106.728221,1.000000
43,104.623146,4,1,106.680379,1.000000
44,121.436830,4,1,107.008300,1.000000
45,96.487976,4,1,106.779597,1.000000
46,97.354170,4,1,106.579056,1.000000
47,115.369726,4,1,106.762195,1.000000
48,90.934477,4,1,106.439180,1.000000
49,88.886292,4,1,106.088123,1.000000
50,102.074763,4,1,106.009429,1.000000
51,110.138788,4,1,106.088840,1.000000
52,102.631733,4,1,106.023612,1.000000
53,81.564376,4,1,105.570663,1.000000
54,95.596274,4,1,105.389310,1.000000
55,125.527442,4,1,105.748920,1.000000
56,97.142576,4,1,105.597931,1.000000
57,117.155792,4,1,105.797205,1.000000
58,109.274650,4,1,105.856145,1.000000
59,95.546431,4,1,105.684316,1.000000
60,101.384126,4,1,105.613821,1.000000
61,108.800151,4,1,105.665213,1.000000
62,101.378242,4,1,105.597166,1.000000
63,102.830841,4,1,105.553942,1.000000
64,105.945254,4,1,105.559963,1.000000
65,107.157635,4,1,105.584170,1.000000
66,102.031288,4,1,105.531142,1.000000
67,104.084247,4,1,105.509864,1.000000
68,94.571920,4,1,105.351343,1.000000
69,103.430610,4,1,105.323904,1.000000
70,121.137084,4,1,105.546625,1.000000
71,101.344622,4,1,105.488264,1.000000
72,90.742541,4,1,105.286267,1.000000
73,110.859111,4,1,105.361576,1.000000
74,114.976690,4,1,105.489778,1.000000
75,112.899361,4,1,105.587272,1.000000
76,127.855649,4,1,105.876472,1.000000
77,97.388194,4,1,105.767648,1.000000
78,95.275280,4,1,105.634833,1.000000
79,101.698000,4,1,105.585623,1.000000
80,99.042618,4,1,105.504845,1.000000
81,97.511153,4,1,105.407361,1.000000
82,100.465982,4,1,105.347826,1.000000
83,106.956593,4,1,105.366978,1.000000
84,127.672153,4,1,105.629392,1.000000
85,87.783136,4,1,105.421877,1.000000
86,97.761822,4,1,105.333831,1.000000
87,98.939376,4,1,105.261166,1.000000
88,121.614880,4,1,105.444916,1.000000
89,99.522970,4,1,105.379116,1.000000
90,94.809961,4,1,105.262972,1.000000
91,107.175647,4,1,105.283762,1.000000
92,92.974327,4,1,105.151402,1.000000
93,98.905021,4,1,105.084951,1.000000
94,104.515953,4,1,105.078962,1.000000
95,128.896685,4,1,105.327063,1.000000
96,103.478033,4,1,105.308001,1.000000
97,113.981614,4,1,105.396507,1.000000
98,103.052561,4,1,105.372831,1.000000
99,104.192848,4,1,105.361031,1.000000
100,91.672917,4,1,105.341240,1.000000
101,100.723932,4,1,105.272445,1.000000
102,105.104870,4,1,105.252334,1.000000
103,87.822196,4,1,104.899571,1.000000
104,105.259083,4,1,104.844040,1.000000
105,99.384159,4,1,104.773222,1.000000
106,111.485359,4,1,104.931731,1.000000
107,96.762372,4,1,104.834342,1.000000
108,110.257537,4,1,104.926546,1.000000
109,116.685000,4,1,104.823855,1.000000
110,102.838070,4,1,104.668844,1.000000
111,97.151818,4,1,104.634773,1.000000
112,95.919822,4,1,104.559823,1.000000
113,98.481788,4,1,104.379153,1.000000
114,102.632408,4,1,104.160166,1.000000
115,99.424296,4,1,103.940533,1.000000
116,97.115962,4,1,103.876985,1.000000
117,96.275725,4,1,103.651436,1.000000
118,110.748923,4,1,103.557385,1.000000
119,99.636684,4,1,103.406667,1.000000
120,106.826858,4,1,103.485251,1.000000
121,97.217191,4,1,103.332271,1.000000
122,97.127115,4,1,103.213958,1.000000
123,91.775698,4,1,102.961668,1.000000
124,87.223080,4,1,103.054459,1.000000
125,96.975195,4,1,103.062611,1.000000
126,118.523725,4,1,103.151838,1.000000
127,101.102897,4,1,103.218813,1.000000
128,83.406927,4,1,102.963335,1.000000
129,89.802814,4,1,102.780073,1.000000
130,90.823191,4,1,102.635779,1.000000
131,115.295028,4,1,102.948390,1.000000
132,107.835302,4,1,102.916421,1.000000
133,103.588452,4,1,102.831433,1.000000
134,117.951233,4,1,102.963102,1.000000
135,132.017267,4,1,103.268711,1.000000
136,104.596759,4,1,103.233906,1.000000
137,100.989705,4,1,103.233548,1.000000
138,114.785268,4,1,103.501010,1.000000
139,86.530206,4,1,103.385414,1.000000
140,107.048526,4,1,103.268896,1.000000
141,107.408823,4,1,103.385888,1.000000
142,118.131789,4,1,103.491556,1.000000
143,111.242523,4,1,103.557750,1.000000
144,109.489128,4,1,103.438273,1.000000
145,116.822100,4,1,103.641614,1.000000
146,88.675687,4,1,103.554829,1.000000
147,109.941206,4,1,103.500544,1.000000
148,117.598444,4,1,103.767183,1.000000
149,104.763688,4,1,103.925957,1.000000
150,97.071329,4,1,103.875923,1.000000
151,86.306471,4,1,103.637600,1.000000
152,91.473711,4,1,103.526020,1.000000
153,109.803310,4,1,103.808409,1.000000
154,91.667133,4,1,103.769118,1.000000
155,94.148512,4,1,103.455328,1.000000
156,118.586649,4,1,103.669769,1.000000
157,116.073503,4,1,103.658946,1.000000
158,110.185724,4,1,103.668057,1.000000
159,102.834200,4,1,103.740935,1.000000
160,95.678793,4,1,103.683881,1.000000
161,81.701195,4,1,103.412892,1.000000
162,105.329610,4,1,103.452405,1.000000
163,113.588139,4,1,103.559978,1.000000
164,92.754785,4,1,103.428074,1.000000
165,95.580433,4,1,103.312302,1.000000
166,91.110338,4,1,103.203092,1.000000
167,95.324987,4,1,103.115500,1.000000
168,109.183581,4,1,103.261616,1.000000
169,124.181466,4,1,103.469125,1.000000
170,106.184214,4,1,103.319596,1.000000
171,97.590188,4,1,103.282052,1.000000
172,115.573766,4,1,103.530364,1.000000
173,105.775421,4,1,103.479527,1.000000
174,95.905377,4,1,103.288814,1.000000
175,101.906124,4,1,103.178882,1.000000
176,114.610083,4,1,103.046426,1.000000
177,105.814847,4,1,103.130692,1.000000
178,98.297636,4,1,103.160916,1.000000
179,105.556619,4,1,103.199502,1.000000
180,91.047129,4,1,103.119547,1.000000
181,103.783081,4,1,103.182267,1.000000
182,113.976591,4,1,103.317373,1.000000
183,103.204474,4,1,103.279852,1.000000
184,107.293629,4,1,103.076066,1.000000
185,112.960581,4,1,103.327841,1.000000
186,109.746339,4,1,103.447686,1.000000
187,114.258569,4,1,103.600878,1.000000
188,103.341693,4,1,103.418146,1.000000
189,108.990669,4,1,103.512823,1.000000
190,94.778120,4,1,103.512505,1.000000
191,86.313939,4,1,103.303887,1.000000
192,95.956549,4,1,103.333710,1.000000
193,76.962783,4,1,103.114287,1.000000
194,108.366953,4,1,103.152797,1.000000
195,111.539690,4,1,102.979227,1.000000
196,94.241675,4,1,102.886864,1.000000
197,81.895218,4,1,102.566000,1.000000
198,108.844333,4,1,102.623918,1.000000
199,111.376459,4,1,102.695754,1.000000
200,102.176913,4,1,102.800794,1.000000
201,117.659757,4,1,102.970152,1.000000
202,100.027945,4,1,102.919383,1.000000
203,104.599005,4,1,103.087151,1.000000
204,113.716192,4,1,103.171722,1.000000
205,97.612159,4,1,103.154002,1.000000
206,95.907542,4,1,102.998224,1.000000
207,101.938552,4,1,103.049985,1.000000
208,97.426925,4,1,102.921679,1.000000
209,99.220175,4,1,102.747031,1.000000
210,88.278194,4,1,102.601432,1.000000
211,109.950840,4,1,102.729422,1.000000
212,101.800370,4,1,102.788228,1.000000
213,100.315737,4,1,102.806567,1.000000
214,112.405186,4,1,102.904295,1.000000
215,101.523708,4,1,102.925289,1.000000
216,88.899318,4,1,102.843123,1.000000
217,104.114406,4,1,102.921510,1.000000
218,105.324600,4,1,102.867266,1.000000
219,101.871414,4,1,102.889614,1.000000
220,85.220294,4,1,102.673548,1.000000
221,123.880715,4,1,102.940183,1.000000
222,111.214223,4,1,103.081054,1.000000
223,127.965247,4,1,103.442950,1.000000
224,109.014185,4,1,103.660861,1.000000
225,107.205220,4,1,103.763161,1.000000
226,98.859406,4,1,103.566518,1.000000
227,124.581721,4,1,103.801306,1.000000
228,105.345450,4,1,104.020692,1.000000
229,85.106425,4,1,103.973728,1.000000
230,98.623287,4,1,104.051729,1.000000
231,123.038883,4,1,104.129167,1.000000
232,118.514735,4,1,104.235961,1.000000
233,89.270198,4,1,104.092779,1.000000
234,101.025529,4,1,103.923522,1.000000
235,105.945388,4,1,103.662803,1.000000
236,114.102254,4,1,103.757858,1.000000
237,106.861838,4,1,103.816579,1.000000
238,107.232937,4,1,103.741056,1.000000
239,102.197790,4,1,103.897732,1.000000
240,78.129749,4,1,103.608544,1.000000
241,113.708330,4,1,103.671539,1.000000
242,111.787081,4,1,103.608092,1.000000
243,108.398359,4,1,103.579651,1.000000
244,105.748061,4,1,103.542240,1.000000
245,83.573815,4,1,103.209757,1.000000
246,98.428921,4,1,103.307289,1.000000
247,80.640251,4,1,103.014280,1.000000
248,98.564542,4,1,102.823941,1.000000
249,109.620257,4,1,102.872506,1.000000
250,97.173351,4,1,102.873527,1.000000
251,90.426513,4,1,102.914727,1.000000
252,99.099475,4,1,102.990985,1.000000
253,85.761202,4,1,102.750564,1.000000
254,112.974069,4,1,102.963633,1.000000
255,117.260505,4,1,103.194753,1.000000
256,105.231846,4,1,103.061205,1.000000
257,92.965983,4,1,102.830130,1.000000
258,98.954812,4,1,102.717821,1.000000
259,95.357778,4,1,102.643056,1.000000
260,95.045983,4,1,102.636728,1.000000
