step,episode,loss,step_reward,epsilon,q_value,episode_reward,episode_length,avg_reward_100,success_rate
1,0,,8.810086,1.000000,-0.027099,8.810086,1,0.000000,0.000000
2,0,,24.109676,1.000000,-0.108708,32.919762,2,0.000000,0.000000
3,0,,10.239204,1.000000,-0.108898,43.158966,3,0.000000,0.000000
4,0,,16.883275,1.000000,0.193886,60.042241,4,0.000000,0.000000
5,0,,12.665770,1.000000,-0.025061,72.708011,5,0.000000,0.000000
6,0,,52.881265,1.000000,0.183412,125.589276,6,0.000000,0.000000
7,1,,27.934466,1.000000,0.098944,27.934466,1,125.589276,1.000000
8,1,,17.539406,1.000000,0.118565,45.473872,2,125.589276,1.000000
9,1,,7.499865,1.000000,-0.005664,52.973737,3,125.589276,1.000000
10,1,,7.767509,1.000000,-0.133728,60.741246,4,125.589276,1.000000
11,1,,18.217355,1.000000,-0.053319,78.958600,5,125.589276,1.000000
12,1,,51.469029,1.000000,-0.044558,130.427629,6,125.589276,1.000000
13,2,,20.451915,1.000000,-0.181424,20.451915,1,128.008452,1.000000
14,2,,6.754538,1.000000,0.169369,27.206453,2,128.008452,1.000000
15,2,,10.446528,1.000000,0.138431,37.652981,3,128.008452,1.000000
16,2,,20.934596,1.000000,-0.089179,58.587577,4,128.008452,1.000000
17,2,,15.047363,1.000000,-0.113231,73.634940,5,128.008452,1.000000
18,2,,52.251905,1.000000,-0.003259,125.886845,6,128.008452,1.000000
19,3,,9.893639,1.000000,-0.074000,9.893639,1,127.301250,1.000000
20,3,,13.930901,1.000000,0.030347,23.824540,2,127.301250,1.000000
21,3,,25.203668,1.000000,0.223892,49.028208,3,127.301250,1.000000
22,3,,16.957970,1.000000,-0.033872,65.986178,4,127.301250,1.000000
23,3,,3.193417,1.000000,0.166452,69.179594,5,127.301250,1.000000
24,3,,51.808579,1.000000,-0.166185,120.988173,6,127.301250,1.000000
25,4,,22.221263,1.000000,0.053544,22.221263,1,125.722981,1.000000
26,4,,18.060956,1.000000,-0.062761,40.282219,2,125.722981,1.000000
27,4,,10.814257,1.000000,-0.053163,51.096476,3,125.722981,1.000000
28,4,,10.878357,1.000000,-0.107633,61.974833,4,125.722981,1.000000
29,4,,24.073840,1.000000,0.167249,86.048673,5,125.722981,1.000000
30,4,,51.571291,1.000000,0.167759,137.619964,6,125.722981,1.000000
31,5,,21.529737,1.000000,0.055426,21.529737,1,128.102377,1.000000
32,5,,2.022672,1.000000,-0.121040,23.552409,2,128.102377,1.000000
33,5,,22.576681,1.000000,0.215223,46.129090,3,128.102377,1.000000
34,5,,-0.517219,1.000000,-0.076122,45.611871,4,128.102377,1.000000
35,5,,12.325470,1.000000,0.195778,57.937341,5,128.102377,1.000000
36,5,,51.326186,1.000000,-0.040813,109.263527,6,128.102377,1.000000
37,6,,9.929939,1.000000,-0.066016,9.929939,1,124.962569,1.000000
38,6,,17.823742,1.000000,-0.075384,27.753681,2,124.962569,1.000000
39,6,,0.156516,1.000000,-0.033012,27.910197,3,124.962569,1.000000
40,6,,11.238790,1.000000,0.164960,39.148986,4,124.962569,1.000000
41,6,,23.496367,1.000000,0.104668,62.645353,5,124.962569,1.000000
42,6,,56.394939,1.000000,-0.139412,119.040292,6,124.962569,1.000000
43,7,,10.427723,1.000000,0.134549,10.427723,1,124.116529,1.000000
44,7,,9.041680,1.000000,0.001628,19.469403,2,124.116529,1.000000
45,7,,15.616365,1.000000,0.119534,35.085768,3,124.116529,1.000000
46,7,,17.461088,1.000000,-0.033006,52.546856,4,124.116529,1.000000
