episode,total_reward,length,success,avg_reward_100,success_rate_100
0,133.589580,6,1,133.589580,1.000000
1,139.255422,6,1,136.422501,1.000000
2,139.105863,6,1,137.316955,1.000000
3,130.019593,6,1,135.492615,1.000000
4,133.440021,6,1,135.082096,1.000000
5,133.589580,6,1,134.833343,1.000000
6,133.589580,6,1,134.655663,1.000000
7,133.540936,6,1,134.516322,1.000000
8,139.105863,6,1,135.026271,1.000000
9,139.255422,6,1,135.449186,1.000000
10,130.019593,6,1,134.955587,1.000000
11,139.105863,6,1,135.301443,1.000000
12,133.440021,6,1,135.158257,1.000000
13,129.870034,6,1,134.780527,1.000000
14,139.255422,6,1,135.078853,1.000000
15,133.690495,6,1,134.992081,1.000000
16,139.255422,6,1,135.242865,1.000000
17,133.540936,6,1,135.148314,1.000000
18,139.105863,6,1,135.356606,1.000000
19,133.440021,6,1,135.260777,1.000000
20,139.105863,6,1,135.443876,1.000000
21,129.870034,6,1,135.190520,1.000000
22,139.255422,6,1,135.367254,1.000000
23,130.019593,6,1,135.144435,1.000000
24,133.440021,6,1,135.076259,1.000000
25,129.870034,6,1,134.876019,1.000000
26,133.440021,6,1,134.822834,1.000000
27,139.105863,6,1,134.975799,1.000000
28,139.105863,6,1,135.118215,1.000000
29,133.690495,6,1,135.070625,1.000000
30,133.440021,6,1,135.018025,1.000000
31,130.019593,6,1,134.861824,1.000000
32,133.690495,6,1,134.826329,1.000000
33,139.255422,6,1,134.956596,1.000000
34,133.540936,6,1,134.916149,1.000000
35,133.690495,6,1,134.882103,1.000000
36,139.255422,6,1,135.000301,1.000000
37,130.019593,6,1,134.869229,1.000000
38,129.870034,6,1,134.741045,1.000000
39,130.019593,6,1,134.623009,1.000000
40,133.440021,6,1,134.594155,1.000000
41,139.105863,6,1,134.701577,1.000000
42,130.019593,6,1,134.592694,1.000000
43,139.105863,6,1,134.695266,1.000000
44,133.589580,6,1,134.670695,1.000000
45,133.589580,6,1,134.647192,1.000000
46,133.589580,6,1,134.624690,1.000000
47,130.019593,6,1,134.528750,1.000000
48,139.255422,6,1,134.625213,1.000000
49,139.105863,6,1,134.714826,1.000000
50,139.255422,6,1,134.803857,1.000000
51,129.870034,6,1,134.708976,1.000000
52,133.440021,6,1,134.685034,1.000000
53,139.255422,6,1,134.769670,1.000000
54,139.105863,6,1,134.848510,1.000000
55,129.870034,6,1,134.759609,1.000000
56,130.019593,6,1,134.676451,1.000000
57,129.870034,6,1,134.593582,1.000000
58,139.105863,6,1,134.670061,1.000000
59,129.870034,6,1,134.590060,1.000000
60,139.105863,6,1,134.664090,1.000000
61,133.589580,6,1,134.646759,1.000000
62,139.255422,6,1,134.719913,1.000000
63,139.105863,6,1,134.788443,1.000000
64,133.690495,6,1,134.771552,1.000000
65,139.105863,6,1,134.837223,1.000000
66,130.019593,6,1,134.765318,1.000000
67,133.589580,6,1,134.748028,1.000000
68,133.589580,6,1,134.731239,1.000000
69,133.589580,6,1,134.714929,1.000000
70,139.105863,6,1,134.776773,1.000000
71,129.870034,6,1,134.708624,1.000000
72,133.440021,6,1,134.691246,1.000000
73,129.870034,6,1,134.626095,1.000000
74,129.870034,6,1,134.562680,1.000000
75,139.255422,6,1,134.624427,1.000000
76,133.540936,6,1,134.610356,1.000000
77,133.540936,6,1,134.596645,1.000000
78,133.540936,6,1,134.583282,1.000000
79,133.589580,6,1,134.570861,1.000000
80,129.870034,6,1,134.512826,1.000000
81,139.105863,6,1,134.568838,1.000000
82,133.440021,6,1,134.555238,1.000000
83,133.440021,6,1,134.541962,1.000000
84,130.019593,6,1,134.488757,1.000000
85,130.019593,6,1,134.436790,1.000000
86,139.105863,6,1,134.490458,1.000000
87,130.019593,6,1,134.439653,1.000000
88,139.105863,6,1,134.492082,1.000000
89,139.255422,6,1,134.545008,1.000000
90,133.440021,6,1,134.532865,1.000000
91,133.690495,6,1,134.523709,1.000000
92,129.870034,6,1,134.473669,1.000000
93,133.440021,6,1,134.462673,1.000000
94,139.255422,6,1,134.513123,1.000000
95,130.019593,6,1,134.466316,1.000000
96,133.540936,6,1,134.456776,1.000000
97,133.690495,6,1,134.448956,1.000000
98,129.870034,6,1,134.402705,1.000000
99,130.019593,6,1,134.358874,1.000000
100,139.105863,6,1,134.414036,1.000000
101,133.440021,6,1,134.355882,1.000000
102,133.540936,6,1,134.300233,1.000000
103,139.255422,6,1,134.392591,1.000000
104,130.019593,6,1,134.358387,1.000000
105,133.540936,6,1,134.357901,1.000000
106,130.019593,6,1,134.322201,1.000000
107,139.255422,6,1,134.379346,1.000000
108,133.589580,6,1,134.324183,1.000000
109,133.440021,6,1,134.266029,1.000000
110,139.105863,6,1,134.356892,1.000000
111,133.589580,6,1,134.301729,1.000000
112,133.589580,6,1,134.303224,1.000000
113,139.255422,6,1,134.397078,1.000000
114,133.440021,6,1,134.338924,1.000000
115,139.105863,6,1,134.393078,1.000000
116,139.105863,6,1,134.391582,1.000000
117,129.870034,6,1,134.354873,1.000000
118,139.255422,6,1,134.356369,1.000000
119,133.440021,6,1,134.356369,1.000000
120,133.540936,6,1,134.300720,1.000000
121,133.589580,6,1,134.337915,1.000000
122,130.019593,6,1,134.245557,1.000000
123,139.105863,6,1,134.336419,1.000000
124,139.105863,6,1,134.393078,1.000000
125,133.440021,6,1,134.428778,1.000000
126,133.540936,6,1,134.429787,1.000000
127,139.255422,6,1,134.431282,1.000000
128,130.019593,6,1,134.340420,1.000000
129,139.105863,6,1,134.394573,1.000000
130,133.589580,6,1,134.396069,1.000000
131,133.589580,6,1,134.431769,1.000000
132,139.255422,6,1,134.487418,1.000000
133,139.255422,6,1,134.487418,1.000000
134,139.255422,6,1,134.544563,1.000000
135,133.589580,6,1,134.543554,1.000000
136,139.255422,6,1,134.543554,1.000000
137,130.019593,6,1,134.543554,1.000000
138,129.870034,6,1,134.543554,1.000000
139,133.440021,6,1,134.577758,1.000000
140,139.255422,6,1,134.635912,1.000000
141,130.019593,6,1,134.545049,1.000000
142,130.019593,6,1,134.545049,1.000000
143,139.255422,6,1,134.546545,1.000000
144,133.540936,6,1,134.546059,1.000000
145,139.255422,6,1,134.602717,1.000000
146,133.440021,6,1,134.601221,1.000000
147,130.019593,6,1,134.601221,1.000000
148,130.019593,6,1,134.508863,1.000000
149,139.105863,6,1,134.508863,1.000000
150,139.255422,6,1,134.508863,1.000000
151,133.589580,6,1,134.546059,1.000000
152,130.019593,6,1,134.511854,1.000000
153,133.589580,6,1,134.455196,1.000000
154,129.870034,6,1,134.362838,1.000000
155,129.870034,6,1,134.362838,1.000000
156,130.019593,6,1,134.362838,1.000000
157,129.870034,6,1,134.362838,1.000000
158,133.589580,6,1,134.307675,1.000000
159,133.589580,6,1,134.344870,1.000000
160,139.255422,6,1,134.346366,1.000000
161,133.440021,6,1,134.344870,1.000000
162,129.870034,6,1,134.251016,1.000000
163,129.870034,6,1,134.158658,1.000000
