step,episode,loss,step_reward,epsilon,q_value,episode_reward,episode_length,avg_reward_100,success_rate
1,0,,15.403004,1.000000,0.165221,15.403004,1,0.000000,0.000000
2,0,,7.916115,1.000000,-0.141998,23.319118,2,0.000000,0.000000
3,0,,8.246779,1.000000,-0.049411,31.565898,3,0.000000,0.000000
4,0,,6.753363,1.000000,0.004890,38.319261,4,0.000000,0.000000
5,0,,7.416547,1.000000,0.186345,45.735808,5,0.000000,0.000000
6,0,,7.452126,1.000000,0.079074,53.187933,6,0.000000,0.000000
7,0,,12.657365,1.000000,0.001831,65.845299,7,0.000000,0.000000
8,0,,17.256708,1.000000,0.097599,83.102007,8,0.000000,0.000000
9,0,,62.234881,1.000000,-0.210408,145.336888,9,0.000000,0.000000
10,1,,15.403004,1.000000,0.165221,15.403004,1,145.336888,1.000000
11,1,,8.246779,1.000000,-0.064993,23.649783,2,145.336888,1.000000
12,1,,16.462942,1.000000,0.043803,40.112725,3,145.336888,1.000000
13,1,,3.639414,1.000000,0.002201,43.752139,4,145.336888,1.000000
14,1,,9.734881,1.000000,-0.184909,53.487021,5,145.336888,1.000000
15,1,,7.452126,1.000000,0.094744,60.939146,6,145.336888,1.000000
16,1,,8.710345,1.000000,-0.136851,69.649492,7,145.336888,1.000000
17,1,,6.753363,1.000000,-0.015342,76.402855,8,145.336888,1.000000
18,1,,59.916547,1.000000,0.221169,136.319401,9,145.336888,1.000000
19,2,,15.403004,1.000000,0.165221,15.403004,1,140.828145,1.000000
20,2,,9.734881,1.000000,-0.199531,25.137885,2,140.828145,1.000000
21,2,,7.896702,1.000000,0.046846,33.034587,3,140.828145,1.000000
22,2,,7.916115,1.000000,-0.135497,40.950702,4,140.828145,1.000000
23,2,,7.416547,1.000000,0.206550,48.367249,5,140.828145,1.000000
24,2,,3.639414,1.000000,-0.008459,52.006663,6,140.828145,1.000000
25,2,,15.890494,1.000000,-0.030010,67.897157,7,140.828145,1.000000
26,2,,7.452126,1.000000,0.117537,75.349282,8,140.828145,1.000000
27,2,,60.746779,1.000000,-0.082738,136.096062,9,140.828145,1.000000
28,3,,15.403004,1.000000,0.165221,15.403004,1,139.250784,1.000000
29,3,,7.452126,1.000000,0.109978,22.855129,2,139.250784,1.000000
30,3,,7.416547,1.000000,0.208776,30.271676,3,139.250784,1.000000
31,3,,9.734881,1.000000,-0.190794,40.006557,4,139.250784,1.000000
32,3,,7.896702,1.000000,0.049753,47.903259,5,139.250784,1.000000
33,3,,4.184090,1.000000,0.018119,52.087349,6,139.250784,1.000000
34,3,,8.515161,1.000000,-0.118265,60.602510,7,139.250784,1.000000
35,3,,15.890494,1.000000,0.015640,76.493005,8,139.250784,1.000000
36,3,,60.746779,1.000000,-0.082738,137.239784,9,139.250784,1.000000
37,4,,15.403004,1.000000,0.165221,15.403004,1,138.748034,1.000000
38,4,,7.416547,1.000000,0.213186,22.819550,2,138.748034,1.000000
39,4,,7.916115,1.000000,-0.145151,30.735665,3,138.748034,1.000000
40,4,,9.734881,1.000000,-0.217852,40.470546,4,138.748034,1.000000
41,4,,8.246779,1.000000,-0.052286,48.717326,5,138.748034,1.000000
42,4,,18.753363,1.000000,0.021416,67.470689,6,138.748034,1.000000
43,4,,3.639414,1.000000,-0.032593,71.110103,7,138.748034,1.000000
44,4,,17.079050,1.000000,0.063052,88.189153,8,138.748034,1.000000
45,4,,59.336018,1.000000,0.123803,147.525171,9,138.748034,1.000000
46,5,,15.403004,1.000000,0.165221,15.403004,1,140.503461,1.000000
47,5,,7.896702,1.000000,0.026737,23.299706,2,140.503461,1.000000
48,5,,7.416547,1.000000,0.189365,30.716252,3,140.503461,1.000000
49,5,,7.916115,1.000000,-0.131145,38.632367,4,140.503461,1.000000
50,5,,8.246779,1.000000,-0.057019,46.879146,5,140.503461,1.000000
51,5,,10.252167,1.000000,-0.152517,57.131313,6,140.503461,1.000000
52,5,,7.452126,1.000000,0.051244,64.583439,7,140.503461,1.000000
53,5,,18.753363,1.000000,0.067010,83.336802,8,140.503461,1.000000
54,5,,56.139414,1.000000,0.001838,139.476216,9,140.503461,1.000000
55,6,,15.403004,1.000000,0.165221,15.403004,1,140.332254,1.000000
56,6,,3.639414,1.000000,-0.017442,19.042418,2,140.332254,1.000000
57,6,,9.734881,1.000000,-0.190830,28.777299,3,140.332254,1.000000
58,6,,7.896702,1.000000,0.065249,36.674001,4,140.332254,1.000000
59,6,,6.753363,1.000000,0.006493,43.427365,5,140.332254,1.000000
60,6,,7.452126,1.000000,0.126952,50.879490,6,140.332254,1.000000
61,6,,8.515161,1.000000,-0.137453,59.394651,7,140.332254,1.000000
62,6,,16.308956,1.000000,-0.080895,75.703608,8,140.332254,1.000000
63,6,,59.916547,1.000000,0.221169,135.620154,9,140.332254,1.000000
64,7,,15.403004,1.000000,0.165221,15.403004,1,139.659097,1.000000
65,7,,7.452126,1.000000,0.109978,22.855129,2,139.659097,1.000000
66,7,,8.246779,1.000000,-0.098896,31.101909,3,139.659097,1.000000
67,7,,9.734881,1.000000,-0.178616,40.836790,4,139.659097,1.000000
68,7,,4.184090,1.000000,-0.042293,45.020880,5,139.659097,1.000000
69,7,,7.416547,1.000000,0.213586,52.437427,6,139.659097,1.000000
70,7,,18.836018,1.000000,0.082381,71.273445,7,139.659097,1.000000
71,7,,16.547582,1.000000,0.025627,87.821027,8,139.659097,1.000000
72,7,,60.416115,1.000000,-0.125907,148.237141,9,139.659097,1.000000
73,8,,15.403004,1.000000,0.165221,15.403004,1,140.731352,1.000000
74,8,,7.416547,1.000000,0.213186,22.819550,2,140.731352,1.000000
75,8,,8.246779,1.000000,-0.070575,31.066330,3,140.731352,1.000000
76,8,,7.844047,1.000000,0.022538,38.910377,4,140.731352,1.000000
77,8,,16.462942,1.000000,0.092374,55.373319,5,140.731352,1.000000
78,8,,7.916115,1.000000,-0.183077,63.289434,6,140.731352,1.000000
79,8,,7.452126,1.000000,0.100770,70.741560,7,140.731352,1.000000
80,8,,18.752833,1.000000,-0.188646,89.494392,8,140.731352,1.000000
81,8,,56.139414,1.000000,0.001838,145.633806,9,140.731352,1.000000
82,9,,15.403004,1.000000,0.165221,15.403004,1,141.276069,1.000000
83,9,,7.916115,1.000000,-0.141998,23.319118,2,141.276069,1.000000
84,9,,7.416547,1.000000,0.204853,30.735665,3,141.276069,1.000000
85,9,,7.896702,1.000000,0.000083,38.632367,4,141.276069,1.000000
86,9,,7.844047,1.000000,-0.025305,46.476414,5,141.276069,1.000000
87,9,,8.246779,1.000000,-0.116057,54.723194,6,141.276069,1.000000
88,9,,7.452126,1.000000,0.100770,62.175319,7,141.276069,1.000000
89,9,,12.657365,1.000000,0.050013,74.832685,8,141.276069,1.000000
90,9,,62.234881,1.000000,-0.210408,137.067566,9,141.276069,1.000000
91,10,,15.403004,1.000000,0.165221,15.403004,1,140.855219,1.000000
92,10,,7.416547,1.000000,0.213186,22.819550,2,140.855219,1.000000
93,10,,7.452126,1.000000,0.075758,30.271676,3,140.855219,1.000000
94,10,,7.916115,1.000000,-0.168021,38.187791,4,140.855219,1.000000
95,10,,12.203403,1.000000,-0.018184,50.391193,5,140.855219,1.000000
96,10,,9.734881,1.000000,-0.184134,60.126075,6,140.855219,1.000000
97,10,,9.307463,1.000000,-0.072703,69.433538,7,140.855219,1.000000
98,10,,18.836018,1.000000,0.105750,88.269556,8,140.855219,1.000000
99,10,,59.253363,1.000000,0.000843,147.522920,9,140.855219,1.000000
100,11,,15.403004,1.000000,0.165221,15.403004,1,141.461374,1.000000
101,11,,3.639414,1.000000,-0.017442,19.042418,2,141.461374,1.000000
102,11,,7.416547,1.000000,0.211843,26.458964,3,141.461374,1.000000
103,11,,7.916115,1.000000,-0.128055,34.375079,4,141.461374,1.000000
104,11,,9.734881,1.000000,-0.204769,44.109960,5,141.461374,1.000000
105,11,,7.452126,1.000000,0.099644,51.562086,6,141.461374,1.000000
106,11,,9.307463,1.000000,-0.072703,60.869549,7,141.461374,1.000000
107,11,,18.753363,1.000000,0.026082,79.622913,8,141.461374,1.000000
108,11,,59.336018,1.000000,0.123803,138.958931,9,141.461374,1.000000
109,12,,15.403004,1.000000,0.165221,15.403004,1,141.252837,1.000000
110,12,,9.734881,1.000000,-0.199531,25.137885,2,141.252837,1.000000
111,12,,7.916115,1.000000,-0.127646,33.054000,3,141.252837,1.000000
112,12,,6.753363,1.000000,-0.025774,39.807363,4,141.252837,1.000000
113,12,,8.246779,1.000000,-0.072121,48.054143,5,141.252837,1.000000
114,12,,16.462942,1.000000,0.068719,64.517085,6,141.252837,1.000000
115,12,,7.452126,1.000000,0.097614,71.969210,7,141.252837,1.000000
116,12,,15.639414,1.000000,0.006352,87.608625,8,141.252837,1.000000
117,12,,59.916547,1.000000,0.221169,147.525171,9,141.252837,1.000000
118,13,,15.403004,1.000000,0.165221,15.403004,1,141.735324,1.000000
119,13,,7.896702,1.000000,0.026737,23.299706,2,141.735324,1.000000
120,13,,7.916115,1.000000,-0.147531,31.215820,3,141.735324,1.000000
121,13,,7.452126,1.000000,0.104738,38.667946,4,141.735324,1.000000
122,13,,6.753363,1.000000,-0.004963,45.421310,5,141.735324,1.000000
123,13,,8.246779,1.000000,-0.124324,53.668089,6,141.735324,1.000000
124,13,,7.416547,1.000000,0.157368,61.084635,7,141.735324,1.000000
125,13,,18.752833,1.000000,-0.188646,79.837468,8,141.735324,1.000000
126,13,,56.139414,1.000000,0.001838,135.976882,9,141.735324,1.000000
127,14,,15.403004,1.000000,0.165221,15.403004,1,141.324007,1.000000
128,14,,6.753363,1.000000,0.000368,22.156367,2,141.324007,1.000000
129,14,,3.639414,1.000000,-0.033862,25.795781,3,141.324007,1.000000
130,14,,9.734881,1.000000,-0.208127,35.530663,4,141.324007,1.000000
131,14,,7.452126,1.000000,0.122930,42.982788,5,141.324007,1.000000
132,14,,8.515161,1.000000,-0.156604,51.497949,6,141.324007,1.000000
133,14,,9.307463,1.000000,-0.106170,60.805413,7,141.324007,1.000000
134,14,,19.416547,1.000000,0.226365,80.221959,8,141.324007,1.000000
135,14,,59.336018,1.000000,0.123803,139.557977,9,141.324007,1.000000
136,15,,15.403004,1.000000,0.165221,15.403004,1,141.206272,1.000000
137,15,,7.916115,1.000000,-0.141998,23.319118,2,141.206272,1.000000
138,15,,3.639414,1.000000,0.000282,26.958532,3,141.206272,1.000000
139,15,,7.416547,1.000000,0.203531,34.375079,4,141.206272,1.000000
140,15,,7.452126,1.000000,0.086123,41.827205,5,141.206272,1.000000
141,15,,7.844047,1.000000,0.013211,49.671252,6,141.206272,1.000000
142,15,,7.896702,1.000000,0.067802,57.567954,7,141.206272,1.000000
143,15,,9.734881,1.000000,-0.216118,67.302836,8,141.206272,1.000000
144,15,,60.746779,1.000000,-0.082738,128.049615,9,141.206272,1.000000
145,16,,15.403004,1.000000,0.165221,15.403004,1,140.383980,1.000000
146,16,,7.916115,1.000000,-0.141998,23.319118,2,140.383980,1.000000
147,16,,3.639414,1.000000,0.000282,26.958532,3,140.383980,1.000000
148,16,,7.452126,1.000000,0.111599,34.410658,4,140.383980,1.000000
149,16,,8.246779,1.000000,-0.043320,42.657437,5,140.383980,1.000000
150,16,,17.256708,1.000000,0.077178,59.914146,6,140.383980,1.000000
151,16,,7.416547,1.000000,0.215684,67.330692,7,140.383980,1.000000
152,16,,7.844047,1.000000,0.013981,75.174740,8,140.383980,1.000000
153,16,,62.234881,1.000000,-0.210408,137.409621,9,140.383980,1.000000
154,17,,15.403004,1.000000,0.165221,15.403004,1,140.209018,1.000000
155,17,,7.416547,1.000000,0.213186,22.819550,2,140.209018,1.000000
156,17,,7.916115,1.000000,-0.145151,30.735665,3,140.209018,1.000000
