episode,total_reward,length,success,avg_reward_100,success_rate_100
0,130.288480,6,1,130.288480,1.000000
1,138.859731,6,1,134.574106,1.000000
2,151.594690,6,1,140.247634,1.000000
3,143.272666,6,1,141.003892,1.000000
4,166.525207,6,1,146.108155,1.000000
5,135.183068,6,1,144.287307,1.000000
6,140.159580,6,1,143.697632,1.000000
7,133.473380,6,1,142.419600,1.000000
8,169.596020,6,1,145.439202,1.000000
9,154.642612,6,1,146.359543,1.000000
10,157.810931,6,1,147.400579,1.000000
11,196.360572,6,1,151.480578,1.000000
12,158.555575,6,1,152.024809,1.000000
13,156.891853,6,1,152.372455,1.000000
14,109.135042,6,1,149.489961,1.000000
15,165.076839,6,1,150.464140,1.000000
16,180.598444,6,1,152.236747,1.000000
17,137.640117,6,1,151.425823,1.000000
18,155.117896,6,1,151.620142,1.000000
19,150.080118,6,1,151.543141,1.000000
20,167.800157,6,1,152.317285,1.000000
21,138.510878,6,1,151.689721,1.000000
22,144.037453,6,1,151.357014,1.000000
23,145.013040,6,1,151.092681,1.000000
24,143.523842,6,1,150.789928,1.000000
25,140.414751,6,1,150.390882,1.000000
26,169.489021,6,1,151.098221,1.000000
27,161.582668,6,1,151.472665,1.000000
28,148.087745,6,1,151.355944,1.000000
29,127.563892,6,1,150.562876,1.000000
30,170.061847,6,1,151.191875,1.000000
31,120.005569,6,1,150.217303,1.000000
32,146.795106,6,1,150.113600,1.000000
33,140.939158,6,1,149.843763,1.000000
34,182.734909,6,1,150.783510,1.000000
35,154.302885,6,1,150.881271,1.000000
36,159.675352,6,1,151.118949,1.000000
37,154.301997,6,1,151.202713,1.000000
38,160.202334,6,1,151.433473,1.000000
39,110.729402,6,1,150.415871,1.000000
40,143.651441,6,1,150.250885,1.000000
41,155.691232,6,1,150.380417,1.000000
42,171.237454,6,1,150.865464,1.000000
43,103.053361,6,1,149.778825,1.000000
44,155.348318,6,1,149.902592,1.000000
45,136.247823,6,1,149.605749,1.000000
46,163.212812,6,1,149.895261,1.000000
47,140.452081,6,1,149.698528,1.000000
48,173.550344,6,1,150.185300,1.000000
49,140.913001,6,1,149.999854,1.000000
50,166.573236,6,1,150.324822,1.000000
51,138.764766,6,1,150.102513,1.000000
52,158.178226,6,1,150.254885,1.000000
53,144.031331,6,1,150.139634,1.000000
54,135.977849,6,1,149.882147,1.000000
55,147.536221,6,1,149.840256,1.000000
56,147.607686,6,1,149.801088,1.000000
57,151.925060,6,1,149.837708,1.000000
58,171.845376,6,1,150.210719,1.000000
59,177.353381,6,1,150.663097,1.000000
60,177.313789,6,1,151.099994,1.000000
61,172.115909,6,1,151.438960,1.000000
62,125.109944,6,1,151.021039,1.000000
63,156.919560,6,1,151.113204,1.000000
64,153.467172,6,1,151.149419,1.000000
65,163.936205,6,1,151.343158,1.000000
66,170.159017,6,1,151.623991,1.000000
67,156.841692,6,1,151.700722,1.000000
68,170.326409,6,1,151.970660,1.000000
69,161.472307,6,1,152.106398,1.000000
70,148.887956,6,1,152.061067,1.000000
71,142.037948,6,1,151.921857,1.000000
72,165.643464,6,1,152.109825,1.000000
73,148.522549,6,1,152.061348,1.000000
74,200.505428,6,1,152.707269,1.000000
75,150.175442,6,1,152.673956,1.000000
76,138.528819,6,1,152.490252,1.000000
77,119.786042,6,1,152.070968,1.000000
78,149.591624,6,1,152.039584,1.000000
79,131.252845,6,1,151.779749,1.000000
80,177.235651,6,1,152.094020,1.000000
81,188.905283,6,1,152.542938,1.000000
82,165.745185,6,1,152.702001,1.000000
83,137.242546,6,1,152.517960,1.000000
84,179.768902,6,1,152.838559,1.000000
85,165.727708,6,1,152.988433,1.000000
86,131.244539,6,1,152.738503,1.000000
87,137.403066,6,1,152.564237,1.000000
88,132.502898,6,1,152.338828,1.000000
89,169.792315,6,1,152.532756,1.000000
90,177.511865,6,1,152.807252,1.000000
91,155.163154,6,1,152.832859,1.000000
92,145.709387,6,1,152.756263,1.000000
93,158.553241,6,1,152.817933,1.000000
94,142.265888,6,1,152.706859,1.000000
95,153.202526,6,1,152.712022,1.000000
96,170.535828,6,1,152.895773,1.000000
97,164.557776,6,1,153.014773,1.000000
98,178.368930,6,1,153.270875,1.000000
99,164.011245,6,1,153.378279,1.000000
100,140.931458,6,1,153.484709,1.000000
101,137.866247,6,1,153.474774,1.000000
102,165.274298,6,1,153.611570,1.000000
103,136.719208,6,1,153.546035,1.000000
104,166.916753,6,1,153.549951,1.000000
105,151.454711,6,1,153.712667,1.000000
106,182.188662,6,1,154.132958,1.000000
107,124.719523,6,1,154.045419,1.000000
108,110.678989,6,1,153.456249,1.000000
109,141.692362,6,1,153.326747,1.000000
110,116.810374,6,1,152.916741,1.000000
111,141.974788,6,1,152.372883,1.000000
112,110.070044,6,1,151.888028,1.000000
113,150.900115,6,1,151.828111,1.000000
114,159.545628,6,1,152.332216,1.000000
115,182.418289,6,1,152.505631,1.000000
116,141.600777,6,1,152.115654,1.000000
117,139.190828,6,1,152.131161,1.000000
118,144.085685,6,1,152.020839,1.000000
119,121.319441,6,1,151.733232,1.000000
120,171.598922,6,1,151.771220,1.000000
