step,episode,loss,step_reward,epsilon,q_value,episode_reward,episode_length,avg_reward_100,success_rate
1,0,,8.810086,1.000000,-0.032464,8.810086,1,0.000000,0.000000
2,0,,31.323721,1.000000,-0.125361,40.133807,2,0.000000,0.000000
3,0,,21.883275,1.000000,0.114264,62.017082,3,0.000000,0.000000
4,0,,11.319120,1.000000,-0.059366,73.336203,4,0.000000,0.000000
5,0,,1.832437,1.000000,-0.015574,75.168639,5,0.000000,0.000000
6,0,,55.119841,1.000000,0.188311,130.288480,6,0.000000,0.000000
7,1,,33.767800,1.000000,0.129775,33.767800,1,130.288480,1.000000
8,1,,24.492027,1.000000,0.125486,58.259827,2,130.288480,1.000000
9,1,,16.421650,1.000000,-0.014333,74.681478,3,130.288480,1.000000
10,1,,-2.257373,1.000000,-0.206544,72.424104,4,130.288480,1.000000
11,1,,-2.500135,1.000000,-0.053962,69.923969,5,130.288480,1.000000
12,1,,68.935762,1.000000,-0.142577,138.859731,6,130.288480,1.000000
13,2,,22.998622,1.000000,0.018364,22.998622,1,134.574106,1.000000
14,2,,25.451915,1.000000,-0.223272,48.450538,2,134.574106,1.000000
15,2,,17.204526,1.000000,-0.030260,65.655064,3,134.574106,1.000000
16,2,,20.880697,1.000000,-0.120204,86.535761,4,134.574106,1.000000
17,2,,8.766444,1.000000,0.196695,95.302204,5,134.574106,1.000000
18,2,,56.292486,1.000000,0.178706,151.594690,6,134.574106,1.000000
19,3,,12.260022,1.000000,0.213433,12.260022,1,140.247634,1.000000
20,3,,30.994251,1.000000,0.026724,43.254273,2,140.247634,1.000000
21,3,,14.106745,1.000000,-0.102718,57.361018,3,140.247634,1.000000
22,3,,21.171077,1.000000,-0.080260,78.532094,4,140.247634,1.000000
23,3,,5.979371,1.000000,0.196331,84.511466,5,140.247634,1.000000
24,3,,58.761200,1.000000,-0.171975,143.272666,6,140.247634,1.000000
25,4,,29.173884,1.000000,0.071995,29.173884,1,141.003892,1.000000
26,4,,25.560956,1.000000,-0.084587,54.734840,2,141.003892,1.000000
27,4,,15.814257,1.000000,-0.026267,70.549097,3,141.003892,1.000000
28,4,,13.116933,1.000000,-0.134729,83.666030,4,141.003892,1.000000
29,4,,31.287885,1.000000,0.176313,114.953916,5,141.003892,1.000000
30,4,,51.571291,1.000000,0.148465,166.525207,6,141.003892,1.000000
31,5,,28.743782,1.000000,0.065312,28.743782,1,146.108155,1.000000
