Metric,PPO,DDQN
Total Steps Analyzed,"28,672","30,000"
Total Episodes,14,3334
Avg Steps per Episode,2048.0,9.0
Final Avg Reward,195.97,198.09
Max Reward,196.06,208.74
Mean Reward,185.19,200.87
Std Reward (Stability),8.59,4.21
Reward Improvement (Early→Late),+24.65,+1.83
Steps to Converge (>180),"10,240",901
Steps to Converge (>150),"2,048",901
Final Episode Length,9.00,3.00
Mean Episode Length,9.00,5.00
Final Explained Variance,0.9702,N/A
Final Success Rate,N/A,100.00%
Final Epsilon,N/A,0.0100
Final Loss,N/A,3.0029
Final Q-Value,N/A,160.54
