Model,Episodes,Avg Total Reward,Avg Success Rate (%),Avg Reshuffles,Avg Distance Reduced,Avg Time Saved
Heuristic,40,N/A,100.0,5.0,0.41137713784262936,0.8227542756852587
DDQN+MASAC,40,-30.51720562904115,72.5,5.0,0.8065282754567022,1.6130565509134045
PER-DDQN-Full+MASAC,40,127.79974705404997,67.5,4.9,0.69607880650044,1.39215761300088
PER-DDQN-Light+MASAC,40,130.161541154997,62.5,4.9,0.6917588277424181,1.3835176554848365
PPO-Discrete+MASAC,40,74.70458801015607,60.0,5.0,0.7053083625028276,1.4106167250056552
C51-DDQN+MASAC,40,-29.09596655828682,60.0,5.0,0.6009409485860371,1.2018818971720742
Duel-DDQN+MASAC,40,-72.92473475760917,57.49999999999999,5.0,0.6096499218249049,1.2192998436498097
SAC-Discrete+MASAC,40,8.406509694663686,45.0,4.7,0.5991161437878076,1.1982322875756153
TD3+MASAC,40,-264.38814636872166,0.0,5.0,0.8623051189441338,1.7246102378882675
PPO-Continuous+MASAC,40,-275.9276178751914,0.0,5.0,0.9812322206617907,1.9624644413235814
DDPG+MASAC,40,-279.1035384515665,0.0,5.0,0.8189729713814936,1.6379459427629872
SAC-Continuous+MASAC,40,-284.6888157121422,0.0,5.0,0.822161962739472,1.644323925478944
