episode,model,seed,agent1_reward,success,cubes_picked,pick_failures,successful_picks,unreachable_cubes,path_efficiency,action_entropy,agent2_reward,reshuffles_performed,total_distance_reduced,total_time_saved,total_reward,episode_length,duration,timestamp,planner,grid_size,num_cubes
1,DDPG+MASAC,42,-471.99390924887075,False,1,0,1,8,1.0,0.0,208.57299676870826,5,0.2864983843541443,0.5729967687082886,-263.4209124801625,50,1.3676135540008545,2026-01-19T04:49:30.646211,Isaac Sim RRT,4,9
2,DDPG+MASAC,42,-477.7036588153974,False,1,0,1,8,1.0,0.0,201.61951556264114,5,0.559757781320577,1.119515562641154,-276.08414325275623,50,1.204986810684204,2026-01-19T04:49:31.887312,Isaac Sim RRT,4,9
3,DDPG+MASAC,42,-470.1704245954215,False,1,0,1,8,1.0,0.0,180.48860707341385,5,0.7443035367069295,1.488607073413859,-289.68181752200763,50,1.1307950019836426,2026-01-19T04:49:33.057637,Isaac Sim RRT,4,9
4,DDPG+MASAC,42,-472.1675809486227,False,1,0,1,8,1.0,0.0,199.64589276372146,5,1.072946381860738,2.145892763721476,-272.5216881849012,50,1.0266671180725098,2026-01-19T04:49:34.102752,Isaac Sim RRT,4,9
5,DDPG+MASAC,42,-472.25712747401093,False,1,0,1,8,1.0,0.0,182.36248978870253,5,0.9312448943512615,1.862489788702523,-289.8946376853084,50,1.1476757526397705,2026-01-19T04:49:35.267172,Isaac Sim RRT,4,9
6,DDPG+MASAC,42,-472.4423089373954,False,1,0,1,8,1.0,0.0,200.9521640187378,5,0.9760820093689015,1.952164018737803,-271.4901449186576,50,1.1314325332641602,2026-01-19T04:49:36.421658,Isaac Sim RRT,4,9
7,DDPG+MASAC,42,-472.6797275285617,False,1,0,1,8,1.0,0.0,201.61667051373672,5,0.5583352568683675,1.116670513736735,-271.063057014825,50,1.1793487071990967,2026-01-19T04:49:37.640132,Isaac Sim RRT,4,9
8,DDPG+MASAC,42,-472.1346019055733,False,1,0,1,8,1.0,0.0,201.55854644833755,5,1.2792732241687825,2.558546448337565,-270.5760554572357,50,1.163010835647583,2026-01-19T04:49:38.839276,Isaac Sim RRT,4,9
9,DDPG+MASAC,42,-472.9933728632287,False,1,0,1,8,1.0,0.0,181.1849381571884,5,1.0924690785942128,2.1849381571884257,-291.8084347060403,50,1.2346515655517578,2026-01-19T04:49:40.097978,Isaac Sim RRT,4,9
10,DDPG+MASAC,42,-472.9933728632287,False,1,0,1,8,1.0,0.0,201.66787632762146,5,0.583938163810735,1.16787632762147,-271.3254965356073,50,1.0914130210876465,2026-01-19T04:49:41.226447,Isaac Sim RRT,4,9
11,DDPG+MASAC,42,-464.1287216498497,False,1,0,1,8,1.0,0.0,206.8148894132405,5,0.15744470662027088,0.31488941324054176,-257.3138322366092,50,1.23026704788208,2026-01-19T04:49:42.492779,Isaac Sim RRT,4,9
12,DDPG+MASAC,42,-473.1759334358883,False,1,0,1,8,1.0,0.0,203.88362881439068,5,0.9418144071953471,1.8836288143906943,-269.29230462149764,50,1.2136716842651367,2026-01-19T04:49:43.748249,Isaac Sim RRT,4,9
13,DDPG+MASAC,42,-471.9483731157708,False,1,0,1,8,1.0,0.0,201.8965471035118,5,0.6982735517559102,1.3965471035118204,-270.05182601225897,50,1.144164800643921,2026-01-19T04:49:44.907513,Isaac Sim RRT,4,9
14,DDPG+MASAC,42,-532.9933728632287,False,1,0,1,8,1.0,0.0,205.17109092967846,5,0.8355454648392375,1.671090929678475,-327.8222819335503,50,9.751111268997192,2026-01-19T04:49:54.688182,Isaac Sim RRT,4,9
15,DDPG+MASAC,42,-470.13855868526116,False,1,0,1,8,1.0,0.0,181.1002128368492,5,1.0501064184246114,2.1002128368492228,-289.0383458484119,50,1.209522008895874,2026-01-19T04:49:55.923729,Isaac Sim RRT,4,9
16,DDPG+MASAC,42,-473.3227023787568,False,1,0,1,8,1.0,0.0,200.14972498475265,5,0.5748624923763326,1.1497249847526652,-273.17297739400414,50,1.1879563331604004,2026-01-19T04:49:57.144906,Isaac Sim RRT,4,9
17,DDPG+MASAC,42,-474.46265992253984,False,1,0,1,8,1.0,0.0,199.37480922995758,5,0.9374046149787953,1.8748092299575907,-275.08785069258226,50,1.2123558521270752,2026-01-19T04:49:58.384314,Isaac Sim RRT,4,9
18,DDPG+MASAC,42,-475.2267706524017,False,1,0,1,8,1.0,0.0,182.85480042754364,5,0.42740021377182513,0.8548004275436503,-292.37197022485805,50,1.1790764331817627,2026-01-19T04:49:59.610521,Isaac Sim RRT,4,9
19,DDPG+MASAC,42,-472.9933728632287,False,1,0,1,8,1.0,0.0,200.46881654320907,5,0.734408271604543,1.468816543209086,-272.52455632001966,50,1.1702196598052979,2026-01-19T04:50:00.802794,Isaac Sim RRT,4,9
20,DDPG+MASAC,42,-472.9933728632287,False,1,0,1,8,1.0,0.0,200.75407590924453,5,0.8770379546222737,1.7540759092445475,-272.2392969539842,50,1.20863938331604,2026-01-19T04:50:02.044360,Isaac Sim RRT,4,9
1,TD3+MASAC,42,-464.58904085394835,False,1,0,1,8,1.0,0.0,203.27012225447845,5,0.6350611272392324,1.2701222544784647,-261.3189185994699,50,1.2234432697296143,2026-01-19T04:50:04.331831,Isaac Sim RRT,4,9
2,TD3+MASAC,42,-464.5399456199132,False,1,0,1,8,1.0,0.0,201.72328718959045,5,0.6116435947952321,1.2232871895904642,-262.8166584303228,50,1.3851027488708496,2026-01-19T04:50:05.772062,Isaac Sim RRT,4,9
3,TD3+MASAC,42,-464.68107345391604,False,1,0,1,8,1.0,0.0,200.5073276767583,5,1.5036638383791594,3.007327676758319,-264.1737457771577,50,1.3216962814331055,2026-01-19T04:50:07.116330,Isaac Sim RRT,4,9
4,TD3+MASAC,42,-464.9040170191074,False,1,0,1,8,1.0,0.0,190.1546300060914,5,1.077315003045698,2.154630006091396,-274.7493870130161,50,1.4743194580078125,2026-01-19T04:50:08.627205,Isaac Sim RRT,4,9
5,TD3+MASAC,42,-463.5231151113733,False,1,0,1,8,1.0,0.0,202.95213301309997,5,0.4760665065499901,0.9521330130999802,-260.57098209827336,50,1.4390711784362793,2026-01-19T04:50:10.084282,Isaac Sim RRT,4,9
6,TD3+MASAC,42,-472.6998000294147,False,1,0,1,8,1.0,0.0,201.55580231009674,5,0.5279011550483754,1.0558023100967509,-271.14399771931795,50,1.3174536228179932,2026-01-19T04:50:11.443672,Isaac Sim RRT,4,9
7,TD3+MASAC,42,-464.649232535259,False,1,0,1,8,1.0,0.0,199.6945140606041,5,1.0972570303020528,2.1945140606041056,-264.9547184746549,50,1.3499903678894043,2026-01-19T04:50:12.832356,Isaac Sim RRT,4,9
8,TD3+MASAC,42,-464.52309586877834,False,1,0,1,8,1.0,0.0,202.6255308239613,5,1.0627654119806622,2.1255308239613244,-261.89756504481704,50,1.2779626846313477,2026-01-19T04:50:14.136365,Isaac Sim RRT,4,9
9,TD3+MASAC,42,-464.6748542899419,False,1,0,1,8,1.0,0.0,202.05860897360992,5,0.7793044868049672,1.5586089736099344,-262.61624531633197,50,1.171370506286621,2026-01-19T04:50:15.345791,Isaac Sim RRT,4,9
10,TD3+MASAC,42,-464.57838332230983,False,1,0,1,8,1.0,0.0,200.0437187796707,5,0.5218593898353627,1.0437187796707255,-264.5346645426391,50,1.005645751953125,2026-01-19T04:50:16.372968,Isaac Sim RRT,4,9
