global_timestep,episode,step_in_episode,model,seed,reward,cumulative_reward,reshuffled,distance_reduced,time_saved,cubes_picked_so_far,done,truncated,timestamp,planner
1,1,1,DDPG+MASAC,42,48.2279626923356,48.2279626923356,True,0.0,0.0,1,False,False,2026-01-19T04:49:29.558084,Isaac Sim RRT
2,1,2,DDPG+MASAC,42,29.826031653997802,78.05399434633341,True,0.0,0.0,1,False,False,2026-01-19T04:49:29.589543,Isaac Sim RRT
3,1,3,DDPG+MASAC,42,33.77178523272412,111.82577957905752,True,0.0,0.0,1,False,False,2026-01-19T04:49:29.615959,Isaac Sim RRT
4,1,4,DDPG+MASAC,42,30.981522708055877,142.8073022871134,True,0.0,0.0,1,False,False,2026-01-19T04:49:29.645888,Isaac Sim RRT
5,1,5,DDPG+MASAC,42,33.77178523272412,176.57908751983751,True,0.0,0.0,1,False,False,2026-01-19T04:49:29.673242,Isaac Sim RRT
6,1,6,DDPG+MASAC,42,-10.0,166.57908751983751,False,0.0,0.0,1,False,False,2026-01-19T04:49:29.690283,Isaac Sim RRT
7,1,7,DDPG+MASAC,42,-10.0,156.57908751983751,False,0.0,0.0,1,False,False,2026-01-19T04:49:29.703802,Isaac Sim RRT
8,1,8,DDPG+MASAC,42,-10.0,146.57908751983751,False,0.0,0.0,1,False,False,2026-01-19T04:49:29.721863,Isaac Sim RRT
9,1,9,DDPG+MASAC,42,-10.0,136.57908751983751,False,0.0,0.0,1,False,False,2026-01-19T04:49:29.741472,Isaac Sim RRT
10,1,10,DDPG+MASAC,42,-10.0,126.57908751983751,False,0.0,0.0,1,False,False,2026-01-19T04:49:29.766567,Isaac Sim RRT
11,1,11,DDPG+MASAC,42,-10.0,116.57908751983751,False,0.0,0.0,1,False,False,2026-01-19T04:49:29.790182,Isaac Sim RRT
12,1,12,DDPG+MASAC,42,-10.0,106.57908751983751,False,0.0,0.0,1,False,False,2026-01-19T04:49:29.804761,Isaac Sim RRT
13,1,13,DDPG+MASAC,42,-10.0,96.57908751983751,False,0.0,0.0,1,False,False,2026-01-19T04:49:29.834821,Isaac Sim RRT
14,1,14,DDPG+MASAC,42,-10.0,86.57908751983751,False,0.0,0.0,1,False,False,2026-01-19T04:49:29.857931,Isaac Sim RRT
15,1,15,DDPG+MASAC,42,-10.0,76.57908751983751,False,0.0,0.0,1,False,False,2026-01-19T04:49:29.884784,Isaac Sim RRT
16,1,16,DDPG+MASAC,42,-10.0,66.57908751983751,False,0.0,0.0,1,False,False,2026-01-19T04:49:29.909327,Isaac Sim RRT
17,1,17,DDPG+MASAC,42,-10.0,56.579087519837515,False,0.0,0.0,1,False,False,2026-01-19T04:49:29.937918,Isaac Sim RRT
18,1,18,DDPG+MASAC,42,-10.0,46.579087519837515,False,0.0,0.0,1,False,False,2026-01-19T04:49:29.957462,Isaac Sim RRT
19,1,19,DDPG+MASAC,42,-10.0,36.579087519837515,False,0.0,0.0,1,False,False,2026-01-19T04:49:29.995818,Isaac Sim RRT
20,1,20,DDPG+MASAC,42,-10.0,26.579087519837515,False,0.0,0.0,1,False,False,2026-01-19T04:49:30.015922,Isaac Sim RRT
21,1,21,DDPG+MASAC,42,-10.0,16.579087519837515,False,0.0,0.0,1,False,False,2026-01-19T04:49:30.042659,Isaac Sim RRT
22,1,22,DDPG+MASAC,42,-10.0,6.579087519837515,False,0.0,0.0,1,False,False,2026-01-19T04:49:30.063664,Isaac Sim RRT
