episode,model,seed,agent1_reward,success,cubes_picked,pick_failures,successful_picks,unreachable_cubes,path_efficiency,action_entropy,agent2_reward,reshuffles_performed,total_distance_reduced,total_time_saved,total_reward,episode_length,duration,timestamp,planner,grid_size,num_cubes
1,Heuristic,123,,TRUE,9,0,9,0,1,0,,5,0.389930054,0.779860108,,9,0.369123936,2026-01-19T11:29:13.148279,Isaac Sim RRT,4,9
2,Heuristic,123,,TRUE,9,0,9,0,1,0,,5,0.420572027,0.841144054,,9,0.363123655,2026-01-19T11:29:13.531950,Isaac Sim RRT,4,9
3,Heuristic,123,,TRUE,8,0,8,1,1,0,,5,0.451618773,0.903237545,,9,0.772744656,2026-01-19T11:29:14.325668,Isaac Sim RRT,4,9
4,Heuristic,123,,TRUE,9,0,9,0,1,0,,5,0.406405371,0.812810743,,9,0.610370874,2026-01-19T11:29:14.972592,Isaac Sim RRT,4,9
5,Heuristic,123,,TRUE,9,0,9,0,1,0,,5,0.430043679,0.860087359,,9,1.021189928,2026-01-19T11:29:16.052672,Isaac Sim RRT,4,9
6,Heuristic,123,,TRUE,6,0,6,0,3,0,,5,0.457732481,0.915464961,,9,0.817573071,2026-01-19T11:29:16.903158,Isaac Sim RRT,4,9
7,Heuristic,123,,TRUE,9,0,9,0,1,0,,5,0.439754587,0.879509175,,9,2.679024696,2026-01-19T11:29:19.609709,Isaac Sim RRT,4,9
8,Heuristic,123,,TRUE,9,0,9,0,1,0,,5,0.310240239,0.620480478,,9,0.684098244,2026-01-19T11:29:20.328033,Isaac Sim RRT,4,9
9,Heuristic,123,,TRUE,9,0,9,0,1,0,,5,0.404725474,0.809450948,,9,0.407700062,2026-01-19T11:29:20.760835,Isaac Sim RRT,4,9
10,Heuristic,123,,TRUE,9,0,9,0,1,0,,5,0.460146648,0.920293295,,9,0.759345293,2026-01-19T11:29:23.225317,Isaac Sim RRT,4,9
11,Heuristic,123,,TRUE,9,0,9,0,1,0,,5,0.419295114,0.838590228,,9,0.800832272,2026-01-19T11:29:24.057283,Isaac Sim RRT,4,9
12,Heuristic,123,,TRUE,9,0,9,0,1,0,,5,0.325420827,0.650841654,,9,0.773201227,2026-01-19T11:29:24.855176,Isaac Sim RRT,4,9
