global_timestep,episode,step_in_episode,model,seed,reward,cumulative_reward,reshuffled,distance_reduced,time_saved,cubes_picked_so_far,done,truncated,timestamp,planner
1,1,1,Heuristic,123,,,True,0.0,0.0,1,False,False,2026-01-19T11:29:12.819786,Isaac Sim RRT
2,1,2,Heuristic,123,,,True,0.0,0.0,2,False,False,2026-01-19T11:29:12.864897,Isaac Sim RRT
3,1,3,Heuristic,123,,,True,0.0,0.0,3,False,False,2026-01-19T11:29:12.912686,Isaac Sim RRT
4,1,4,Heuristic,123,,,True,0.0,0.0,4,False,False,2026-01-19T11:29:12.964815,Isaac Sim RRT
5,1,5,Heuristic,123,,,True,0.0,0.0,5,False,False,2026-01-19T11:29:13.008380,Isaac Sim RRT
6,1,6,Heuristic,123,,,False,0.0,0.0,6,False,False,2026-01-19T11:29:13.056504,Isaac Sim RRT
7,1,7,Heuristic,123,,,False,0.0,0.0,7,False,False,2026-01-19T11:29:13.086109,Isaac Sim RRT
8,1,8,Heuristic,123,,,False,0.0,0.0,8,False,False,2026-01-19T11:29:13.119701,Isaac Sim RRT
9,1,9,Heuristic,123,,,False,0.0,0.0,9,True,False,2026-01-19T11:29:13.147281,Isaac Sim RRT
10,2,1,Heuristic,123,,,True,0.0,0.0,1,False,False,2026-01-19T11:29:13.218498,Isaac Sim RRT
11,2,2,Heuristic,123,,,True,0.0,0.0,2,False,False,2026-01-19T11:29:13.269674,Isaac Sim RRT
12,2,3,Heuristic,123,,,True,0.0,0.0,3,False,False,2026-01-19T11:29:13.320851,Isaac Sim RRT
13,2,4,Heuristic,123,,,True,0.0,0.0,4,False,False,2026-01-19T11:29:13.356940,Isaac Sim RRT
14,2,5,Heuristic,123,,,True,0.0,0.0,5,False,False,2026-01-19T11:29:13.403591,Isaac Sim RRT
15,2,6,Heuristic,123,,,False,0.0,0.0,6,False,False,2026-01-19T11:29:13.434200,Isaac Sim RRT
16,2,7,Heuristic,123,,,False,0.0,0.0,7,False,False,2026-01-19T11:29:13.469262,Isaac Sim RRT
17,2,8,Heuristic,123,,,False,0.0,0.0,8,False,False,2026-01-19T11:29:13.499837,Isaac Sim RRT
18,2,9,Heuristic,123,,,False,0.0,0.0,9,True,False,2026-01-19T11:29:13.530946,Isaac Sim RRT
19,3,1,Heuristic,123,,,True,0.0,0.0,1,False,False,2026-01-19T11:29:13.608589,Isaac Sim RRT
20,3,2,Heuristic,123,,,True,0.0,0.0,2,False,False,2026-01-19T11:29:13.653726,Isaac Sim RRT
21,3,3,Heuristic,123,,,True,0.0,0.0,3,False,False,2026-01-19T11:29:13.771101,Isaac Sim RRT
22,3,4,Heuristic,123,,,True,0.0,0.0,4,False,False,2026-01-19T11:29:13.875201,Isaac Sim RRT
23,3,5,Heuristic,123,,,True,0.0,0.0,5,False,False,2026-01-19T11:29:13.903271,Isaac Sim RRT
