episode,model,seed,agent1_reward,success,cubes_picked,pick_failures,successful_picks,unreachable_cubes,path_efficiency,action_entropy,agent2_reward,reshuffles_performed,total_distance_reduced,total_time_saved,total_reward,episode_length,duration,timestamp,planner,grid_size,num_cubes
1,Heuristic,42,,TRUE,9,0,9,0,1,0,,5,0.395042762,0.790085523,,9,0.577439547,2026-01-19T04:51:42.224317,Isaac Sim RRT,4,9
2,Heuristic,42,,TRUE,9,0,9,0,1,0,,5,0.429669541,0.859339082,,9,0.478883505,2026-01-19T04:51:42.745748,Isaac Sim RRT,4,9
3,Heuristic,42,,TRUE,9,0,9,0,1,0,,5,0.442844433,0.885688865,,9,0.549113989,2026-01-19T04:51:43.336937,Isaac Sim RRT,4,9
4,Heuristic,42,,TRUE,9,0,9,0,1,0,,5,0.454159123,0.908318245,,9,0.400165319,2026-01-19T04:51:43.770862,Isaac Sim RRT,4,9
5,Heuristic,42,,TRUE,9,0,9,0,1,0,,5,0.41910313,0.83820626,,9,0.414310694,2026-01-19T04:51:44.213585,Isaac Sim RRT,4,9
6,Heuristic,42,,TRUE,8,0,8,0,1,0,,5,0.391568466,0.783136933,,9,0.374615192,2026-01-19T04:51:44.617729,Isaac Sim RRT,4,9
7,Heuristic,42,,TRUE,9,0,9,0,1,0,,5,0.398196799,0.796393597,,9,0.36801815,2026-01-19T04:51:45.031297,Isaac Sim RRT,4,9
8,Heuristic,42,,TRUE,9,0,9,0,1,0,,5,0.411748153,0.823496306,,9,0.371861696,2026-01-19T04:51:45.437607,Isaac Sim RRT,4,9
9,Heuristic,42,,TRUE,9,0,9,0,1,0,,5,0.389589888,0.779179776,,9,0.368981123,2026-01-19T04:51:45.827113,Isaac Sim RRT,4,9
10,Heuristic,42,,TRUE,7,0,7,0,1,0,,5,0.461827379,0.923654759,,9,0.364421606,2026-01-19T04:51:46.236144,Isaac Sim RRT,4,9
11,Heuristic,42,,TRUE,9,0,9,0,1,0,,5,0.275628668,0.551257336,,9,0.466581106,2026-01-19T04:51:46.724476,Isaac Sim RRT,4,9
12,Heuristic,42,,TRUE,9,0,9,0,1,0,,5,0.456857845,0.913715689,,9,0.414896011,2026-01-19T04:51:47.186928,Isaac Sim RRT,4,9
13,Heuristic,42,,TRUE,9,0,9,0,1,0,,5,0.397091848,0.794183695,,9,0.398880482,2026-01-19T04:51:47.637284,Isaac Sim RRT,4,9
14,Heuristic,42,,TRUE,9,0,9,0,1,0,,5,0.37971501,0.75943002,,9,0.47589922,2026-01-19T04:51:48.134223,Isaac Sim RRT,4,9
15,Heuristic,42,,TRUE,9,0,9,0,1,0,,5,0.452771705,0.905543411,,9,0.453605175,2026-01-19T04:51:48.617909,Isaac Sim RRT,4,9
16,Heuristic,42,,TRUE,9,0,9,0,1,0,,5,0.435769304,0.871538608,,9,0.397022724,2026-01-19T04:51:49.036905,Isaac Sim RRT,4,9
17,Heuristic,42,,TRUE,9,0,9,0,1,0,,5,0.437600538,0.875201075,,9,0.344850063,2026-01-19T04:51:49.411939,Isaac Sim RRT,4,9
1,Duel-DDQN+MASAC,42,138.7245645,TRUE,9,0,9,0,1,0,163.2376979,5,0.368848948,0.737697895,301.9622624,9,0.844255447,2026-01-19T04:52:25.796926,Isaac Sim RRT,4,9
2,Duel-DDQN+MASAC,42,129.6334463,TRUE,9,0,9,0,1,0,160.2376231,5,0.368811539,0.737623079,289.8710694,9,1.211099148,2026-01-19T04:52:27.051152,Isaac Sim RRT,4,9
3,Duel-DDQN+MASAC,42,131.8162852,TRUE,9,0,9,0,1,0,160.8942086,5,0.697104303,1.394208606,292.7104938,9,0.847694159,2026-01-19T04:54:07.268914,Isaac Sim RRT,4,9
4,Duel-DDQN+MASAC,42,-930.9131056,FALSE,8,0,8,1,1,0,202.5776933,5,0.288846672,0.577693344,-728.3354123,50,98.29969978,2026-01-19T04:55:45.587008,Isaac Sim RRT,4,9
5,Duel-DDQN+MASAC,42,-950.3017988,FALSE,8,0,8,1,1,0,158.9012321,5,0.450616053,0.901232107,-791.4005667,50,89.70574331,2026-01-19T04:57:15.328831,Isaac Sim RRT,4,9
6,Duel-DDQN+MASAC,42,70.03470506,FALSE,8,0,8,1,1,0,204.319101,5,0.409550482,0.819100964,274.353806,9,3.251757145,2026-01-19T04:57:18.621388,Isaac Sim RRT,4,9
7,Duel-DDQN+MASAC,42,-23.39405128,FALSE,8,0,8,1,1,0,124.8020324,5,0.901016213,1.802032427,101.4079811,12,9.771150827,2026-01-19T04:57:28.411140,Isaac Sim RRT,4,9
8,Duel-DDQN+MASAC,42,125.5618129,TRUE,9,0,9,0,1,0,182.3007792,5,0.900389594,1.800779188,307.8625921,9,0.826826334,2026-01-19T04:57:29.273071,Isaac Sim RRT,4,9
9,Duel-DDQN+MASAC,42,-946.5464268,FALSE,8,0,8,1,1,0,158.5871292,5,0.293564582,0.587129163,-787.9592976,50,89.04430532,2026-01-19T05:00:36.573539,Isaac Sim RRT,4,9
10,Duel-DDQN+MASAC,42,133.0789559,TRUE,9,0,9,0,1,0,202.0645213,5,0.782260669,1.564521337,335.1434773,9,0.921076298,2026-01-19T05:00:37.520267,Isaac Sim RRT,4,9
11,Duel-DDQN+MASAC,42,76.24595268,FALSE,8,0,8,1,1,0,161.4256698,5,0.962834893,1.925669785,237.6716225,8,0.936497688,2026-01-19T05:00:38.492345,Isaac Sim RRT,4,9
12,Duel-DDQN+MASAC,42,94.11102646,FALSE,8,0,8,1,1,0,121.6277608,5,0.813880397,1.627760795,215.7387873,8,0.968041897,2026-01-19T05:02:19.953897,Isaac Sim RRT,4,9
13,Duel-DDQN+MASAC,42,-1116.014928,FALSE,3,0,3,6,1,0,81.2439025,5,0.371951251,0.743902502,-1034.771026,50,99.73472261,2026-01-19T05:03:59.736718,Isaac Sim RRT,4,9
14,Duel-DDQN+MASAC,42,143.7734581,TRUE,9,0,9,0,1,0,201.0138759,5,1.006937927,2.013875855,344.7873339,9,1.054038286,2026-01-19T05:04:00.815406,Isaac Sim RRT,4,9
15,Duel-DDQN+MASAC,42,-1127.368198,FALSE,3,0,3,6,1,0,202.1365523,5,0.068276137,0.136552274,-925.2316459,50,97.64657116,2026-01-19T05:05:38.495554,Isaac Sim RRT,4,9
16,Duel-DDQN+MASAC,42,163.7617026,TRUE,9,0,9,0,1,0,203.774374,5,1.637186994,3.274373988,367.5360766,9,0.948146343,2026-01-19T05:05:39.479506,Isaac Sim RRT,4,9
17,Duel-DDQN+MASAC,42,149.0391336,TRUE,9,0,9,0,1,0,164.3948863,5,0.197443149,0.394886299,313.4340199,9,0.564688921,2026-01-19T05:05:40.061143,Isaac Sim RRT,4,9
1,PER-DDQN-Light+MASAC,42,134.2105359,TRUE,9,0,9,0,1,0,200.0297698,5,1.264884897,2.529769794,334.2403057,9,1.100792885,2026-01-19T05:06:21.593144,Isaac Sim RRT,4,9
