global_timestep,episode,step_in_episode,model,seed,reward,cumulative_reward,reshuffled,distance_reduced,time_saved,cubes_picked_so_far,done,truncated,timestamp,planner
1,1,1,DDPG+MASAC,42,48.2279626923356,48.2279626923356,True,0.0,0.0,1,False,False,2026-01-19T00:23:02.497681,Isaac Sim RRT
2,1,2,DDPG+MASAC,42,29.59781691759961,77.82577960993521,True,0.0,0.0,1,False,False,2026-01-19T00:23:02.516491,Isaac Sim RRT
3,1,3,DDPG+MASAC,42,29.728214709875488,107.5539943198107,True,0.0,0.0,1,False,False,2026-01-19T00:23:02.549284,Isaac Sim RRT
4,1,4,DDPG+MASAC,42,33.753307971657684,141.30730229146837,True,0.0,0.0,1,False,False,2026-01-19T00:23:02.582800,Isaac Sim RRT
5,1,5,DDPG+MASAC,42,29.728214709875488,171.03551700134386,True,0.0,0.0,1,False,False,2026-01-19T00:23:02.605812,Isaac Sim RRT
6,1,6,DDPG+MASAC,42,-10.0,161.03551700134386,False,0.0,0.0,1,False,False,2026-01-19T00:23:02.628325,Isaac Sim RRT
7,1,7,DDPG+MASAC,42,-10.0,151.03551700134386,False,0.0,0.0,1,False,False,2026-01-19T00:23:02.647878,Isaac Sim RRT
8,1,8,DDPG+MASAC,42,-10.0,141.03551700134386,False,0.0,0.0,1,False,False,2026-01-19T00:23:02.684948,Isaac Sim RRT
9,1,9,DDPG+MASAC,42,-10.0,131.03551700134386,False,0.0,0.0,1,False,False,2026-01-19T00:23:02.705476,Isaac Sim RRT
10,1,10,DDPG+MASAC,42,-10.0,121.03551700134386,False,0.0,0.0,1,False,False,2026-01-19T00:23:02.727025,Isaac Sim RRT
11,1,11,DDPG+MASAC,42,-10.0,111.03551700134386,False,0.0,0.0,1,False,False,2026-01-19T00:23:02.745060,Isaac Sim RRT
12,1,12,DDPG+MASAC,42,-10.0,101.03551700134386,False,0.0,0.0,1,False,False,2026-01-19T00:23:02.762086,Isaac Sim RRT
13,1,13,DDPG+MASAC,42,-10.0,91.03551700134386,False,0.0,0.0,1,False,False,2026-01-19T00:23:02.781600,Isaac Sim RRT
14,1,14,DDPG+MASAC,42,-10.0,81.03551700134386,False,0.0,0.0,1,False,False,2026-01-19T00:23:02.800624,Isaac Sim RRT
15,1,15,DDPG+MASAC,42,-10.0,71.03551700134386,False,0.0,0.0,1,False,False,2026-01-19T00:23:02.840642,Isaac Sim RRT
16,1,16,DDPG+MASAC,42,-10.0,61.03551700134386,False,0.0,0.0,1,False,False,2026-01-19T00:23:02.870702,Isaac Sim RRT
17,1,17,DDPG+MASAC,42,-10.0,51.03551700134386,False,0.0,0.0,1,False,False,2026-01-19T00:23:02.887715,Isaac Sim RRT
18,1,18,DDPG+MASAC,42,-10.0,41.03551700134386,False,0.0,0.0,1,False,False,2026-01-19T00:23:02.922247,Isaac Sim RRT
19,1,19,DDPG+MASAC,42,-10.0,31.035517001343862,False,0.0,0.0,1,False,False,2026-01-19T00:23:02.954275,Isaac Sim RRT
20,1,20,DDPG+MASAC,42,-10.0,21.035517001343862,False,0.0,0.0,1,False,False,2026-01-19T00:23:02.974800,Isaac Sim RRT
