episode,model,seed,agent1_reward,success,cubes_picked,pick_failures,successful_picks,unreachable_cubes,path_efficiency,action_entropy,agent2_reward,reshuffles_performed,total_distance_reduced,total_time_saved,total_reward,episode_length,duration,timestamp,planner,grid_size,num_cubes
1,Heuristic,42,,True,9,0,9,0,1.0,0.0,,5,0.46839599008732224,0.9367919801746445,,9,0.43520593643188477,2026-01-19T00:24:10.058759,Isaac Sim RRT,4,9
2,Heuristic,42,,True,9,0,9,0,1.0,0.0,,5,0.3288712800727246,0.6577425601454492,,9,0.7820782661437988,2026-01-19T00:24:10.858368,Isaac Sim RRT,4,9
3,Heuristic,42,,True,9,0,9,0,1.0,0.0,,5,0.4662407457368889,0.9324814914737778,,9,0.6229052543640137,2026-01-19T00:24:11.525608,Isaac Sim RRT,4,9
1,Duel-DDQN+MASAC,42,139.61908829968826,True,9,0,9,0,1.0,0.0,205.04625716703273,5,0.7731285835163768,1.5462571670327536,344.665345466721,9,0.8603594303131104,2026-01-19T00:25:10.146162,Isaac Sim RRT,4,9
2,Duel-DDQN+MASAC,42,135.93618892984364,True,9,0,9,0,1.0,0.0,204.78464683788158,5,0.6423234189408,1.2846468378816,340.72083576772525,9,0.6475908756256104,2026-01-19T00:25:10.833464,Isaac Sim RRT,4,9
3,Duel-DDQN+MASAC,42,124.93412098378924,True,9,0,9,0,1.0,0.0,201.3089877058778,5,0.4044938529389079,0.8089877058778158,326.243108689667,9,0.6519355773925781,2026-01-19T00:25:11.508184,Isaac Sim RRT,4,9
1,PER-DDQN-Light+MASAC,42,159.27243190623648,True,9,0,9,0,1.0,0.0,161.17419325875244,5,0.8370966293762248,1.6741932587524495,320.446625164989,9,0.5808637142181396,2026-01-19T00:25:59.854477,Isaac Sim RRT,4,9
2,PER-DDQN-Light+MASAC,42,-948.8910174323535,False,8,0,8,1,1.0,0.0,160.7070112185379,5,0.6035056092689555,1.207011218537911,-788.1840062138156,50,91.41226100921631,2026-01-19T00:27:31.299705,Isaac Sim RRT,4,9
3,PER-DDQN-Light+MASAC,42,146.29220808308645,True,9,0,9,0,1.0,0.0,119.92868903392193,5,0.7143445169609701,1.4286890339219402,266.22089711700835,9,2.929962635040283,2026-01-19T00:27:34.261220,Isaac Sim RRT,4,9
1,PER-DDQN-Full+MASAC,42,136.19519786905465,True,9,0,9,0,1.0,0.0,161.0539545969864,5,0.7769772984931986,1.5539545969863973,297.2491524660411,9,0.5785586833953857,2026-01-19T00:28:28.289688,Isaac Sim RRT,4,9
2,PER-DDQN-Full+MASAC,42,129.8999500917388,True,9,0,9,0,1.0,0.0,204.12535966719426,5,0.31267983359713347,0.6253596671942669,334.025309758933,9,0.6347782611846924,2026-01-19T00:28:28.944108,Isaac Sim RRT,4,9
3,PER-DDQN-Full+MASAC,42,79.98661603470075,False,8,0,8,1,1.0,0.0,161.0613521890541,5,0.7806760945270579,1.5613521890541158,241.04796822375488,8,0.5011746883392334,2026-01-19T00:28:29.462335,Isaac Sim RRT,4,9
1,C51-DDQN+MASAC,42,126.68891331331069,True,9,0,9,0,1.0,0.0,161.95517516577019,5,0.4775875828851034,0.9551751657702068,288.6440884790809,9,0.6165649890899658,2026-01-19T00:29:16.437839,Isaac Sim RRT,4,9
2,C51-DDQN+MASAC,42,132.4649184836832,True,9,0,9,0,1.0,0.0,160.34190642839062,5,0.42095321419531556,0.8419064283906311,292.8068249120738,9,0.763859748840332,2026-01-19T00:29:17.222618,Isaac Sim RRT,4,9
3,C51-DDQN+MASAC,42,-990.9303151727111,False,7,0,7,2,1.0,0.0,158.98066761987548,5,0.740333809937733,1.480667619875466,-831.9496475528356,50,90.99019289016724,2026-01-19T00:30:48.233417,Isaac Sim RRT,4,9
1,SAC-Discrete+MASAC,42,90.49642259280787,False,8,0,8,1,1.0,0.0,81.01224452042084,5,0.2561222602104207,0.5122445204208415,171.5086671132287,8,0.6219584941864014,2026-01-19T00:31:41.747286,Isaac Sim RRT,4,9
2,SAC-Discrete+MASAC,42,126.66535671145391,True,9,0,9,0,1.0,0.0,207.7473612759066,5,0.6236806379533113,1.2473612759066226,334.41271798736057,9,0.8356664180755615,2026-01-19T00:31:42.607284,Isaac Sim RRT,4,9
3,SAC-Discrete+MASAC,42,-1195.0639478825672,False,1,0,1,8,1.0,0.0,39.9966184827699,1,0.24830924138494875,0.4966184827698975,-1155.0673293997972,50,105.04332756996155,2026-01-19T00:33:27.698799,Isaac Sim RRT,4,9
1,DDQN+MASAC,42,153.3636509906396,True,9,0,9,0,1.0,0.0,161.28624343877422,5,0.8931217193871186,1.7862434387742372,314.6498944294138,9,1.3890657424926758,2026-01-19T00:34:01.473789,Isaac Sim RRT,4,9
2,DDQN+MASAC,42,131.61285752329977,True,9,0,9,0,1.0,0.0,161.37364453082668,5,0.9368222654133485,1.873644530826697,292.9865020541264,9,0.8627994060516357,2026-01-19T00:34:02.363631,Isaac Sim RRT,4,9
3,DDQN+MASAC,42,-1021.5383791386009,False,6,0,6,3,1.0,0.0,189.8164132958452,5,0.15820664792259564,0.3164132958451913,-831.7219658427558,50,94.33496141433716,2026-01-19T00:35:36.716109,Isaac Sim RRT,4,9
