global_timestep,episode,step_in_episode,model,seed,reward,cumulative_reward,reshuffled,distance_reduced,time_saved,cubes_picked_so_far,done,truncated,timestamp,planner
1,1,1,Heuristic,42,,,True,0.0,0.0,1,False,False,2026-01-19T00:24:09.659667,Isaac Sim RRT
2,1,2,Heuristic,42,,,True,0.0,0.0,2,False,False,2026-01-19T00:24:09.702188,Isaac Sim RRT
3,1,3,Heuristic,42,,,True,0.0,0.0,3,False,False,2026-01-19T00:24:09.734826,Isaac Sim RRT
4,1,4,Heuristic,42,,,True,0.0,0.0,4,False,False,2026-01-19T00:24:09.820898,Isaac Sim RRT
5,1,5,Heuristic,42,,,True,0.0,0.0,5,False,False,2026-01-19T00:24:09.879084,Isaac Sim RRT
6,1,6,Heuristic,42,,,False,0.0,0.0,6,False,False,2026-01-19T00:24:09.924184,Isaac Sim RRT
7,1,7,Heuristic,42,,,False,0.0,0.0,7,False,False,2026-01-19T00:24:09.958533,Isaac Sim RRT
8,1,8,Heuristic,42,,,False,0.0,0.0,8,False,False,2026-01-19T00:24:09.990639,Isaac Sim RRT
9,1,9,Heuristic,42,,,False,0.0,0.0,9,True,False,2026-01-19T00:24:10.056767,Isaac Sim RRT
10,2,1,Heuristic,42,,,True,0.0,0.0,1,False,False,2026-01-19T00:24:10.129521,Isaac Sim RRT
11,2,2,Heuristic,42,,,True,0.0,0.0,2,False,False,2026-01-19T00:24:10.177924,Isaac Sim RRT
12,2,3,Heuristic,42,,,True,0.0,0.0,3,False,False,2026-01-19T00:24:10.265998,Isaac Sim RRT
13,2,4,Heuristic,42,,,True,0.0,0.0,4,False,False,2026-01-19T00:24:10.420601,Isaac Sim RRT
14,2,5,Heuristic,42,,,True,0.0,0.0,5,False,False,2026-01-19T00:24:10.520191,Isaac Sim RRT
15,2,6,Heuristic,42,,,False,0.0,0.0,6,False,False,2026-01-19T00:24:10.566112,Isaac Sim RRT
16,2,7,Heuristic,42,,,False,0.0,0.0,7,False,False,2026-01-19T00:24:10.650847,Isaac Sim RRT
17,2,8,Heuristic,42,,,False,0.0,0.0,8,False,False,2026-01-19T00:24:10.760035,Isaac Sim RRT
18,2,9,Heuristic,42,,,False,0.0,0.0,9,True,False,2026-01-19T00:24:10.853911,Isaac Sim RRT
19,3,1,Heuristic,42,,,True,0.0,0.0,1,False,False,2026-01-19T00:24:10.947853,Isaac Sim RRT
20,3,2,Heuristic,42,,,True,0.0,0.0,2,False,False,2026-01-19T00:24:10.990443,Isaac Sim RRT
21,3,3,Heuristic,42,,,True,0.0,0.0,3,False,False,2026-01-19T00:24:11.036672,Isaac Sim RRT
