episode,model,seed,agent1_reward,success,cubes_picked,pick_failures,successful_picks,unreachable_cubes,path_efficiency,action_entropy,agent2_reward,reshuffles_performed,total_distance_reduced,total_time_saved,total_reward,episode_length,duration,timestamp,planner,grid_size,num_cubes
1,DDPG+MASAC,42,-471.99390924887075,False,1,0,1,8,1.0,0.0,208.57299676870826,5,0.2864983843541443,0.5729967687082886,-263.4209124801625,50,1.2419633865356445,2026-01-19T03:03:23.646403,Isaac Sim RRT,4,9
2,DDPG+MASAC,42,-477.7036588153974,False,1,0,1,8,1.0,0.0,201.61951556264114,5,0.559757781320577,1.119515562641154,-276.08414325275623,50,0.9476556777954102,2026-01-19T03:03:24.617571,Isaac Sim RRT,4,9
3,DDPG+MASAC,42,-470.1704245954215,False,1,0,1,8,1.0,0.0,180.48860707341385,5,0.7443035367069295,1.488607073413859,-289.68181752200763,50,1.163104772567749,2026-01-19T03:03:25.802712,Isaac Sim RRT,4,9
1,TD3+MASAC,42,-464.65719364009385,False,1,0,1,8,1.0,0.0,202.0748167282219,5,0.7874083641109517,1.5748167282219034,-262.58237691187196,50,1.180159091949463,2026-01-19T03:03:28.237005,Isaac Sim RRT,4,9
2,TD3+MASAC,42,-472.9174020887121,False,1,0,1,8,1.0,0.0,199.554258728611,5,1.0271293643055013,2.0542587286110026,-273.3631433601011,50,1.1325798034667969,2026-01-19T03:03:29.390605,Isaac Sim RRT,4,9
3,TD3+MASAC,42,-463.3625167644183,False,1,0,1,8,1.0,0.0,201.45461227952194,5,0.47730613976097613,0.9546122795219523,-261.90790448489633,50,1.335265874862671,2026-01-19T03:03:30.759933,Isaac Sim RRT,4,9
1,PPO-Continuous+MASAC,42,-464.0662797735969,False,1,0,1,8,1.0,0.0,201.98527779637527,5,0.7426388981876424,1.4852777963752848,-262.0810019772216,50,1.1054677963256836,2026-01-19T03:03:33.005316,Isaac Sim RRT,4,9
2,PPO-Continuous+MASAC,42,-463.86919671702486,False,1,0,1,8,1.0,0.0,200.29844572602462,5,0.6492228630123189,1.2984457260246378,-263.57075099100024,50,1.5060033798217773,2026-01-19T03:03:34.532776,Isaac Sim RRT,4,9
3,PPO-Continuous+MASAC,42,-472.0677089832314,False,1,0,1,8,1.0,0.0,182.8496614342804,5,0.4248307171402028,0.8496614342804056,-289.218047548951,50,1.165419578552246,2026-01-19T03:03:35.727729,Isaac Sim RRT,4,9
1,SAC-Continuous+MASAC,42,-517.9933728632287,False,1,0,1,8,1.0,0.0,121.79005208073808,5,1.3950260403690389,2.7900520807380778,-396.20332078249066,50,7.6363396644592285,2026-01-19T03:04:30.445771,Isaac Sim RRT,4,9
2,SAC-Continuous+MASAC,42,-477.448468551097,False,1,0,1,8,1.0,0.0,204.1577726548786,5,0.32888632743931323,0.6577726548786265,-273.2906958962184,50,0.9046366214752197,2026-01-19T03:04:31.374447,Isaac Sim RRT,4,9
3,SAC-Continuous+MASAC,42,-476.7339839500986,False,1,0,1,8,1.0,0.0,203.97101148425293,5,0.2355057421264699,0.4710114842529398,-272.7629724658457,50,0.9186978340148926,2026-01-19T03:04:32.313152,Isaac Sim RRT,4,9
