episode,model,reward,length,success,picks,start_time,seed,collisions,rrt_failures,pick_failures,successful_picks,unreachable_cubes,optimal_steps,total_cubes,duration,unattempted_picks,path_efficiency,unique_actions,action_diversity_ratio,action_entropy
1,Custom-DDQN,173.8621793642717,9,1,9,1767734590.0865283,1042,0,0,0,9,0,9,9,2.807581663131714,0,1.0,9,1.0,3.169925000143887
2,Custom-DDQN,169.7284597500385,9,1,9,1767734592.8954732,1043,0,0,0,9,0,9,9,4.913128137588501,0,1.0,9,1.0,3.169925000143887
3,Custom-DDQN,198.47491379472922,9,1,9,1767734597.8096132,1044,0,0,0,9,0,9,9,4.055528879165649,0,1.0,9,1.0,3.169925000143887
4,Custom-DDQN,123.79673780269505,8,0,8,1767734601.8664315,1045,0,0,1,8,1,9,9,60.93532037734985,1,0.8888888888888888,8,1.0,2.9999999988458437
5,Custom-DDQN,167.30882755960243,9,1,9,1767734662.8028607,1046,0,0,0,9,0,9,9,4.170071363449097,0,1.0,9,1.0,3.169925000143887
1,Duel-DDQN,140.21087073694196,9,1,9,1767734667.000894,2042,0,0,0,9,0,9,9,4.500455141067505,0,1.0,9,1.0,3.169925000143887
2,Duel-DDQN,177.25637939190315,9,1,9,1767734671.5028462,2043,0,0,0,9,0,9,9,2.7930805683135986,0,1.0,9,1.0,3.169925000143887
3,Duel-DDQN,152.21213276127133,8,0,8,1767734674.2969267,2044,0,0,1,8,1,9,9,58.80339503288269,1,0.8888888888888888,8,1.0,2.9999999988458437
4,Duel-DDQN,170.55564851589156,9,1,9,1767734733.1033304,2045,0,0,0,9,0,9,9,4.83520245552063,0,1.0,9,1.0,3.169925000143887
5,Duel-DDQN,165.35424205163213,9,1,9,1767734737.9400258,2046,0,0,0,9,0,9,9,2.892101287841797,0,1.0,9,1.0,3.169925000143887
1,PER-DDQN-Light,154.00285822869526,9,1,9,1767734740.8904555,3042,0,0,0,9,0,9,9,2.768390417098999,0,1.0,9,1.0,3.169925000143887
2,PER-DDQN-Light,164.6833521774717,9,1,9,1767734743.6598616,3043,0,0,0,9,0,9,9,4.999980449676514,0,1.0,9,1.0,3.169925000143887
3,PER-DDQN-Light,179.51338076370183,9,1,9,1767734748.661896,3044,0,0,0,9,0,9,9,2.7631120681762695,0,1.0,9,1.0,3.169925000143887
4,PER-DDQN-Light,160.69425856260352,9,1,9,1767734751.426511,3045,0,0,0,9,0,9,9,5.254906177520752,0,1.0,9,1.0,3.169925000143887
5,PER-DDQN-Light,161.5777437437682,9,1,9,1767734756.682415,3046,0,0,0,9,0,9,9,4.538939952850342,0,1.0,9,1.0,3.169925000143887
1,PER-DDQN-Full,166.10848105843144,9,1,9,1767734761.2694752,4042,0,0,0,9,0,9,9,3.2358272075653076,0,1.0,9,1.0,3.169925000143887
2,PER-DDQN-Full,184.02231093290874,9,1,9,1767734764.506783,4043,0,0,0,9,0,9,9,4.827454090118408,0,1.0,9,1.0,3.169925000143887
3,PER-DDQN-Full,118.08403223736148,7,0,7,1767734769.334737,4044,0,0,2,7,2,9,9,94.24514484405518,2,0.7777777777777778,7,1.0,2.8073549210477178
4,PER-DDQN-Full,161.0671742552212,9,1,9,1767734863.5811152,4045,0,0,0,9,0,9,9,4.361656427383423,0,1.0,9,1.0,3.169925000143887
5,PER-DDQN-Full,164.9295905748324,8,0,8,1767734867.9442801,4046,0,0,1,8,1,9,9,59.36345863342285,1,0.8888888888888888,8,1.0,2.9999999988458437
1,C51-DDQN,181.46615917533717,9,1,9,1767734927.3588445,5042,0,0,0,9,0,9,9,3.1962640285491943,0,1.0,9,1.0,3.169925000143887
2,C51-DDQN,164.15149174997921,9,1,9,1767734930.5561275,5043,0,0,0,9,0,9,9,5.343207359313965,0,1.0,9,1.0,3.169925000143887
3,C51-DDQN,202.15668633388196,9,1,9,1767734935.900751,5044,0,0,0,9,0,9,9,2.1894278526306152,0,1.0,9,1.0,3.169925000143887
4,C51-DDQN,152.6019072747268,9,1,9,1767734938.0916796,5045,0,0,0,9,0,9,9,2.223588466644287,0,1.0,9,1.0,3.169925000143887
5,C51-DDQN,189.51902389728895,9,1,9,1767734940.316261,5046,0,0,0,9,0,9,9,4.723145246505737,0,1.0,9,1.0,3.169925000143887
1,SAC-Discrete,152.01247911350674,9,1,9,1767734945.0829003,6042,0,0,0,9,0,9,9,4.707947254180908,0,1.0,9,1.0,3.169925000143887
2,SAC-Discrete,146.0923325969746,9,1,9,1767734949.7923865,6043,0,0,0,9,0,9,9,5.103413343429565,0,1.0,9,1.0,3.169925000143887
3,SAC-Discrete,160.98676727222715,9,1,9,1767734954.8988194,6044,0,0,0,9,0,9,9,7.086911678314209,0,1.0,9,1.0,3.169925000143887
4,SAC-Discrete,172.29121928633282,9,1,9,1767734961.987729,6045,0,0,0,9,0,9,9,4.918651103973389,0,1.0,9,1.0,3.169925000143887
