episode,model,reward,length,success,picks,start_time,seed,collisions,rrt_failures,pick_failures,successful_picks,unreachable_cubes,optimal_steps,total_cubes,duration,total_rrt_path_length,avg_rrt_path_length,total_rrt_optimal_path_length,avg_rrt_optimal_path_length,avg_rrt_planning_time,rrt_success_rate,unattempted_picks,path_efficiency,unique_actions,action_diversity_ratio,action_entropy
1,Custom-DDQN,173.86217986149686,9,1,9,1767790928.7910328,1042,0,0,0,9,0,9,9,6.648620843887329,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,9,1.0,3.169925000143887
2,Custom-DDQN,169.72846147733884,9,1,9,1767790935.4431813,1043,0,0,0,9,0,9,9,8.83099889755249,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,9,1.0,3.169925000143887
3,Custom-DDQN,198.47488042169084,9,1,9,1767790944.2761912,1044,0,0,0,9,0,9,9,7.1696460247039795,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,9,1.0,3.169925000143887
4,Custom-DDQN,123.79674121458858,8,0,8,1767790951.4517899,1045,0,0,1,8,1,9,9,108.54116177558899,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,8,1.0,2.9999999988458437
5,Custom-DDQN,167.3088286456314,9,1,9,1767791059.9954512,1046,0,0,0,9,0,9,9,8.76609754562378,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,9,1.0,3.169925000143887
6,Custom-DDQN,106.7523656834608,7,0,7,1767791068.7638602,1047,0,0,2,7,2,9,9,195.89753031730652,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,7,1.0,2.8073549210477178
7,Custom-DDQN,195.8105935793023,9,1,9,1767791264.6655092,1048,0,0,0,9,0,9,9,10.276623487472534,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,9,1.0,3.169925000143887
8,Custom-DDQN,168.46862881555347,9,1,9,1767791274.945773,1049,0,0,0,9,0,9,9,7.866120338439941,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,9,1.0,3.169925000143887
9,Custom-DDQN,144.54143426849777,8,0,8,1767791282.8184576,1050,0,0,1,8,1,9,9,165.83266973495483,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,8,1.0,2.9999999988458437
10,Custom-DDQN,136.77262150665666,8,0,8,1767791448.6670666,1051,0,0,1,8,1,9,9,146.97840857505798,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,8,1.0,2.9999999988458437
1,DDPG,150.02065683265025,9,1,9,1767791595.708812,2042,0,0,0,9,0,9,9,14.13924503326416,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,9,1.0,3.169925000143887
2,DDPG,155.09362362279606,9,1,9,1767791609.8577511,2043,0,0,0,9,0,9,9,11.45531415939331,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,9,1.0,3.169925000143887
3,DDPG,136.16343224553356,8,0,8,1767791621.318783,2044,0,0,1,8,1,9,9,179.6531319618225,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,8,1.0,2.9999999988458437
4,DDPG,156.32157069440802,9,1,9,1767791800.9754534,2045,0,0,0,9,0,9,9,12.815086603164673,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,9,1.0,3.169925000143887
5,DDPG,145.9039424733191,9,1,9,1767791813.795944,2046,0,0,0,9,0,9,9,7.537682056427002,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,9,1.0,3.169925000143887
6,DDPG,143.56045356727378,9,1,9,1767791821.3386025,2047,0,0,0,9,0,9,9,12.283374547958374,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,9,1.0,3.169925000143887
